,x,Aceria.fraxinivora,nicht.gerade,gruene.hoehe,tot,manuell.checken,mehr.ressourcen
1,,FALSE,FALSE,,FALSE,FALSE,FALSE
2,Galle/ Krebs,TRUE,FALSE,,FALSE,FALSE,FALSE
3,Keine Bäume,FALSE,FALSE,,FALSE,FALSE,FALSE
4,Keine Blätter,FALSE,FALSE,,FALSE,FALSE,FALSE
5,Krebs/ Galle,TRUE,FALSE,,FALSE,FALSE,FALSE
6,keine Blätter,FALSE,FALSE,,FALSE,FALSE,FALSE
7,Teil des Buchenstammes verdeckt den Plot,FALSE,FALSE,,FALSE,FALSE,FALSE
8,"junger Baum, 62mm BHD",FALSE,FALSE,,FALSE,FALSE,FALSE
9,dieses Jahr umgeknickt,FALSE,TRUE,,FALSE,FALSE,FALSE
10,Galle/Krebs,TRUE,FALSE,,FALSE,FALSE,FALSE
11,"Baumstumpf, nimmt 20% des Plots ein",FALSE,FALSE,,FALSE,FALSE,FALSE
12,Baumstumpf,FALSE,FALSE,,FALSE,FALSE,FALSE
13,umgeknickt,FALSE,TRUE,,FALSE,FALSE,FALSE
14,kein Fehler,FALSE,FALSE,,FALSE,FALSE,FALSE
15,"auf Baumstu,pf",FALSE,FALSE,,FALSE,FALSE,FALSE
16,Verwechselt mit SO?,FALSE,FALSE,,FALSE,FALSE,FALSE
17,stark umgeknickt,FALSE,TRUE,,FALSE,FALSE,FALSE
18,verwechselt mit SW?,FALSE,FALSE,,FALSE,FALSE,FALSE
19,verwechselt mit NW?,FALSE,FALSE,,FALSE,FALSE,FALSE
20,Stockausschlag,FALSE,FALSE,,FALSE,FALSE,FALSE
21,Krebs / Galle,TRUE,FALSE,,FALSE,FALSE,FALSE
22,ABGEKNICKT,FALSE,TRUE,,FALSE,FALSE,FALSE
23,ESCHENZWIESELMOTTE,FALSE,FALSE,,FALSE,FALSE,FALSE
24,STOCKAUSSCHLAG,FALSE,FALSE,,FALSE,FALSE,TRUE
25,leicht angenagt,FALSE,FALSE,,FALSE,FALSE,FALSE
26,keine Bäume,FALSE,FALSE,,FALSE,FALSE,FALSE
27,angekrazt,FALSE,FALSE,,FALSE,FALSE,FALSE
