"","x"
"1",""
"2","Galle/ Krebs"
"3","Keine Bäume"
"4","Keine Blätter"
"5","Krebs/ Galle"
"6","keine Blätter"
"7","Teil des Buchenstammes verdeckt den Plot"
"8","junger Baum, 62mm BHD"
"9","dieses Jahr umgeknickt"
"10","Galle/Krebs"
"11","Baumstumpf, nimmt 20% des Plots ein"
"12","Baumstumpf"
"13","umgeknickt"
"14","kein Fehler"
"15","auf Baumstu,pf"
"16","Verwechselt mit SO?"
"17","stark umgeknickt"
"18","verwechselt mit SW?"
"19","verwechselt mit NW?"
"20","Stockausschlag"
"21","Krebs / Galle"
"22","ABGEKNICKT"
"23","ESCHENZWIESELMOTTE"
"24","STOCKAUSSCHLAG"
"25","leicht angenagt"
"26","keine Bäume"
"27","angekrazt"
"28","ets?"
"29","spitze abgestolrben"
"30","kriechend"
"31","lebt bis 3 cm "
"32","stark gekrümmt"
"33","umgefahren"
"34","es wurde kurz auf die Fläche gefahren"
"35","frisch abgestorben"
"36","stark umgeknickz"
"37","komischer PLot, viele halb verfaulte, vielleicht Rückegasse"
"38","umgeklnickt"
"39","frisch agbetsorben"
"40","t angenagt"
"41","grüne Höhe 6cm, viele frisch tote Eschen"
"42","grüne Höhe 9"
"43","krebs galle"
"44","matschig"
"45","leicht ausgegraben"
"46","Krebs/Galle"
"47","Krebs/galle"
"48","Von Wildschwein ausgegraben"
"49","Im Loch"
"50","Krebs"
"51","Krebs die Blätter auch"
"52","kein  Fehler"
"53","Keine Bäume, im Loch"
"54","krebs"
"55","Abgebrochen/Krebs"
"56","KREBS"
"57","KREBS ABGENAGT"
"58","Baumstämme"
"59","Krebs, ganze Pflanze umgefahren"
"60","KEIN feHLER"
"61","ZAUN"
"62","KEINE BLÄTTER"
"63","LIEGEND"
"64","Liegend"
"65","Kein Fehler"
"66","liegend"
"67","liegebd"
"68","Krebs+T1"
"69","abgebrochen 40cm"
"70","Krebs und einer von uns abgebrochen"
"71","Abgebrochen"
"72","Viel Astmaterial"
"73","abgebrochen"
"74","Umgeknickt"
"75","galle nekrose"
"76","frisch gestorben"
"77","angenagt"
"78","galle krebs"
"79","tote Höhe 92"
"80","leicht schief"
"81","markiert?"
"82","stark kriechend"
"83","liegend umgeknickz"
"84","stockausschlag"
"85","stockausschag mehrere"
"86","eschenzwieselmotte"
"87","Hälfte lebt noch"
"88","krebs gale"
"89","oberer Teil tot"
