"","x"
"1",""
"2","vergilbt"
"3","Baum 33 liegt im Plot"
"4","keine Bäume"
"5","ganz  tot"
"6","tot"
"7","liegend"
"8","keine Blätter"
"9","wird von linde domeniert"
"10","Buche 101 steht auf der Nordostecke des Plots, Nordost Esche wurde letztes Mal übersehen, aber markeirt"
"11","der Plot hat am Rand eine Bodengrube. Aber nicht groß und der größte Teil des Plots tut noch"
"12","278 liegt im plott im süden"
"13","kein fehler"
"14","der war vermutlich letztes mal als sw eingetragen. Denn sw gibt es 2021 2 stück auf diesem plot"
"15","fast tot"
"16","liegend Höhe aber zu gebrauchen"
"17","war so"
"18","war makiert aber nicht im datensatz"
"19","maus gefressen"
"20","tot abgefressen"
"21","stockausschlag im nw"
"22","große esche im nw u. sw umgefallen"
"23","125 in nw "
"24","baum drauf"
"25","war markiert aber nicht in der alten Tabelle aufgenommen"
"26","war markiert aber im alten Datensatz wohl leider nichts markiert"
"27","rbu (3) im sw"
"28","Baum 130 steht auf der NW Ecke ,  eine kleine Buche dmoninert den Plot"
"29","Im SO ist eine Menge Stockausschlag des Buchenstubbens"
"30","norden domeniert duch rbu stock ausschlag"
"31","in der Mitte Baum 62"
"32","stockausschlag"
"33","baum 146 in so ecke"
"34","tot, vom totholz erschlagen"
"35","werte aus letztem jahr nicht plausibel"
"36","tot, vielleichjt ets?"
"37","tot, evtl ets?"
"38","nicht gefunden"
"39","letztes Jahr fälschlicherweise als sw eingetragen"
"40","gesund, keine ets!"
"41","aus stockausschlag"
"42","stubben dominant no "
"43","Baum 316 liegt auf dem Westrand, alte Daten könnten korrekt sein, mssen sie aber nicht, ets nicht zu sehen"
"44","totholz drückt haupttrieb"
"45","270 in nord hälfte"
"46","stammfuß nikrose"
"47","liegned"
"48","keine richtige Rückegasse aber einmal drüber gefahren"
"49","gesamter plot von Ahron stubben dominiert"
"50","das ist der Stubben"
"51","SO SEITE STUPPEN"
"52","tot, ets?"
"53","totholz liegt darauf"
"54","LIEGEND"
"55","viel totholz und daher krummer Eschenwuchs"
"56","Baum 116 30cm neben der Ostkante, Baum ist dick genug um den Plot dennoch halb zu überdecken"
"57","tot, eigentlich nicht gefunden aber in der Ecke ist gar kein Baum mehr"
"58","tot, weil überhaupt keine Eschen gefunden wurden"
"59","sehr viel totholz"
"60","3 Ausläufer kriechend am Boden"
"61","teils kriechend"
"62","totholz liegt drauf"
"63","unter Holz"
"64","korrekt"
"65","Tiere haben die Stäbe bearbeitet , keine markierten Eschen wieder gfefunden"
"66","diese hier ist letztes Jahr als sw eingetragen worden. Das stimmte aber nicht"
"67","baum 98 auf der Westkante"
"68","Baum 97 liegt 10 cm neben westkante (außerhalb)"
"69","vielleicht im Mauseloch verschwunden"
"70","von totholz erschlagen"
"71","viele Mäuselöcher, ziemlich sicher tot"
"72","totholz erschlagen"
"73","viel totholz auf dem Plot"
"74","nicht geunden daher ziemlich sicher tot"
"75","110 auf no Ecke"
"76","Aceria oder Krebs ? "
"77","totholz drauf gefallen"
"78","liegt im Wasser Loch"
"79","Wurzel halb raus , liegend"
"80","Haupttrieb liegt viele Ausläufer"
"81","unter totholz begraben"
"82","kriechend"
"83","tot, alsozumindest ziemlich sicher"
"84","nordwestecke hat irgendein Bock zum Plätzecn verwendet"
"85","letztes Jahr als NO eingetragen das ist falsch!"
