"","aufid","id","baumid","edvid","auf.x","nr","nralt","art","anzahl","repfl","alt","r","zf","ou","schicht","sonder","vdfv","kraft","dkrz1","dkrz2","ddauer","dmess","mh","d","a","e","h","hkschicht","hmod","hmodm","k","status","hbr","g0","g5","g10","g15","g20","g25","g30","g35","hmaxkb","hastfrei","sfg","sfe","bi","bemerk.baum","datum","Stempel","baumid.stammv","edvid.stammv","nr.stammv","art.stammv","auf.stammv","x","y","z","bemerk","datum.stammv","Stempel.stammv","auf.y","saison","monat","jahr","flha","flha_alt","qualitat","typ","umfang","dop","bstand","messh","repfac","dfmonat","dfjahr","bemerk.auf","pz","schluss","schichtung","schaft","krone","astig","bluemast","schaeden","vegetation"
"1","316313011","316313011104211",4634452,31631301,1,"104",NA,211,1,1,131,"",NA,"U",-1,NA,4,50,183,0,0,183,13,183,"",NA,0,1,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",2023-04-11,2023-04-11 11:12:28,4634452,31631301,"104",211,1,11.85,50.3,-0.22,"",2023-04-11,2023-04-11 11:12:28,1,NA,3,2022,0.367,NA,1,"H","V","nein",2,NA,NA,4,2021,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"2","316313011","316313011101221",4634449,31631301,1,"101",NA,221,1,1,131,"",NA,"U",-1,NA,4,50,146,0,0,146,13,146,"",NA,0,1,16.33,16.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",2023-04-11,2023-04-11 11:12:28,4634449,31631301,"101",221,1,18.95,51.41,-0.13,"",2023-04-11,2023-04-11 11:12:28,1,NA,3,2022,0.367,NA,1,"H","V","nein",2,NA,NA,4,2021,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"3","316313011","31631301110211",4634358,31631301,1,"10",NA,211,1,1,131,"",NA,"U",-1,NA,4,50,259,0,0,259,13,259,"",NA,0,1,21.56,21.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",2023-04-11,2023-04-11 11:12:28,4634358,31631301,"10",211,1,62.83,62.25,1.19,"",2023-04-11,2023-04-11 11:12:28,1,NA,3,2022,0.367,NA,1,"H","V","nein",2,NA,NA,4,2021,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"4","316313011","316313011100112",4634448,31631301,1,"100",NA,112,1,1,131,"",NA,"O",-1,NA,2,20,567,0,0,567,13,567,"",NA,329,1,32.21,32.21,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",2023-04-11,2023-04-11 11:12:28,4634448,31631301,"100",112,1,18.8,54.15,0.13,"",2023-04-11,2023-04-11 11:12:28,1,NA,3,2022,0.367,NA,1,"H","V","nein",2,NA,NA,4,2021,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"5","316313011","316313011116311",4634464,31631301,1,"116",NA,311,1,1,131,"",NA,"O",-1,NA,2,20,660,0,0,660,13,660,"",NA,377,1,36.47,36.47,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",2023-04-11,2023-04-11 11:12:28,4634464,31631301,"116",311,1,25.62,25.24,-1.84,"",2023-04-11,2023-04-11 11:12:28,1,NA,3,2022,0.367,NA,1,"H","V","nein",2,NA,NA,4,2021,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"6","316313011","316313011105211",4634453,31631301,1,"105",NA,211,1,1,131,"",NA,"U",-1,NA,5,50,75,0,0,75,13,75,"",NA,0,1,6.1,6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","angeschoben!",2023-04-11,2023-04-11 11:12:28,4634453,31631301,"105",211,1,11.85,52.22,-0.13,"",2023-04-11,2023-04-11 11:12:28,1,NA,3,2022,0.367,NA,1,"H","V","nein",2,NA,NA,4,2021,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"7","316313011","316313011102112",4634450,31631301,1,"102",NA,112,1,1,131,"",NA,"O",-1,NA,1,20,517,0,0,517,13,517,"",NA,328,1,31.58,31.58,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",2023-04-11,2023-04-11 11:12:28,4634450,31631301,"102",112,1,17.49,48.45,-0.25,"",2023-04-11,2023-04-11 11:12:28,1,NA,3,2022,0.367,NA,1,"H","V","nein",2,NA,NA,4,2021,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"8","316313011","316313011103211",4634451,31631301,1,"103",NA,211,1,1,131,"",NA,"U",-1,NA,4,50,326,0,0,326,13,326,"",NA,226,1,25.25,25.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",2023-04-11,2023-04-11 11:12:28,4634451,31631301,"103",211,1,14.4,49.67,-0.37,"",2023-04-11,2023-04-11 11:12:28,1,NA,3,2022,0.367,NA,1,"H","V","nein",2,NA,NA,4,2021,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"9","316313011","316313011108211",4634456,31631301,1,"108",NA,211,1,1,131,"",NA,"U",-1,NA,4,50,236,0,0,236,13,236,"",NA,0,1,20.04,20.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",2023-04-11,2023-04-11 11:12:28,4634456,31631301,"108",211,1,4.12,48.25,-0.54,"",2023-04-11,2023-04-11 11:12:28,1,NA,3,2022,0.367,NA,1,"H","V","nein",2,NA,NA,4,2021,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"10","316313011","316313011109211",4634457,31631301,1,"109",NA,211,1,1,131,"",NA,"U",-1,NA,4,50,340,0,0,340,13,340,"",NA,250,1,25.9,25.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",2023-04-11,2023-04-11 11:12:28,4634457,31631301,"109",211,1,8.14,42.94,-0.96,"",2023-04-11,2023-04-11 11:12:28,1,NA,3,2022,0.367,NA,1,"H","V","nein",2,NA,NA,4,2021,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
