"","x"
"1",""
"2","-"
"3"," "
"4","   "
"5"," eiche"
"6"," Sommerlinde"
"7","Alnus Frangula"
"8","Avellana, Coryllus"
"9","Cornus spec"
"10","crataegus"
"11","Crategus spec"
"12","Crategus speck"
"13","domestica Prunus"
"14","domestica, Sorbus"
"15","domesticaPrunus"
"16","Fsyl"
"17","gbi"
"18","GBi"
"19","GBirke"
"20","gemBuche"
"21","kirsche"
"22","Kirsche"
"23","linde"
"24","Linde"
"25","lindewi"
"26","minor, Ulmus"
"27","Nigra sambucus"
"28","nigra, Sambuccus"
"29","Nigra, Sambuccus"
"30","nix"
"31","Nuss, Hasel"
"32","pfaffe"
"33","Pfaffe"
"34","schwarzer holunder"
"35","strauchhasel"
"36","T platiphyllos"
"37","U glabra"
"38","ulmus glabra"
"39","wildkische"
"40","Wli"
"41","WLi"
