Baumart_alt,Baumart_kurz,Baumart_lang
,,
-,,
 ,,
   ,,
 brombeere,Brombeere,Rubus rubus
 Brombeere,Brombeere,Rubus rubus
 himbeere,Himbeere,Rubus idaeus
 Holunder,Holunder,Sambucus spec
 hundsrose,Hundsrose,Rosa canina
 sambucus spec,Holunder,Sambucus spec
"alnus, Frangula",Faulbaum,Frangula alnus
"Alnus, Frangula",Faulbaum,Frangula alnus
bah,BAh,Acer pseudoplatanus
Bah,BAh,Acer pseudoplatanus
BAh,BAh,Acer pseudoplatanus
BAH,BAh,Acer pseudoplatanus
bul,BUl,Ulmus glabra
cornus sanguinea,Roter Hartriegel,Cornus sanguinea
Cornus sanguinea,Roter Hartriegel,Cornus sanguinea
Cornus sanuinea,Roter Hartriegel,Cornus sanguinea
crataegus spec,Weissdorn,Crataegus spec
Daphne,Seidelbast,Daphne mezereum
eiche,Eiche,Quercus spec
esch,GEs,Fraxinus excelsior
Esch,GEs,Fraxinus excelsior
esche,GEs,Fraxinus excelsior
Esche,GEs,Fraxinus excelsior
fah,FAh,Acer minor
Fah,FAh,Acer minor
FAh,FAh,Acer minor
fichte,GFi,Picea abies
Gemeine Schlehe,Schlehe,Prunus spinosa
gewöhnliche Schlehe,Schlehe,Prunus spinosa
hartriegel rot,Roter Hartriegel,Cornus sanguinea
Hartriegel rot,Roter Hartriegel,Cornus sanguinea
"Hartriegel, rot",Roter Hartriegel,Cornus sanguinea
hasel,GHa,Corylus avellana
"Hasel,Baum",BHa,Corylus colurna
hba,HBu,Carpinus betulus
hbu,HBu,Carpinus betulus
Hbu,HBu,Carpinus betulus
HBu,HBu,Carpinus betulus
himbeere,Himbeere,Rubus idaeus
Himbeere,Himbeere,Rubus idaeus
holunder,Holunder,Sambucus spec
Holunder,Holunder,Sambucus spec
kir,WKi,Prunus avium
Kir,WKi,Prunus avium
Ligustrum vulgare,Liguster,Ligustrum vulgare
nix,,
"nuss, hasel",GHa,Corylus avellana
"Nuss,Hasel",GHa,Corylus avellana
pfaff,Pfaffenhuetchen,Euonymus europaeus
Pfaff,Pfaffenhuetchen,Euonymus europaeus
pfaffenhutchen,Pfaffenhuetchen,Euonymus europaeus
Pfaffenhütchen,Pfaffenhuetchen,Euonymus europaeus
quercus,Eiche,Quercus spec
Quercus,Eiche,Quercus spec
Quercus spec,Eiche,Quercus spec
rbu,RBu,Fagus sylvatica
Rbu,RBu,Fagus sylvatica
RBu,RBu,Fagus sylvatica
roter hartriegel,Roter Hartriegel,Cornus sanguinea
sah,SAh,Acer platanoides
Sah,SAh,Acer platanoides
SAh,SAh,Acer platanoides
salix spec,Weide,Salix spec
sonst. Strauch,unknown,unknown
stieleiche,SEi,Quercus robur
ulme,BUl,Ulmus glabra
ulme berg,BUl,Ulmus glabra
Ulmus laevis,FlatterUl,Ulmus laevis
ulmus minor,FeldUl,Ulmus minor
vogelbeere,Vogelbeere,Sorbus aucuparia
Vogelkirsche,Vogelbeere,Sorbus aucuparia
Waldrebe,Waldrebe,Clematis vitalba 
Weißdorn spec.,Weissdorn,Crataegus spec
wildkirsche,WKi,Prunus avium
WiLi,WLi,Tilia cordata
wki,WKi,Prunus avium
WKi,WKi,Prunus avium
wli,WLi,Tilia cordata
