Baumart_alt,Baumart_kurz,Baumart_lang
 ,,
   ,,
 brombeere,Brombeere,Rubus rubus
 Brombeere,Brombeere,Rubus rubus
 eiche,Eiche,Quercus spec
 himbeere,Himbeere,Rubus idaeus
 Holunder,Holunder,Sambucus spec
 hundsrose,Hundsrose,Rosa canina
 sambucus spec,Holunder,Sambucus spec
 Sommerlinde,Sommerlinde,Tilia platiphyllos
-,,
Alnus Frangula,Faulbaum,Frangula alnus
"alnus, Frangula",Faulbaum,Frangula alnus
"Alnus, Frangula",Faulbaum,Frangula alnus
"Avellana, Coryllus",GHa,Corylus avellana
bah,BAh,Acer pseudoplatanus
Bah,BAh,Acer pseudoplatanus
BAh,BAh,Acer pseudoplatanus
BAH,BAh,Acer pseudoplatanus
bul,BUl,Ulmus glabra
cornus sanguinea,Roter Hartriegel,Cornus sanguinea
Cornus sanguinea,Roter Hartriegel,Cornus sanguinea
Cornus sanuinea,Roter Hartriegel,Cornus sanguinea
Cornus spec,Roter Hartriegel,Cornus sanguinea
crataegus,Weissdorn,Crataegus spec
crataegus spec,Weissdorn,Crataegus spec
Crategus spec,Weissdorn,Crataegus spec
Crategus speck,Weissdorn,Crataegus spec
Daphne,Seidelbast,Daphne mezereum
domestica Prunus,Pflaume,Prunus domestica
"domestica, Sorbus",Speierling,Sorbus domestica
domesticaPrunus,Pflaume,Prunus domestica
eiche,Eiche,Quercus spec
esch,GEs,Fraxinus excelsior
Esch,GEs,Fraxinus excelsior
esche,GEs,Fraxinus excelsior
Esche,GEs,Fraxinus excelsior
fah,FAh,Acer minor
Fah,FAh,Acer minor
FAh,FAh,Acer minor
fichte,GFi,Picea abies
Fsyl,Rbu,Fagus sylvatica
gbi,SBi,Betula pendula
GBi,SBi,Betula pendula
GBirke,SBi,Betula pendula
gemBuche,RBu,Fagus sylvatica
Gemeine Schlehe,Schlehe,Prunus spinosa
gewöhnliche Schlehe,Schlehe,Prunus spinosa
hartriegel rot,Roter Hartriegel,Cornus sanguinea
Hartriegel rot,Roter Hartriegel,Cornus sanguinea
"Hartriegel, rot",Roter Hartriegel,Cornus sanguinea
hasel,GHa,Corylus avellana
"Hasel,Baum",BHa,Corylus colurna
hba,HBu,Carpinus betulus
hbu,HBu,Carpinus betulus
Hbu,HBu,Carpinus betulus
HBu,HBu,Carpinus betulus
himbeere,Himbeere,Rubus idaeus
Himbeere,Himbeere,Rubus idaeus
holunder,Holunder,Sambucus spec
Holunder,Holunder,Sambucus spec
kir,WKi,Prunus avium
Kir,WKi,Prunus avium
kirsche,WKi,Prunus avium
Kirsche,WKi,Prunus avium
Ligustrum vulgare,Liguster,Ligustrum vulgare
linde,WLi,Tilia cordata
Linde,WLi,Tilia cordata
lindewi,WLi,Tilia cordata
"minor, Ulmus",FeldUl,Ulmus minor
Nigra sambucus,Holunder,Sambucus spec
"nigra, Sambuccus",Holunder,Sambucus spec
"Nigra, Sambuccus",Holunder,Sambucus spec
nix,,
nix,,
"nuss, hasel",GHa,Corylus avellana
"Nuss, Hasel",GHa,Corylus avellana
"Nuss,Hasel",GHa,Corylus avellana
pfaff,Pfaffenhuetchen,Euonymus europaeus
Pfaff,Pfaffenhuetchen,Euonymus europaeus
pfaffe,Pfaffenhuetchen,Euonymus europaeus
Pfaffe,Pfaffenhuetchen,Euonymus europaeus
pfaffenhutchen,Pfaffenhuetchen,Euonymus europaeus
Pfaffenhütchen,Pfaffenhuetchen,Euonymus europaeus
quercus,Eiche,Quercus spec
Quercus,Eiche,Quercus spec
Quercus spec,Eiche,Quercus spec
rbu,RBu,Fagus sylvatica
Rbu,RBu,Fagus sylvatica
RBu,RBu,Fagus sylvatica
roter hartriegel,Roter Hartriegel,Cornus sanguinea
sah,SAh,Acer platanoides
Sah,SAh,Acer platanoides
SAh,SAh,Acer platanoides
salix spec,Weide,Salix spec
schwarzer holunder,Holunder,Sambucus spec
sonst. Strauch,unknown,unknown
stieleiche,SEi,Quercus robur
strauchhasel,GHa,Corylus avellana
T platiphyllos,Sommerlinde,Tilia platiphyllos
U glabra,BUl,Ulmus glabra
ulme,BUl,Ulmus glabra
ulme berg,BUl,Ulmus glabra
ulmus glabra,BUl,Ulmus glabra
Ulmus laevis,FlatterUl,Ulmus laevis
ulmus minor,FeldUl,Ulmus minor
vogelbeere,Vogelbeere,Sorbus aucuparia
Vogelkirsche,Vogelbeere,Sorbus aucuparia
Waldrebe,Waldrebe,Clematis vitalba 
Weißdorn spec.,Weissdorn,Crataegus spec
wildkirsche,WKi,Prunus avium
wildkische,WKi,Prunus avium
WiLi,WLi,Tilia cordata
wki,WKi,Prunus avium
WKi,WKi,Prunus avium
wli,WLi,Tilia cordata
Wli,WLi,Tilia cordata
WLi,WLi,Tilia cordata
