"","x"
"1"," "
"2","1 Trieb hat Krebs."
"3","110-3840"
"4","20cm nw kante steht baum 140"
"5","3 abgestorbene Wurzelbrut-Büsche Ulmus minor, ca. 55cm hoch"
"6","3 der Triebe haben ""Krebs"", 1 davon tot, 2 am Leben"
"7","92"
"8","abgebrochener Stubben (Esche) füllt N und O-Quadrant aus"
"9","abgehackt"
"10","abgerissen"
"11","aceria fraxibiflora"
"12","aceria fraxini"
"13","aceria fraxiniflora"
"14","aceria fraxinivora"
"15","Aceria fraxinivora"
"16","aceriaformes fraxinivora"
"17","Alle Quadranten sahen in etwa gleich aus und wren ausschließlich mit Pfaffenhütchen bedeckt. Darum wurde nur ein Quadrant aufgenommen."
"18","alte erle in mitte plot"
"19","Alter, stark verrotteter Stubben bedeckt den gesamten Quadranten."
"20","Am Trieb ein Schaden, aber wahrscheinlich kein ETS"
"21","An Grabenkante"
"22","auf dem plot wurde an meherern Bärlauch ausgegraben"
"23","auf dem plot wurden bärlauch zwiebeln ausgegraben, vielleicht sind dabei kleinerer bäume umgekommen"
"24","auf dem Plot wurden Bärlauchzwiebeln geerntet"
"25","Auf der Nordkante befindet ich Baum 335"
"26","auf so-kante steht baum 136"
"27","auf w-ecke steht baum 133"
"28","aum 124 steht auf der nordecke"
"29","Aus aabgestorbener Unterlage ausgetrieben"
"30","Aus Rhizom"
"31","Aus Senkwurzel kommend"
"32","aus stärkerem abgestorbenen Tirb wieder austreibend"
"33","aus Wurzelbrut"
"34","AUSTRIEB AUS ABGEBROCHENER STÄRKERER Unterlage"
"35","Austrieb aus abgestorbenem stärkeren Trieb"
"36","Austrieb aus stärkerer, infizierter Unterlage"
"37","Bärlauch ernte im Plot"
"38","Bärlauch wurde geerntet"
"39","Bärlauch zwiebeln ausgegraben"
"40","baum 124 80cm nw der nw-kante, fläche unter schlagabraum"
"41","baum 140 im o-quadrant, stockausschlag"
"42","Baum 156 grade  außerhalb der Nordkante,aber anliegend"
"43","baum 167 steht 40cm nordöstlich der no-kante"
"44","Baum 181 ist 1m im NW des Plotes, keine Bäume"
"45","Baum 186 steht im NW Quadranten"
"46","baum 20 steht 40cm nw der nw kante"
"47","Baum 200 steht auf der so kante"
"48","Baum 202 füllt Quadrant Süd ganz und Ost zur hälfte"
"49","baum 236 nordwest 60cm vom orangenem nordstab"
"50","Baum 279 grenzt an NO Plot an, ist aber nicht drin"
"51","baum 297 steht 50cm östlich des so quadrsnten (mitte)"
"52","baum 78 10cm östlivh der ostkante, wurzelbrut"
"53","Baum 87 steht auf der Südkante des SW Quadranten"
"54","Baum 92 mittig auf SO Achse des Winkels"
"55","behaarteTriebe"
"56","behaarteTriebe, rote Knospe"
"57","Birke liegt im Plot"
"58","Birke liegt teilweise im sw Quadranten"
"59","bogenlampe"
"60","Buche und Esche liegen quer über Plot, Buche lebt noch."
"61","Das war eine Esche! Möge sie in Frieden ruhn. Ashes to ashes, dust to dust"
"62","Die 318 Birke ist ca. 10cm im Süden des SW-Quadranten"
"63","Direkt auf Zaun"
"64","echter Eschenkrebs am Haupttrieb"
"65","eigendlich 425 hoch, Terminaltrieb ist abgestorben"
"66","eigentlich aelter"
"67","ein Trieb der Esche wurde abgehackt"
"68","Einer der abgestorbenen hat Krebs"
"69","einmal aceria fraxinivora"
"70","Erle ohne Nummer steht mittig auf dem Plot und füllt diesen fast zur gänze aus."
"71","Erster Trieb wuchs nach unten"
"72","ETS mittig eingedrungen"
"73","Frische Triebe sind haarig"
"74","Gestört, Bärlauchdiebe-Lager"
"75","gh 135"
"76","gh 53"
"77","gh 57"
"78","GH 62"
"79","GH 71"
"80","GH:"
"81","GH: 105"
"82","GH: 154"
"83","GH: 188"
"84","GH: 32"
"85","GH: 474"
"86","GH: 50"
"87","GH: 65"
"88","GH: 65, Toter Baum über Plot"
"89","GH: 68"
"90","GH: 74"
"91","GH: 91"
"92","GH: 96"
"93","GH:267"
"94","grüne Höhe 126"
"95","grüne höhe 1432"
"96","grüne Höhe 150"
"97","grüne höhe 158"
"98","grüne Höhe 158"
"99","Grüne Höhe 160"
"100","grüne Höhe 169"
"101","grüne Höhe 21"
"102","grüne höhe 237"
"103","grüne höhe 362"
"104","grüne Höhe 41"
"105","grüne Höhe 45"
"106","grüne Höhe 47"
"107","grüne höhe 479"
"108","grüne Höhe 48"
"109","grüne höhe 554"
"110","grüne höhe 56"
"111","grüne Höhe 56"
"112","grüne höhe 57, grüne länge 70"
"113","grüne Höhe 61"
"114","grüne höhe 65"
"115","grüne höhe 66, spitze außerdem abgeknickt"
"116","grüne Höhe 71"
"117","grüne Höhe 73"
"118","grüne höhe 79"
"119","grüne höhe 87"
"120","grüne Höhe 90"
"121","grüne Höhe 97"
"122","grüne höhe 98"
"123","grüne höhe b163"
"124","Grüne Höhe: 45"
"125","grüne Höhe128"
"126","grüne höhe134, fast tot"
"127","habitatbaum ohne nummer bedeckt die hälfte des plots"
"128","hat einen knick"
"129","Höhe stimmt so"
"130","höhe stimmt so, tote Höhe 124"
"131","Höhen korrekt"
"132","Höhen korrekt , Trieb wesentlich älter"
"133","im NW in 2m Entfernung steht die Buche 175 (Höchstwahrscheinlich, scheiß Farbe zur Markierung verwendet…)"
"134","Im Plot mittig auf dem Westrand ist die 272 drin"
"135","Johannistrieb? Nichtberücksichtigt"
"136","keie baeume, baum 51 in der mitte des plots"
"137","keine baeumr"
"138","Keine Bäume"
"139","keine Bäume aber Brombeere auf dem Plot"
"140","Keine Bäume, Brennessel und Buche darüber"
"141","Keine Bäume, Brennnesselgebiet."
"142","Keine Bäume, Girsch etc."
"143","Keine Bäume, im Zentrum leichte Erhöhung (alter Stubben, Maulwurfshügel?) voller großer Brennesseln, die den Plot alleine schon zu 2/3 ausfüllen."
"144","Keine Bäume, Krone umgestürzter Esche auf Plot."
"145","Keine Bäume, Plot komplett von dickem Baumstamm begraben. Vorhandene Verjüngung darunter abgestorben. Umgestürzter Baum ist vermutlich 16x, Riss hat letzte Ziffer ganz und mittlerehalb zerstört."
"146","keine Bäume, plot liegt im Stammfuß umgestpürzten baumes"
"147","Keine Bäume, Plot unter sehr tiefem Buchenast."
"148","Keine Bäume, Plott zur gänze vom mittig wachsendem 155 ausgefüllt."
"149","Keine Bäume, Quadrant komplett von Erle 109 ausgefüllt."
"150","keine Bäume, Referenz 36"
"151","Keine Bäume, sehr nahe altem Spitzahorn, Boden auffällig trocken."
"152","Keine Bäume, sehr viel Brennnessel"
"153","Keine Bäume, sehr, sehr viel Brennnessel und ein Farn. Darüber Ist der Himmel aber frei."
"154","Keine Bäume, starkes Totholz füllt den Plot zur Hälfte aus. Zusätzlich durch dickes Brennnesselgestrüpp überwuchert."
"155","Keine Bäume, Totholz"
"156","Keine Bäume, unter Hasel"
"157","Keine Bäume, unter toter Holunderkrone begraben"
"158","Keine Bäume, Wurzelalsatz von 226 ragt schon in Westen hinein, Baumzentrum also ca. 30cm  westlich der Plotmitte."
"159","Keine Böäume"
"160","kene baeume"
"161","knick"
"162","Komische Kurztriebkette."
"163","Komplett unter alter, schon verrotteter Krone begraben."
"164","krebs 2x"
"165","krebs aceria"
"166","Krebs an dem ast, der auch mit ETS lebt. Auf Plot lag die Krone eines umgestürzten toten Holunders und hat die Pflanzen niedergedrück."
"167","Krebs an Terminalknospe"
"168","krebs t1"
"169","lag unter totholz"
"170","Maulswurfshügel"
"171","mit Krebswucherung an abgestorbenen Ast"
"172","Mittig ein kürzlich abgestorbener Baum, vermutlich Feldahorn, BHD 15cm"
"173","Neben Plot ist Baum angekippt, S&W angehoben da auf Wurzelteller"
"174","Nekrose am Haupttrieb gefährdet quasi alle"
"175","Neuaustrieb aus stärkerem Trieb."
"176","Nordquadrant fast komplett von Buche 105 ausfgefüllt."
"177","Oberer Teil des Triebes ""abgefault"", Knospe fehlt. Auch sehr weich wie ausgehöhlt."
"178","Plot +- mit Winkelsegge bewachsen"
"179","Plot auf Rückegasse"
"180","Plot liegt schräg in Senke "
"181","plot unter schlagabraum"
"182","Plot von Bärlauchdieben umgegraben"
"183","Plott auf alter Fahrspur, im NW-Quadrant alter stubben"
"184","Quadrant ca 12 cm mit Aushub aus der Bodengrube bedeckt. Keine Bäume"
"185","Quadrant komplett von Erle 109 ausgefüllt."
"186","Quadrant mit großer toten Esche"
"187","Referenz Baum 118 steht 80cm südlich des SO Quadranten (Mitte)"
"188","Referenz Baum 390 genau in der Mitte"
"189","Referenz Baum 76 in 90 cm vom so Quadranten (Mitte)"
"190","Referenzbaum 173 steht auf SE-Ecke"
"191","Referenzbaum 226 20cm nördlich der Nordkante"
"192","Referenzbaum Esche 301"
"193","s.o."
"194","Sehr starker Baumstamm liegt über dem Quadranten"
"195","stamm lieg über plott"
"196","Starkes Totholz auf Plot gestürzt, keine Bäume"
"197","stubben im norden"
"198","T6 echter Eschenkrebs am Stamm"
"199","teile einer krone liegen über plot"
"200","teilweise unter Tothiolz"
"201","TH (tote Höhe) 95"
"202","th 1181, Vermutlich sind leute durch den Plot gelaufen"
"203","th 305"
"204","TH 75"
"205","tH 84"
"206","TH: 326"
"207","TH: 54"
"208","TH: 834"
"209","TH: 98"
"210","th66"
"211","Tote gut verrottete Buirke auf Plot liegend"
"212","tote Höhe  104 "
"213","tote höhe 131"
"214","tote Höhe 157"
"215","tote Höhe 169"
"216","tote höhe 610"
"217","tote höhe 62"
"218","tote Höhe 64"
"219","tote Höhe 75"
"220","tote Höhe 79"
"221","Tote Höhe: 55"
"222","Tote Höhe: 65"
"223","Toter Baum auf Plot"
"224","totholz lag drauf"
"225","Trieb ist haarig."
"226","Trieb mit Aufschürfung, wohl kein ETS"
"227","Triebaustritt aus an Boden liegendem Trieb"
"228","Triebe stimmt so"
"229","Umgestürzte Esche (40cm Durchmesser) hängt 50cm über Plot. Rechts über Plot abgesägt da dort der Zaun ist. Noch bewurzelt, treibt auf der Oberseite wieder aus."
"230","unten wieder ausgetrieben"
"231","Unter Krone umgestürzter Ulme"
"232","unter kronenteilen und holz"
"233","unter schlagabraum"
"234","Unter Totast frisch begraben, darum negativer Zuwachs"
"235","unter totholz begraben"
"236","Unter umgesürzter Krone und Brennnesseln begraben, keine Bäume"
"237","Unter vielen umgestürzten aber oft noch grünen Kronen und so schattig."
"238","unterer Teil unter Totholz begraben"
"239","Vermutlich länger, aber abgebrochen."
"240","Vermutlich Wuchs eines einzelnen Triebes aus Unterlage. "
"241","Viel schwaches Totholz liegt auf dem Plot"
"242","von totholz erschlagen"
"243","von Totholz niedergedrückt"
"244","von totholz umgeknickt"
"245","wächst  einer kurve"
"246","Wächst liegendes-S-Förmig  davon Totholz niedergedrückt"
"247","wächst nach unten"
