Bemerkungen,Johannistrieb,nicht.gerade,Referenz,mehr.ressourcen,Flaeche.bedeckt,Pseudomonas syringae,gruene.Hoehe,tot,keine.baeume,von Nekrose bedroht,Foto,KONTROLLIEREN,Bärlauchdiebe,tote Hooehe
92,F,F,F,F,F,F,,F,F,,F,F,F,
44596,F,F,F,F,F,F,,F,F,,T,F,F,
44599,F,F,F,F,F,F,,F,F,,T,F,F,
44600,F,F,F,F,F,F,,F,F,,T,F,F,
44601,F,F,F,F,F,F,,F,F,,T,F,F,
44603,F,F,F,F,F,F,,F,F,,T,F,F,
44605,F,F,F,F,F,F,,F,F,,T,F,F,
44606,F,F,F,F,F,F,,F,F,,T,F,F,
44607,F,F,F,F,F,F,,F,F,,T,F,F,
44611,F,F,F,F,F,F,,F,F,,T,F,F,
44612,F,F,F,F,F,F,,F,F,,T,F,F,
44613,F,F,F,F,F,F,,F,F,,T,F,F,
44614,F,F,F,F,F,F,,F,F,,T,F,F,
 ,F,F,F,F,F,F,,F,F,,F,F,F,
" Baum 251 im Plot, sehr viele tote Bah",F,F,T,F,F,F,,F,F,,F,F,F,
" grüne höhe 30, angenagt",F,F,F,F,F,F,30,F,F,,F,F,F,
", 1 toter Baum 30 cm über Plot",F,F,F,F,T,F,,F,F,,F,F,F,
", baum 229 steht auf der Südecke",F,F,T,F,F,F,,F,F,,F,F,F,
", Baum Nr. 40 auf dem Westquadrant",F,F,T,F,F,F,,F,F,,F,F,F,
", mehrere tote Bäume über dem Plot",F,F,F,F,T,F,,F,F,,F,F,F,
1 Trieb hat Krebs.,F,F,F,F,F,T,,F,F,,F,F,F,
110-3840,F,F,F,F,F,F,,F,F,,T,F,F,
"129-2142 - 2144 Sieht aus, als hätte sie mal einen Seitentrieb gehabt, der angewurzelt und danach abebrochen ist, aber noch lebt. Frisch abgebissen(?), treibt im Frühjahr womöglich aus.",F,F,F,F,F,F,,F,F,,T,F,F,
20cm nw kante steht baum 140,F,F,T,F,F,F,,F,F,,F,F,F,
230 grüne höhe,F,F,F,F,F,F,230,F,F,,F,F,F,
297 grüne Höhe,F,F,F,F,F,F,297,F,F,,F,F,F,
"3 abgestorbene Wurzelbrut-Büsche Ulmus minor, ca. 55cm hoch",F,F,F,T,F,F,,F,F,,F,T,F,
"3 der Triebe haben ""Krebs"", 1 davon tot, 2 am Leben",F,F,F,F,F,T,,F,F,,F,F,F,
30 ° schief,F,T,F,F,F,F,,F,F,,F,F,F,
"44598, Buche 241 liegt in Quadrant ",F,F,T,F,F,F,,F,F,,T,F,F,
45°,F,T,F,F,F,F,,F,F,,F,F,F,
45° schräg,F,T,F,F,F,F,,F,F,,F,F,F,
abgebrochener Stubben (Esche) füllt N und O-Quadrant aus,F,F,F,F,T,F,,F,F,,F,F,F,
abgehackt,F,T,F,F,F,F,,F,F,,F,F,F,
