"","layer_name_cloud","ibf_id","id_fl","typ","baum_id","baum_nr","baum_nr_alternativ","art","id_baumart","BHD_CM","kraft","x_utm32","y_utm32","liegt_in_kernflaeche"
"1","IBF_BB1_Baeume_20211214","BB_1",5,"baum","BB1_1","1","1","Ulmus spec.",170,12,"",830912.4397,5904383.493,"BB_1"
"2","IBF_BB1_Baeume_20211214","BB_1",5,"baum","BB1_3","3","3","Alnus glutinosa",211,45,"",830935.6204,5904376.569,"BB_1"
"3","IBF_BB1_Baeume_20211214","BB_1",5,"baum","BB1_6","6","6","Fagus sylvatica",100,19,"",830913.0599,5904401.803,"BB_1"
"4","IBF_BB1_Baeume_20211214","BB_1",5,"baum","BB1_7","7","7","Ulmus spec.",170,7,"",830916.2914,5904407.942,"BB_1"
"5","IBF_BB1_Baeume_20211214","BB_1",5,"baum","BB1_8","8","8","Fagus sylvatica",100,37,"",830916.9302,5904414.568,"BB_1"
"6","IBF_BB1_Baeume_20211214","BB_1",5,"baum","BB1_9","9","9","Fagus sylvatica",100,20,"",830915.9612,5904416.053,"BB_1"
"7","IBF_BB1_Baeume_20211214","BB_1",5,"baum","BB1_10","10","10","Fagus sylvatica",100,20,"",830920.1686,5904412.74,"BB_1"
"8","IBF_BB1_Baeume_20211214","BB_1",5,"baum","BB1_11","11","11","Fagus sylvatica",100,15,"",830922.6343,5904411.258,"BB_1"
"9","IBF_BB1_Baeume_20211214","BB_1",5,"baum","BB1_12","12","12","Alnus glutinosa",211,45,"",830927.1373,5904433.231,"BB_1"
"10","IBF_BB1_Baeume_20211214","BB_1",5,"baum","BB1_13","13","13","Alnus glutinosa",211,44,"",830931.9495,5904433.002,"BB_1"
"11","IBF_BB1_Baeume_20211214","BB_1",5,"baum","BB1_14","14","14","Alnus glutinosa",211,54,"",830931.5341,5904430.174,"BB_1"
"12","IBF_BB1_Baeume_20211214","BB_1",5,"baum","BB1_15","15","15","Alnus glutinosa",211,46,"",830936.7847,5904419.714,"BB_1"
"13","IBF_BB1_Baeume_20211214","BB_1",5,"baum","BB1_16","16","16","Alnus glutinosa",211,31,"",830936.2111,5904425.814,"BB_1"
"14","IBF_BB1_Baeume_20211214","BB_1",5,"baum","BB1_17","17","17","Alnus glutinosa",211,51,"",830937.9872,5904424.055,"BB_1"
"15","IBF_BB1_Baeume_20211214","BB_1",5,"baum","BB1_18","18","18","Alnus glutinosa",211,44,"",830940.9032,5904425.104,"BB_1"
