"","ID_plot","Plotnummer","Flaeche","Rand","Zaun","Rueckegasse","keine.baeume","Flaeche.bedeckt","x","y","n_trees","n_species","n_ash","height_mean","height_median","height_max","height_min","n_ets_new","n_ets_old","n_ets_total"
"1","74Sch",74,"Schotten",FALSE,FALSE,FALSE,FALSE,FALSE,509029.51122185,5592018.74879335,95,5,11,191.5,147,1237,5,0,0,0
"96","75Sch",75,"Schotten",FALSE,FALSE,FALSE,TRUE,FALSE,509019.840480818,5592020.53282458,0,0,0,NA,NA,NA,NA,0,0,0
"97","76Sch",76,"Schotten",FALSE,FALSE,FALSE,FALSE,FALSE,509018.074289897,5592010.7643993,8,2,1,676.1,447.5,1790,110,0,0,0
"105","77Sch",77,"Schotten",FALSE,FALSE,FALSE,FALSE,FALSE,509016.308098976,5592000.99597401,11,4,1,206,215,433,48,0,0,0
"116","78Sch",78,"Schotten",FALSE,FALSE,FALSE,FALSE,TRUE,509014.541908054,5591991.22754873,4,4,1,864.8,660,1708,431,0,0,0
"120","79Sch",79,"Schotten",FALSE,FALSE,FALSE,FALSE,FALSE,508999.572594258,5591963.7063041,23,5,8,151.2,134,445,56,4,1,4
"143","80Sch",80,"Schotten",FALSE,FALSE,FALSE,FALSE,FALSE,509001.338785179,5591973.47472939,42,5,12,156.5,143.5,398,50,1,0,1
"185","81Sch",81,"Schotten",FALSE,FALSE,FALSE,FALSE,FALSE,509003.1049761,5591983.24315467,8,4,3,227.8,131.5,775,30,0,0,0
"193","82Sch",82,"Schotten",FALSE,FALSE,FALSE,FALSE,FALSE,509004.871167022,5591993.01157996,1,1,0,4340,4340,4340,4340,0,0,0
"194","83Sch",83,"Schotten",FALSE,FALSE,FALSE,FALSE,FALSE,509006.637357943,5592002.78000525,1,1,0,5200,5200,5200,5200,0,0,0
"195","84Sch",84,"Schotten",FALSE,FALSE,FALSE,FALSE,FALSE,509008.403548864,5592012.54843053,3,2,0,155.3,170,196,100,0,0,0
"198","85Sch",85,"Schotten",FALSE,FALSE,FALSE,FALSE,FALSE,509010.169739785,5592022.31685582,11,3,0,582.1,368,1650,60,0,0,0
"209","86Sch",86,"Schotten",FALSE,FALSE,FALSE,FALSE,TRUE,509011.935930706,5592032.0852811,1,1,0,454,454,454,454,0,0,0
"210","87Sch",87,"Schotten",FALSE,FALSE,FALSE,FALSE,FALSE,509002.265189674,5592033.86931234,25,4,2,119.9,74,790,43,0,0,0
"235","88Sch",88,"Schotten",FALSE,FALSE,FALSE,FALSE,FALSE,509000.498998753,5592024.10088705,80,4,2,194.7,130,1205,19,0,0,0
"315","89Sch",89,"Schotten",FALSE,FALSE,FALSE,TRUE,FALSE,508998.732807831,5592014.33246177,0,0,0,NA,NA,NA,NA,0,0,0
