,ID_plot,Im_Zaun,Plotnummer,Flaeche
12049,8Ett,FALSE,8,Ettersberg
12050,9Ett,FALSE,9,Ettersberg
13658,10Ett,FALSE,10,Ettersberg
13642,11Ett,FALSE,11,Ettersberg
13609,12Ett,FALSE,12,Ettersberg
13569,13Ett,FALSE,13,Ettersberg
13565,16Ett,FALSE,16,Ettersberg
13560,17Ett,FALSE,17,Ettersberg
11909,18Ett,FALSE,18,Ettersberg
11987,19Ett,FALSE,19,Ettersberg
12009,20Ett,FALSE,20,Ettersberg
12030,21Ett,FALSE,21,Ettersberg
11825,22Ett,FALSE,22,Ettersberg
11831,23Ett,FALSE,23,Ettersberg
11842,24Ett,FALSE,24,Ettersberg
11850,25Ett,FALSE,25,Ettersberg
13534,26Ett,FALSE,26,Ettersberg
13491,27Ett,FALSE,27,Ettersberg
13457,30Ett,FALSE,30,Ettersberg
13416,31Ett,FALSE,31,Ettersberg
13411,32Ett,FALSE,32,Ettersberg
13410,33Ett,FALSE,33,Ettersberg
13404,34Ett,FALSE,34,Ettersberg
13409,35Ett,FALSE,35,Ettersberg
11745,36Ett,FALSE,36,Ettersberg
11740,37Ett,FALSE,37,Ettersberg
11731,38Ett,FALSE,38,Ettersberg
13399,39Ett,FALSE,39,Ettersberg
13384,40Ett,FALSE,40,Ettersberg
13356,41Ett,FALSE,41,Ettersberg
13355,44Ett,FALSE,44,Ettersberg
13349,45Ett,FALSE,45,Ettersberg
13348,46Ett,FALSE,46,Ettersberg
13310,47Ett,FALSE,47,Ettersberg
13245,48Ett,FALSE,48,Ettersberg
13244,49Ett,FALSE,49,Ettersberg
13203,50Ett,FALSE,50,Ettersberg
12091,52Ett,TRUE,52,Ettersberg
12116,53Ett,TRUE,53,Ettersberg
12140,54Ett,TRUE,54,Ettersberg
12187,55Ett,TRUE,55,Ettersberg
12250,56Ett,TRUE,56,Ettersberg
13183,57Ett,TRUE,57,Ettersberg
14547,58Ett,TRUE,58,Ettersberg
12275,59Ett,TRUE,59,Ettersberg
12329,60Ett,TRUE,60,Ettersberg
13827,61Ett,TRUE,61,Ettersberg
13781,62Ett,TRUE,62,Ettersberg
13710,63Ett,TRUE,63,Ettersberg
13689,64Ett,TRUE,64,Ettersberg
13885,65Ett,TRUE,65,Ettersberg
13925,66Ett,TRUE,66,Ettersberg
13987,67Ett,TRUE,67,Ettersberg
12505,68Ett,TRUE,68,Ettersberg
12480,69Ett,TRUE,69,Ettersberg
12388,70Ett,TRUE,70,Ettersberg
13101,71Ett,TRUE,71,Ettersberg
14470,72Ett,TRUE,72,Ettersberg
12563,73Ett,TRUE,73,Ettersberg
12663,74Ett,TRUE,74,Ettersberg
12694,75Ett,TRUE,75,Ettersberg
14031,76Ett,TRUE,76,Ettersberg
14109,77Ett,TRUE,77,Ettersberg
14132,80Ett,TRUE,80,Ettersberg
14135,81Ett,TRUE,81,Ettersberg
14141,82Ett,TRUE,82,Ettersberg
14183,83Ett,TRUE,83,Ettersberg
12716,84Ett,TRUE,84,Ettersberg
13090,85Ett,TRUE,85,Ettersberg
13020,86Ett,TRUE,86,Ettersberg
