lfdNR.,Baumart,BHD,Kraftsche Klasse,Zwiesel,X,Y,Ost (UTM Z33 N),Nord (UTM Z33 N)
1,GES,13.5,3,0,165.1,51.3,426477.322426431,5629754.63048678
2,GES,22.5,2,0,165.5,52.5,426477.836924382,5629755.79122724
3,GBI,15.5,3,0,162.8,53,426475.186983012,5629756.54917569
4,BAH,21,4,0,163.3,53.6,426475.743985937,5629757.10083942
5,GBI,9.5,5,0,163.3,56.6,426476.031050983,5629760.09837891
6,BAH,16,3,0,159.2,57.5,426472.020533189,5629761.38996299
7,GBI,30.5,1,0,161.4,58.8,426474.343123671,5629762.4783824
8,BAH,31,2,0,157.6,59.5,426470.613222156,5629763.54142401
9,BAH,24.5,2,0,160.5,62.7,426473.817046383,5629766.46130326
10,GBI,25,1,0,156.3,62.7,426469.620491091,5629766.86319432
11,BAH,11.5,4,0,157.9,66.9,426471.621069886,5629770.90664826
12,BAH,14,2,0,156.4,66.2,426470.055318295,5629770.3507549
13,BAH,30,1,0,154.3,67.8,426468.110142007,5629772.15038816
14,GBI,22.5,1,0,151.2,70.8,426465.299749576,5629775.44456153
15,GBI,22.5,1,0,155.4,74.5,426469.850351758,5629778.73963585
16,GBI,19,2,0,154,75.6,426468.556757178,5629779.97269735
17,GBI,27,1,0,152,79.7,426466.950719745,5629784.26071135
18,BAH,14,5,0,146.6,79.4,426461.526442151,5629784.47767449
19,BAH,27,1,0,146,82.6,426461.233136968,5629787.73246296
20,BAH,23,2,0,146.4,84.6,426461.824185598,5629789.69254728
21,GBI,35,1,0,147.9,87.8,426463.629158061,5629792.74639022
22,sonst EBE,10,5,0,144.8,88.6,426460.608251263,5629793.84236796
23,GBI,12.5,2,0,143.7,91.3,426459.76751199,5629796.64541069
24,BAH,20.5,2,0,145.5,92.8,426461.709568209,5629797.97194141
25,GBI,24.5,1,0,142.6,94.3,426458.955479222,5629799.74820737
26,GBI,17,3,0,140.4,94.3,426456.757283593,5629799.95872174
27,GBI,22.5,1,0,141.2,100.2,426458.121188715,5629805.77733206
28,GBI,26.5,1,0,136.2,102.9,426453.383648101,5629808.95355935
29,BAH,15.5,5,0,138.5,105.4,426455.920982584,5629811.23142573
30,GBI,25,2,0,136.7,106.3,426454.208578402,5629812.3029266
31,GBI,24.5,2,0,133.4,108.1,426451.083523986,5629814.41722185
32,GBI,23,1,0,130.3,107.8,426447.957360005,5629814.41410178
33,GBI,22.5,2,0,131.5,105.5,426448.9362926,5629812.00116215
34,BAH,12.5,5,0,132,100.5,426448.957440772,5629806.95741882
35,BAH,10.5,5,0,134.1,99.4,426450.950461234,5629805.65737547
36,BAH,15.5,4,0,134,97.6,426450.678304224,5629803.86842061
37,SEI,23.5,2,0,132.3,98.6,426449.075386859,5629805.03027064
38,GBI,23,1,0,133,96.3,426449.554729539,5629802.66517518
39,SEI,24.5,3,0,137.4,92.6,426453.597073906,5629798.54718107
40,GBI,28.5,1,0,135.7,90,426451.649678487,5629796.1119837
41,BAH,10,5,0,139.9,89.7,426455.817527273,5629795.41033869
42,GBI,23,2,0,135.6,85,426451.07131876,5629791.12565338
43,GBI,31,1,0,137.6,83.2,426452.897439395,5629789.13575299
44,GBI,25.5,1,0,142.4,85.6,426457.923154622,5629791.07448051
45,BAH,9.5,5,0,140.1,82.1,426455.290131789,5629787.7974343
46,GBI,9.5,5,0,142.8,80.5,426457.834815976,5629785.94038803
47,GBI,28,1,0,139,79.3,426453.923106599,5629785.10498795
48,GBI,22,2,0,144,79.3,426458.919005755,5629784.62654621
49,BAH,16,3,0,141.7,75.6,426456.266845253,5629781.14966404
50,BAH,22.5,3,0,142.5,72.8,426456.798261742,5629778.27540983
51,BAH,24,3,0,145.2,73.6,426459.572597965,5629778.81639516
52,BAH,10,5,0,142.9,70.4,426456.968281637,5629775.8391029
53,GBI,25,1,0,143.8,68.7,426457.704873293,5629774.05437767
54,GBI,20,2,0,145.8,67.9,426459.626682276,5629773.06365711
55,BAH,13.5,5,0,146.4,67.8,426460.21662134,5629772.90632612
56,GBI,31.5,1,0,145.5,64.6,426459.011156776,5629769.79507017
57,GBI,20,1,0,151.4,64.2,426464.868042441,5629768.83083698
58,BAH,20.5,5,0,145.8,62.4,426459.100396358,5629767.56816803
59,BAH,20,3,0,152.4,61.9,426465.64713907,5629766.43703502
60,BAH,8.5,5,0,150.3,60.5,426463.414897736,5629765.23912879
61,GBI,30.5,1,0,152.7,58.6,426465.631121469,5629763.11103507
62,BAH,19.5,5,0,154.7,58,426467.572068122,5629762.32015047
63,GBI,16.5,3,0,150.8,56.4,426463.522165422,5629761.0946473
64,BAH,28.5,3,0,153.6,55.3,426466.214611766,5629759.72762211
65,BAH,18.5,5,0,158.7,55.3,426471.310428906,5629759.23961154
66,GES,38,1,0,158.5,52.3,426470.823527893,5629756.26120971
67,BAH,14.5,5,0,154.6,51.7,426466.869313542,5629756.03488637
68,BAH,10.5,5,0,154.9,50.4,426467.044672638,5629754.70724609
69,BAH,26,3,0,156.1,50.1,426468.214981931,5629754.29266612
70,BAH,21,4,0,159.8,49.4,426471.844965463,5629753.23919335
71,sonst PAP,27,1,0,152.3,49.2,426464.331979059,5629753.75702
72,BAH,28.5,3,0,149.5,49,426461.515137861,5629753.82511141
73,BAH,23.5,3,0,149.7,52.6,426462.059451883,5629757.40302113
74,BAH,12,5,1,142.3,57.5,426455.13439404,5629763.00709608
75,GBI,19,1,0,142,58.4,426454.920759605,5629763.93506444
76,BAH,16.5,3,0,140.3,61.2,426453.490081268,5629766.89543816
77,SEI,42.5,1,0,138.6,69.3,426452.566551179,5629775.15146498
78,BAH,17.5,3,0,139.7,74.5,426454.163228407,5629780.24194292
79,BAH,12,5,0,135.5,73,426449.823140592,5629779.14506424
80,SEI,22,2,0,134.1,74.8,426448.596527856,5629781.07755162
81,BAH,19,3,0,133.1,77.9,426447.893981906,5629784.27069745
82,GBI,33.5,1,0,129.8,83.3,426445.113405546,5629789.98204009
83,GBI,23,2,0,129.9,89.8,426445.835297796,5629796.46714016
84,BAH,24,1,0,127.9,92.6,426444.104865509,5629799.45622038
85,GBI,18,1,0,126.5,94.6,426442.897390443,5629801.58854373
86,GBI,20,1,0,125.3,95.8,426441.813200664,5629802.90238555
87,BAH,9,5,0,123.7,97.4,426440.367614292,5629804.65417464
88,GBI,18,1,0,126.8,101.8,426443.886100503,5629808.75393201
89,GBI,18,1,0,124.7,100.2,426441.634721499,5629807.35618982
90,BAH,9.5,5,0,124.3,100.6,426441.273324906,5629807.79413709
91,GBI,18.5,1,0,124.1,102.3,426441.236159133,5629809.51188047
92,GBI,17.5,2,0,122.8,104.2,426440.119033215,5629811.534717
93,GBI,10.5,3,0,124.8,105.6,426442.251356566,5629812.74219207
94,GBI,15.5,2,0,128.1,109.5,426445.921834569,5629816.32322186
95,SEI,23.5,1,0,128.6,98.1,426445.330577309,5629804.88472761
96,GBI,11.5,4,0,121,108.2,426438.703262913,5629815.70367536
97,GBI,21,1,0,119.5,107,426437.089667148,5629814.64819208
98,BAH,10,5,0,119.8,105.8,426437.274595079,5629813.42046978
99,GBI,26.5,1,0,116.7,103.6,426433.966623235,5629811.51890803
100,BAH,9,5,0,118,100.1,426434.930647795,5629807.89738377
101,GBI,10.5,4,0,121.3,99.2,426438.141821724,5629806.68235037
102,GBI,24,1,0,120.3,97.9,426437.01824704,5629805.47910494
103,BAH,7.5,5,0,122.5,98.7,426439.292993348,5629806.06793443
104,BAH,8,5,0,122.7,98.4,426439.464122809,5629805.74904282
105,GBI,26,1,0,123.2,93.4,426439.485270981,5629800.70529949
106,BAH,14,4,0,125,92.5,426441.197675164,5629799.63379861
107,BAH,14,4,0,123.7,91.7,426439.822190704,5629798.9588496
108,BAH,13,4,0,122.3,90.2,426438.279806417,5629797.59404354
109,GBI,23,1,0,124.6,89.4,426440.50136935,5629796.57461647
110,BAH,11.5,5,0,127.1,89.2,426442.980181259,5629796.13555963
111,BAH,27.5,1,1,123.7,82.3,426438.922720226,5629789.56655918
112,BAH,11,5,0,124,80.3,426439.031097478,5629787.53949302
113,BAH,8,5,0,123.8,78.2,426438.63031598,5629785.46035304
114,GBI,25,1,0,128.9,79.2,426443.821821468,5629785.97152229
115,BAH,35,1,0,128.9,77.2,426443.630444771,5629783.97316263
116,BAH,11,5,0,130.9,76.8,426445.590529094,5629783.382114
117,BAH,8,5,0,127.8,75.2,426442.339970259,5629782.08006015
118,BAH,11,5,0,126.4,71,426440.53922743,5629778.01746855
119,BAH,26,1,0,127.2,70.8,426441.319433626,5629777.7410819
120,BAH,24.5,1,0,131.2,68,426445.048225574,5629774.56062498
121,GBI,16.5,3,0,134.5,67.4,426448.288106008,5629773.64534553
