"ID_MapSmar,N,10,0","Nr,N,10,0","X,N,19,11","Y,N,19,11","Z,N,19,11","Bemerkung,C,254","BA,C,254","BHD,N,10,0","x_geogr,N,19,11","y_geogr,N,19,11"
6,3,-31.86,27.86,-6.09,,LI,28,660625.64,5654666.36
7,4,-44.45,29.58,-6.2,,HBU,20,660613.05,5654668.08
8,5,-52.44,32.61,-5.94,,HBU,32,660605.06,5654671.11
265,6,-60.5,31.6,-4.99,,ES,43,660597,5654670.1
14,8,-66.07,38.65,-5.15,,BI,33,660591.43,5654677.15
20,11,-59.71,38.43,-5.66,,HBU,20,660597.79,5654676.93
9,13,-54.45,33.82,-5.84,,HBU,21,660603.05,5654672.32
21,14,-55.23,42,-6.22,,HBU,23,660602.27,5654680.5
22,15,-46.74,36.98,-7.11,,BAH,29,660610.76,5654675.48
25,16,-45.53,39.73,-7.35,,HBU,20,660611.97,5654678.23
26,17,-40.68,38.41,-7.66,,HBU,20,660616.82,5654676.91
27,18,-40.51,36.95,-7.47,,ES,35,660616.99,5654675.45
28,20,-37.24,32.57,-6.92,,SAH,44,660620.26,5654671.07
56,23,-26.61,33,-6.9,,HBU,21,660630.89,5654671.5
31,24,-28.47,29.89,-6.47,,HBU,26,660629.03,5654668.39
54,27,-22.31,32.91,-6.71,,ES,27,660635.19,5654671.41
36,29,-13.56,30.45,-6.3,,SAH,31,660643.94,5654668.95
34,30,-14.63,27.59,-5.97,,ES,31,660642.87,5654666.09
37,31,-10.9,28.36,-5.97,,HBU,26,660646.6,5654666.86
39,32,-7.84,29.97,-6.18,,HBU,22,660649.66,5654668.47
40,33,-2.65,27.81,-5.94,,BI,28,660654.85,5654666.31
41,34,-1.36,27.27,-5.83,,BAH,22,660656.14,5654665.77
42,35,-1.15,31.61,-6.34,,ES,25,660656.35,5654670.11
43,36,-2.68,32.07,-6.44,,HBU,23,660654.82,5654670.57
49,37,-9.74,33.08,-6.51,,BI,25,660647.76,5654671.58
53,38,-19.75,35.69,-7.1,,HBU,25,660637.75,5654674.19
58,39,-24.37,37.44,-7.48,,HBU,24,660633.13,5654675.94
63,40,-27.1,36.99,-7.47,,ES,34,660630.4,5654675.49
64,41,-31.63,36.86,-7.65,,ES,23,660625.87,5654675.36
23,44,-46.75,41.26,-7.45,,ES,48,660610.75,5654679.76
18,46,-61.56,46.56,-5.77,,BI,21,660595.94,5654685.06
91,49,-64,50.79,-5.44,,EI,22,660593.5,5654689.29
89,54,-58.91,49.37,-5.89,,BI,33,660598.59,5654687.87
86,55,-57.4,51.43,-6.06,,BI,30,660600.1,5654689.93
76,57,-45.87,43.53,-7.45,,BAH,28,660611.63,5654682.03
74,59,-45.48,43.45,-7.5,,BAH,23,660612.02,5654681.95
