Plotnummer,Rueckegasse,Esche markiert,Baumart,Hoehe,Anzahl Triebe,Einjaehriger Saemling,ETS abgestorben frisch,ETS abgestorben alt,ETS lebend,Verbiss lebend,Verbiss tot,Sonstige Gruende tot,Blattflecken,Bemerkungen,Zaun,Ausgeschlossen Rand Zaun
8701,,,Sah,13,,,,,,,,,,,TRUE,FALSE
,,,Esch,6,1,1,,,,,,,,,TRUE,FALSE
,,,Esch,8,1,,,,,,,,,,TRUE,FALSE
,,,Esch,13,1,,,,,,,,,,TRUE,FALSE
,,,Esch,7,1,1,,,,,,,,,TRUE,FALSE
,,,Bah,9,,,,,,,,,,,TRUE,FALSE
,,,Esch,6,1,1,,,,,,,,,TRUE,FALSE
,,Mitte,Esch,12,3,,,,,,,,1,,TRUE,FALSE
,,,Rbu,32,,,,,,,,,,,TRUE,FALSE
,,,Sah,14,,,,,,,,,,,TRUE,FALSE
,,NW,Esch,11,1,,,,,,,,0,,TRUE,FALSE
,,,Esch,9,1,,,,,,,,,,TRUE,FALSE
,,,BAh,20,,,,,,,,,,,TRUE,FALSE
,,,BAh,10,,,,,,,,,,,TRUE,FALSE
,,NO,Esch,15,1,,,,,,,,0,,TRUE,FALSE
,,,BAh,15,,,,,,,,,,,TRUE,FALSE
,,,Esch,15,1,,,,,,,,,,TRUE,FALSE
,,,Esch,19,1,,,,,,,,,,TRUE,FALSE
,,,Sah,16,,,,,,,,,,,TRUE,FALSE
,,,Rbu,13,,,,,,,,,,,TRUE,FALSE
,,,Esch,15,1,,,,,,,,,,TRUE,FALSE
,,,BAh,9,,,,,,,,,,,TRUE,FALSE
,,,Esch,6,1,1,,,,,,,,,TRUE,FALSE
,,,Esch,4,1,1,,,,,,,,,TRUE,FALSE
,,,Sah,9,,,,,,,,,,,TRUE,FALSE
,,,Esch,6,1,1,,,,,,,,,TRUE,FALSE
,,,Esch,5,1,1,,,,,,,,,TRUE,FALSE
,,,Esch,5,1,1,,,,,,,,,TRUE,FALSE
,,,Esch,3,1,1,,,,,,,,,TRUE,FALSE
,,,Rbu,42,,,,,,,,,,,TRUE,FALSE
,,,BAh,10,,,,,,,,,,,TRUE,FALSE
,,,BAh,9,,,,,,,,,,,TRUE,FALSE
,,SO,Esch,10,1,,,,,,,,1,,TRUE,FALSE
,,,Rbu,28,,,,,,,,,,,TRUE,FALSE
,,,BAh,21,,,,,,,,,,,TRUE,FALSE
,,,Esch,4,1,1,,,,,,,,,TRUE,FALSE
,,,Esch,5,1,1,,,,,,,,,TRUE,FALSE
,,,RBu,10,,,,,,,,,,,TRUE,FALSE
8702,,,BAh,20,,,,,,,,,,,TRUE,FALSE
,,,Sah,8,,,,,,,,,,,TRUE,FALSE
,,,Esch,7,1,1,,,,,,,,,TRUE,FALSE
,,,Esch,12,1,,,,,,,,,,TRUE,FALSE
,,,Esch,6,1,1,,,,,,,,,TRUE,FALSE
,,,Esch,10,1,1,,,,,,,,,TRUE,FALSE
,,,Esch,14,1,,,,,,,,,,TRUE,FALSE
,,,Esch,7,1,1,,,,,,,,,TRUE,FALSE
