Plotnummer,Rueckegasse,Esche markiert,Baumart,Hoehe,Anzahl Triebe,Einjaehriger Saemling,ETS abgestorben frisch,ETS abgestorben alt,ETS lebend,Verbiss lebend,Verbiss tot,Sonstige Gruende tot,Blattflecken,Bemerkungen,Zaun,Ausgeschlossen Rand Zaun
8901,,NO,Esch,14,2,,,,,,,,0,,FALSE,FALSE
,,SW,Esch,13,2,,,,,1,,,0,,FALSE,FALSE
,,,RBu,30,,,,,,,,,,,FALSE,FALSE
8902,,NO,Esch,6,1,,,,,,,,0,,FALSE,FALSE
,,SO,Esch,5,1,,,,,,,,0,,FALSE,FALSE
,,,BAh,12,,,,,,,,,,,FALSE,FALSE
8903,,SO,Esch,5,1,,,,,,,,0,,FALSE,FALSE
,,,Esch,6,1,,,,,,,,,,FALSE,FALSE
,,,Esch,7,1,,,,,,,,,,FALSE,FALSE
,,,Esch,4,1,,,,,,,,,,FALSE,FALSE
,,,RBu,8,,,,,,,,,,,FALSE,FALSE
,,SW,Esch,12,1,,,,,,,,0,,FALSE,FALSE
,,NW,Esch,7,1,,,,,,,,0,,FALSE,FALSE
8904,,,HBu,8,,,,,,,,,,,FALSE,FALSE
,,,RBu,11,,,,,,,,,,,FALSE,FALSE
,,NO,Esch,11,1,,,,,,,,0,,FALSE,FALSE
,,,RBu,9,,,,,,,,,,,FALSE,FALSE
,,NW,Esch,12,1,,,,,T1,,,0,,FALSE,FALSE
,,,Esch,6,1,,,,,,,,,,FALSE,FALSE
,,,Esch,13,3,,,,,1,,,,,FALSE,FALSE
,,SO,Esch,12,3,,,,,1,,,0,,FALSE,FALSE
,,,Esch,7,1,,,,,,,,,,FALSE,FALSE
,,,Esch,9,1,,,,,,,,,,FALSE,FALSE
,,,Esch,11,1,,,,,,,,,,FALSE,FALSE
,,,Esch,7,1,,,,,,,,,,FALSE,FALSE
,,,Esch,7,1,,,,,,,,,,FALSE,FALSE
,,,Esch,5,1,,,,,,,,,,FALSE,FALSE
,,SW,Esch,7,1,,,,,,,,0,,FALSE,FALSE
8905,,,RBu,10,,,,,,,,,,,FALSE,FALSE
,,NO,Esch,7,1,,,,,,,,0,,FALSE,FALSE
,,SO,Esch,7,1,,,,,,,,1,,FALSE,FALSE
,,,Esch,4,1,,,,,,,,,,FALSE,FALSE
,,NW,Esch,8,1,,,,,,,,0,,FALSE,FALSE
,,,RBu,10,,,,,,,,,,,FALSE,FALSE
,,,Esch,9,1,,,,,,,,,,FALSE,FALSE
8906,,,WLi,6,,,,,,,,,,,FALSE,FALSE
,,NW,Esch,9,1,,,,,,,,0,,FALSE,FALSE
,,,Esch,7,1,,,,,,,,,,FALSE,FALSE
,,,Esch,9,1,,,,,,,,,,FALSE,FALSE
,,NO,Esch,4,1,,,,,,,,,,FALSE,FALSE
,,,Esch,7,1,,,,,,,,,,FALSE,FALSE
,,,Esch,7,1,,,,,,,,,,FALSE,FALSE
,,SO,Esch,5,1,,,,,,,,0,,FALSE,FALSE
,,,SWe,4,,,,,,,,,,,FALSE,FALSE
8907,,,RBu,28,,,,,,,,,,,FALSE,FALSE
,,SO,Esch,7,1,,,,,,,,0,,FALSE,FALSE
,,NO,Esch,10,1,,,,,,,,0,,FALSE,FALSE
,,,Esch,3,,,,,,T1,,,,,FALSE,FALSE
,,NW,Esch,9,1,,,,,,,,0,,FALSE,FALSE
,,,Esch,17,4,,,T1,,,,,,,FALSE,FALSE
,,SW,Esch,10,1,,,,,,,,0,,FALSE,FALSE
,,,Esch,12,2,,,,,,,1,,,FALSE,FALSE
,,,Esch,7,1,,,,,,,,,,FALSE,FALSE
8908,,SW,Esch,5,1,,,,,,,,0,,FALSE,FALSE
,,NW,Esch,6,1,,,,,,,,,,FALSE,FALSE
,,SO ,Esch,7,1,,,,,,,,,,FALSE,FALSE
8909,,SW,Esch,12,1,,,,,,,,,,FALSE,FALSE
,,,Esch,8,2,,,,,,,1,,Galle/ Krebs,FALSE,FALSE
,,M,Esch,8,2,,,,,,,,,,FALSE,FALSE
,,NW,Esch,4,1,,,,,,,,,,FALSE,FALSE
8910,,NO,Esch,11,3,,,,,,,,,,FALSE,FALSE
,,,Esch,5,1,,,,,,,,,,FALSE,FALSE
,,,Esch,5,1,,,,,,,,,,FALSE,FALSE
,,NW,Esch,4,1,,,,,,,,,,FALSE,FALSE
,,,Esch,8,1,,,,,,,,,,FALSE,FALSE
,,,Esch,17,2,,,,,,,,,,FALSE,FALSE
,, ,Esch,16,2,,,,,,,,,,FALSE,FALSE
,,,Esch,4,1,,,,,,,,,,FALSE,FALSE
,,,Esch,12,1,,,,,,,,,,FALSE,FALSE
,,,Esch,10,1,,,,,,,,,,FALSE,FALSE
,,,Esch,15,3,,,,,,,,,,FALSE,FALSE
,,,Esch,6,1,,,,,,,,,,FALSE,FALSE
,,,Esch,6,1,,,,,,,,,,FALSE,FALSE
,,SW,Esch,7,1,,,,,,,,,,FALSE,FALSE
,,,Esch,6,1,,,,,,,,,,FALSE,FALSE
,,SO ,Esch,10,1,,,,,,,,3,,FALSE,FALSE
8911,,NO,Esch,6,1,,,,,,,,3,,FALSE,FALSE
,,,Esch,9,2,,,,,,,1,,,FALSE,FALSE
,,,Esch,8,1,,,,,,,,,,FALSE,FALSE
,,SO ,Esch,7,1,,,,,,,,,,FALSE,FALSE
,,NW,Esch,5,1,,,,,,,,,,FALSE,FALSE
,,M,Esch,6,1,,,,,,,,,,FALSE,FALSE
8912,,,,,,,,,,,,,,Keine Bäume,FALSE,FALSE
8913,,SW,Esch,9,1,,,,,,,,,,FALSE,FALSE
,,,Esch,4,1,,,,,,,,,,FALSE,FALSE
,,M,Esch,5,1,,,,,,,,,,FALSE,FALSE
,,NW,Esch,11,1,,,,,,,,,,FALSE,FALSE
,,,Esch,11,1,,,,,,,,,,FALSE,FALSE
8914,,NW,Esch,5,1,,,,,,,,,,FALSE,FALSE
,,,Esch,5,1,,,,,,,,,,FALSE,FALSE
,,,Esch,4,1,,,,,,,,,,FALSE,FALSE
,,,Rbu,16,,,,,,,,,,,FALSE,FALSE
,,,Esch,11,1,,,,,,,,,,FALSE,FALSE
,,,Esch,6,1,,,,,,,,,,FALSE,FALSE
,,NO,Esch,11,1,,,,,,,,,Keine Blätter,FALSE,FALSE
,,,RBu,18,,,,,,,,,,,FALSE,FALSE
,,,Esch,10,1,,,,,,,,,,FALSE,FALSE
,,,Esch,12,1,,,,,,,,,,FALSE,FALSE
,,,Esch,7,2,,,,,,,,,,FALSE,FALSE
,,,Esch,9,2,,,,,,1,,,,FALSE,FALSE
,,,Esch,5,1,,,,,,,,,,FALSE,FALSE
,,SO,Esch,6,1,,,,,,,,3,,FALSE,FALSE
,,,Esch,11,1,,,,,,,,,,FALSE,FALSE
,,,Esch,10,2,,,,,,,,,,FALSE,FALSE
,,SW,Esch,11,1,,,,,,,,,,FALSE,FALSE
8915,,,,,,,,,,,,,,Keine Bäume,FALSE,FALSE
8916,,NW,Esch,7,3,,,,,,,,,,FALSE,FALSE
,,SW,Esch,3,1,,,,,,,,,,FALSE,FALSE
,,,BAh,13,,,,,,,,,,,FALSE,FALSE
,,NO,Esch,7,1,,,,,,,,,,FALSE,FALSE
8917,,NW,Esch,12,3,,,,,,,,,,FALSE,FALSE
,,,Esch,13,2,,,,,,1,,,,FALSE,FALSE
,,,Esch,7,1,,,,,,,,,,FALSE,FALSE
,,,Esch,22,1,,,,,,,,,,FALSE,FALSE
,,,Esch,6,1,,,,,,,,,,FALSE,FALSE
,,,Esch,24,2,,,,,,1,,,,FALSE,FALSE
,,NO,Esch,7,1,,,,,,,,,,FALSE,FALSE
,,SO,Esch,5,1,,,,,,,,,,FALSE,FALSE
,,,Esch,15,1,,,,,,,,,,FALSE,FALSE
,,,Esch,8,1,,,,,,,,,,FALSE,FALSE
,,,Esch,15,1,,,,,,,,,,FALSE,FALSE
,,,Esch,7,1,,,,,,,,,,FALSE,FALSE
,,,Esch,11,1,,,,,,,,,,FALSE,FALSE
,,,Esch,19,1,,,,,,,,,,FALSE,FALSE
,,SW,Esch,6,1,,,,,,,,,,FALSE,FALSE
,,,Esch,7,1,,,,,,,,,,FALSE,FALSE
8918,,,RBU,17,,,,,,,,,,,FALSE,FALSE
,,SO,Esch,21,1,,,,,,,,2,,FALSE,FALSE
,,,Esch,16,1,,,,,,,,,,FALSE,FALSE
,,,RBu,35,,,,,,,,,,,FALSE,FALSE
,,NW,Esch,8,1,,,,,,,,,,FALSE,FALSE
8919,,SW,Esch,21,1,,,,,,,,1,,FALSE,FALSE
,,,RBU,20,,,,,,,,,,,FALSE,FALSE
,,,Esch,6,1,,,,,,,,,,FALSE,FALSE
,,,Esch,4,1,,,,,,,,,,FALSE,FALSE
,,,Esch,5,1,,,,,,,,,,FALSE,FALSE
,,,Esch,8,1,,,,,,,,,,FALSE,FALSE
,,,Esch,16,1,,,,,,,,,,FALSE,FALSE
,,,Esch,7,1,,,,,,,,,,FALSE,FALSE
,,,RBU,22,,,,,,,,,,,FALSE,FALSE
,,,Esch,20,1,,,,,,,,,,FALSE,FALSE
,,,Esch,10,1,,,,,,,,,,FALSE,FALSE
,,,Esch,6,1,,,,,,,,,,FALSE,FALSE
,,NW,Esch,11,1,,,,,,,,1,,FALSE,FALSE
,,SO,Esch,7,1,,,,,,,,,,FALSE,FALSE
,,,Esch,11,1,,,,,,,,,,FALSE,FALSE
,,,Esch,18,1,,,,1,,,,,,FALSE,FALSE
,,,RBU,16,,,,,,,,,,,FALSE,FALSE
,,,Esch,8,1,,,,,,,,,,FALSE,FALSE
,,,Esch,7,1,,,,,,,,,,FALSE,FALSE
,,,Esch,7,1,,,,,,,,,,FALSE,FALSE
,,NO,Esch,8,1,,,,,,,,,,FALSE,FALSE
8920,,,Esch,13,1,,,,,,,,,,FALSE,FALSE
,,NW,Esch,10,2,,,,,,,,,,FALSE,FALSE
,,,Esch,12,5,,,,,,2,,,,FALSE,FALSE
,,,Esch,14,1,,,,,,,,,,FALSE,FALSE
,,,Esch,19,1,,,,,,,,,,FALSE,FALSE
,,,BAH,42,,,,,,,,,,,FALSE,FALSE
,,,RBU,80,,,,,,,,,,,FALSE,FALSE
,,,Esch,25,2,,,,,,,,,,FALSE,FALSE
,,SW,Esch,10,2,,,,,,,,,,FALSE,FALSE
,,,Esch,4,1,,,,,,,,,,FALSE,FALSE
,,,Esch,6,1,,,,,,,,,,FALSE,FALSE
,,,Esch,10,3,,,,,1,,,,,FALSE,FALSE
,,,Esch,12,1,,,,,,,,,,FALSE,FALSE
,,,Esch,13,5,,T1,,,,1,,,,FALSE,FALSE
,,MITTE,Esch,8,2,,,,,1,,,1,,FALSE,FALSE
,,,Esch,14,1,,,,,,,,,,FALSE,FALSE
,,NO,Esch,12,2,,,,,,,,1,,FALSE,FALSE
8921,,,Esch,5,2,,,,,,,,,,FALSE,FALSE
,,MITTE,Esch,24,4,,,,,1,1,,2,,FALSE,FALSE
,,,WKi,25,,,,,,,,,,,FALSE,FALSE
,,SO,Esch,14,1,,,,,,,,,,FALSE,FALSE
,,,BAh,14,,,,,,,,,,,FALSE,FALSE
8922,,NO,Esch,29,2,,,,,,,,1,,FALSE,FALSE
,,,Esch,24,1,,,,,,,,,,FALSE,FALSE
,,,Esch,20,1,,,,,,,,,,FALSE,FALSE
,,,SWe,6,,,,,,,,,,,FALSE,FALSE
,,,SWe,3,,,,,,,,,,,FALSE,FALSE
,,NW,Esch,10,1,,,,,,,,,,FALSE,FALSE
,,,Esch,12,2,,,,,,1,,,,FALSE,FALSE
,,,Esch,10,2,,,,,,,,,,FALSE,FALSE
,,MITTE,Esch,6,1,1,,,,,,,,,FALSE,FALSE
