Plotnummer,Rueckegasse,Esche markiert,Baumart,Hoehe,Anzahl Triebe,Einjaehriger Saemling,ETS abgestorben frisch,ETS abgestorben alt,ETS lebend,Verbiss lebend,Verbiss tot,Sonstige Gruende tot,Blattflecken,Bemerkungen,Zaun,Ausgeschlossen Rand Zaun
1,1,,BAh,27,,,,,,,,,,,FALSE,FALSE
,,SW,Esch,8,2,,,,,,,1,1,,FALSE,FALSE
,,,Esch,22,2,,,,,,,,,,FALSE,FALSE
,,,BAh,25,,,,,,,,,,,FALSE,FALSE
,,,BAh,15,,,,,,,,,,,FALSE,FALSE
,,,Esch,19,3,,,,,,,1,,,FALSE,FALSE
,,,Esch,17,1,,,,,,,,,,FALSE,FALSE
,,,BAh,8,,,,,,,,,,,FALSE,FALSE
,,,BAh,20,,,,,,,,,,,FALSE,FALSE
,,,BAh,50,,,,,,,,,,,FALSE,FALSE
,,,Esch,11,1,,,,,,,,,,FALSE,FALSE
,,,Esch,22,1,,,,,,,,,,FALSE,FALSE
,,,BAh,31,,,,,,,,,,,FALSE,FALSE
,,,BAh,37,,,,,,,,,,,FALSE,FALSE
,,,BAh,15,,,,,,,,,,,FALSE,FALSE
,,,BAh,12,,,,,,,,,,,FALSE,FALSE
,,,Esch,23,6,,,,,,T1,1,,Krebs/Galle,FALSE,FALSE
,,NO,Esch,18,4,,,,,,T1,,0,,FALSE,FALSE
,,,BAh,36,,,,,,,,,,,FALSE,FALSE
,,,Esch,25,4,,,,,,,,,,FALSE,FALSE
,,Mitte,Esch,12,2,,,,,,,1,0,,FALSE,FALSE
,,,Esch,32,5,,,,,,1,,,,FALSE,FALSE
,,,BAh,11,,,,,,,,,,,FALSE,FALSE
,,,BAh,19,,,,,,,,,,,FALSE,FALSE
2,1,,BAh,12,,,,,,,,,,,FALSE,FALSE
,,,BAh,10,,,,,,,,,,,FALSE,FALSE
,,,Esch,11,2,,,,,,,,,,FALSE,FALSE
,,,BAh,23,,,,,,,,,,,FALSE,FALSE
,,,BAh,14,,,,,,,,,,,FALSE,FALSE
,,,Esch,12,1,1,,,,,,,,,FALSE,FALSE
,,,BAh,8,,,,,,,,,,,FALSE,FALSE
,,,BAh,19,,,,,,,,,,,FALSE,FALSE
,,,Esch,15,2,,,,,,1,,,,FALSE,FALSE
,,,Esch,18,1,,,,,,,,,,FALSE,FALSE
,,,BAh,13,,,,,,,,,,,FALSE,FALSE
,,,BAh,25,,,,,,,,,,,FALSE,FALSE
,,Mitte,Esch,9,1,,,,,,,,1,,FALSE,FALSE
,,,Esch,19,1,,,,,,,,,,FALSE,FALSE
,,,Esch,11,2,,,1,,,,,,,FALSE,FALSE
,,,BAh,19,,,,,,,,,,,FALSE,FALSE
,,,BAh,11,,,,,,,,,,,FALSE,FALSE
,,,Esch,16,1,,,,,,,,,,FALSE,FALSE
,,,BAh,12,,,,,,,,,,,FALSE,FALSE
,,,Esch,5,1,1,,,,,,,,,FALSE,FALSE
,,,BAh,9,,,,,,,,,,,FALSE,FALSE
,,,BAh,8,,,,,,,,,,,FALSE,FALSE
,,,HBu,5,,,,,,,,,,,FALSE,FALSE
,,NW,Esch,9,1,1,,,,,,,0,,FALSE,FALSE
3,1,,BAh,7,,,,,,,,,,,FALSE,FALSE
,,,BAh,23,,,,,,,,,,,FALSE,FALSE
,,SW,Esch,21,3,,,,,,,1,0,,FALSE,FALSE
,,,BAh,4,,,,,,,,,,,FALSE,FALSE
,,,BAh,7,,,,,,,,,,,FALSE,FALSE
,,,BAh,10,,,,,,,,,,,FALSE,FALSE
,,,BAh,24,,,,,,,,,,,FALSE,FALSE
,,,BAh,29,,,,,,,,,,,FALSE,FALSE
,,,BAh,22,,,,,,,,,,,FALSE,FALSE
,,,BAh,17,,,,,,,,,,,FALSE,FALSE
,,,BAh,8,,,,,,,,,,,FALSE,FALSE
,,,BAh,7,,,,,,,,,,,FALSE,FALSE
,,,BAh,10,,,,,,,,,,,FALSE,FALSE
,,,BAh,9,,,,,,,,,,,FALSE,FALSE
,,,Esch,8,1,,,,,,,,,,FALSE,FALSE
,,,BAh,49,,,,,,,,,,,FALSE,FALSE
,,,Esch,7,1,1,,,,,,,,,FALSE,FALSE
,,NW,Esch,6,1,1,,,,,,,0,,FALSE,FALSE
,,,BAh,7,,,,,,,,,,,FALSE,FALSE
,,,Esch,17,1,,,,T1,,,,,,FALSE,FALSE
,,,Esch,11,1,,,,,,,,,,FALSE,FALSE
,,,BAh,13,,,,,,,,,,,FALSE,FALSE
,,,BAh,10,,,,,,,,,,,FALSE,FALSE
,,,Esch,15,2,,,,,,,1,,,FALSE,FALSE
,,,BAh,4,,,,,,,,,,,FALSE,FALSE
,,NO,Esch,8,1,1,,,,,,,0,,FALSE,FALSE
,,,BAh,11,,,,,,,,,,,FALSE,FALSE
,,,BAh,13,,,,,,,,,,,FALSE,FALSE
,,,BAh,7,,,,,,,,,,,FALSE,FALSE
,,,BAh,16,,,,,,,,,,,FALSE,FALSE
,,,BAh,13,,,,,,,,,,,FALSE,FALSE
,,,BAh,21,,,,,,,,,,,FALSE,FALSE
,,,BAh,15,,,,,,,,,,,FALSE,FALSE
,,,BAh,6,,,,,,,,,,,FALSE,FALSE
,,,BAh,48,,,,,,,,,,,FALSE,FALSE
,,,BAh,15,,,,,,,,,,,FALSE,FALSE
,,,BAh,6,,,,,,,,,,,FALSE,FALSE
4,1,SW,Esch,38,3,,,,,T2,,,0,,FALSE,FALSE
,,,Esch,6,1,1,,,,,,,,,FALSE,FALSE
,,,BAh,15,,,,,,,,,,,FALSE,FALSE
,,,BAh,24,,,,,,,,,,,FALSE,FALSE
,,,BAh,30,,,,,,,,,,,FALSE,FALSE
,,,BAh,12,,,,,,,,,,,FALSE,FALSE
,,,BAh,22,,,,,,,,,,,FALSE,FALSE
,,,BAh,11,,,,,,,,,,,FALSE,FALSE
,,,RBu,17,,,,,,,,,,,FALSE,FALSE
,,,BAh,22,,,,,,,,,,,FALSE,FALSE
,,,BAh,31,,,,,,,,,,,FALSE,FALSE
,,,BAh,14,,,,,,,,,,,FALSE,FALSE
,,,Esch,5,1,,,,,,,,,,FALSE,FALSE
,,,BAh,9,,,,,,,,,,,FALSE,FALSE
,,,BAh,22,,,,,,,,,,,FALSE,FALSE
,,,BAh,10,,,,,,,,,,,FALSE,FALSE
,,,BAh,14,,,,,,,,,,,FALSE,FALSE
,,,BAh,10,,,,,,,,,,,FALSE,FALSE
,,,BAh,28,,,,,,,,,,,FALSE,FALSE
,,,BAh,18,,,,,,,,,,,FALSE,FALSE
,,,BAh,21,,,,,,,,,,,FALSE,FALSE
,,,BAh,15,,,,,,,,,,,FALSE,FALSE
,,,BAh,5,,,,,,,,,,,FALSE,FALSE
,,,Esch,6,1,1,,,,,,,,,FALSE,FALSE
,,NW,Esch,4,1,1,,,,,,,1,,FALSE,FALSE
,,,Esch,5,2,,,,,,,1,,,FALSE,FALSE
,,,BAh,9,,,,,,,,,,,FALSE,FALSE
,,,Esch,5,2,,,,,,,T1,,,FALSE,FALSE
,,,BAh,5,,,,,,,,,,,FALSE,FALSE
,,,BAh,24,,,,,,,,,,,FALSE,FALSE
,,,BAh,16,,,,,,,,,,,FALSE,FALSE
,,,BAh,9,,,,,,,,,,,FALSE,FALSE
,,,BAh,25,,,,,,,,,,,FALSE,FALSE
,,,BAh,26,,,,,,,,,,,FALSE,FALSE
,,NO,Esch,9,2,,,T1,,,,,0,,FALSE,FALSE
,,,BAh,9,,,,,,,,,,,FALSE,FALSE
,,,BAh,20,,,,,,,,,,,FALSE,FALSE
,,,RBu,15,,,,,,,,,,,FALSE,FALSE
,,,BAh,13,,,,,,,,,,,FALSE,FALSE
,,,BAh,18,,,,,,,,,,,FALSE,FALSE
,,,FAh,20,,,,,,,,,,,FALSE,FALSE
,,,BAh,23,,,,,,,,,,,FALSE,FALSE
,,SO,Esch,5,1,1,,,,,,,0,,FALSE,FALSE
,,,BAh,21,,,,,,,,,,,FALSE,FALSE
,,,BAh,24,,,,,,,,,,,FALSE,FALSE
,,,BAh,9,,,,,,,,,,,FALSE,FALSE
,,,BAh,17,,,,,,,,,,,FALSE,FALSE
,,,BAh,12,,,,,,,,,,,FALSE,FALSE
,,,BAh,10,,,,,,,,,,,FALSE,FALSE
,,,BAh,8,,,,,,,,,,,FALSE,FALSE
5,,SW,Esch,21,2,,,,,,,,1,,FALSE,FALSE
,,,Esch,34,2,,,,,,,,,,FALSE,FALSE
,,,BAh,23,,,,,,,,,,,FALSE,FALSE
,,,BAh,22,,,,,,,,,,,FALSE,FALSE
,,,BAh,30,,,,,,,,,,,FALSE,FALSE
,,,BAh,34,,,,,,,,,,,FALSE,FALSE
,,,BAh,20,,,,,,,,,,,FALSE,FALSE
,,,BAh,25,,,,,,,,,,,FALSE,FALSE
,,,BAh,16,,,,,,,,,,,FALSE,FALSE
,,,BAh,10,,,,,,,,,,,FALSE,FALSE
,,,RBu,15,,,,,,,,,,,FALSE,FALSE
,,,Esch,8,1,1,,,,,,,,,FALSE,FALSE
,,,BAh,10,,,,,,,,,,,FALSE,FALSE
,,,Esch,14,2,,,,,,,,,,FALSE,FALSE
,,,BAh,8,,,,,,,,,,,FALSE,FALSE
,,,BAh,28,,,,,,,,,,,FALSE,FALSE
,,,BAh,11,,,,,,,,,,,FALSE,FALSE
,,,BAh,10,,,,,,,,,,,FALSE,FALSE
,,,BAh,38,,,,,,,,,,,FALSE,FALSE
,,,BAh,14,,,,,,,,,,,FALSE,FALSE
,,,BAh,27,,,,,,,,,,,FALSE,FALSE
,,,BAh,12,,,,,,,,,,,FALSE,FALSE
,,,BAh,19,,,,,,,,,,,FALSE,FALSE
,,,BAh,30,,,,,,,,,,,FALSE,FALSE
,,,BAh,17,,,,,,,,,,,FALSE,FALSE
,,,BAh,10,,,,,,,,,,,FALSE,FALSE
,,,BAh,46,,,,,,,,,,,FALSE,FALSE
,,NW,Esch,38,1,,,,,,,,1,,FALSE,FALSE
,,,BAh,9,,,,,,,,,,,FALSE,FALSE
,,,BAh,8,,,,,,,,,,,FALSE,FALSE
,,,BAh,11,,,,,,,,,,,FALSE,FALSE
,,,RBu,13,,,,,,,,,,,FALSE,FALSE
,,NO,Esch,13,1,,,,,,,,0,,FALSE,FALSE
,,,Esch,17,1,,,,,,,,,,FALSE,FALSE
,,,Esch,11,1,,,,,,,,,,FALSE,FALSE
,,,Esch,8,1,1,,,,,,,,,FALSE,FALSE
,,,Esch,8,1,1,,,,,,,,,FALSE,FALSE
,,,BAh,13,,,,,,,,,,,FALSE,FALSE
,,,RBu,22,,,,,,,,,,,FALSE,FALSE
,,,Esch,23,1,,,,,,,,,,FALSE,FALSE
,,,BAh,26,,,,,,,,,,,FALSE,FALSE
,,,BAh,9,,,,,,,,,,,FALSE,FALSE
,,,BAh,13,,,,,,,,,,,FALSE,FALSE
,,SO,Esch,4,1,1,,,,,,,0,,FALSE,FALSE
,,,BAh,10,,,,,,,,,,,FALSE,FALSE
,,,BAh,14,,,,,,,,,,,FALSE,FALSE
6,,,BAh,15,,,,,,,,,,,FALSE,FALSE
,,NO,Esch,8,1,,,,,,,,1,,FALSE,FALSE
,,,Esch,14,1,,,,,,,,,,FALSE,FALSE
,,,Esch,18,2,,,,,,,1,,,FALSE,FALSE
,,,BAh,11,,,,,,,,,,,FALSE,FALSE
,,,Esch,13,1,,,,,,,,,,FALSE,FALSE
,,,BAh,17,,,,,,,,,,,FALSE,FALSE
,,,BAh,5,,,,,,,,,,,FALSE,FALSE
,,,BAh,6,,,,,,,,,,,FALSE,FALSE
,,,Esch,7,1,,,,,,,,,,FALSE,FALSE
,,,Esch,22,1,,,,,,,,,,FALSE,FALSE
,,,Esch,25,3,,,,,,,1,,,FALSE,FALSE
