Plotnummer,Rueckegasse,Esche markiert,Gefunden,Baumart,Hoehe,Anzahl Triebe,Einjaehriger Saemling,ETS abgestorben frisch,ETS abgestorben alt,ETS lebend,Verbiss lebend,Verbiss tot,Sonstige Gruende tot,Gruene Hoehe,Aceria fraxinivora,Nicht gerade,Bemerkungen
8701,,so,t,esch,10,1,,,,,,,,,,,
,,,,rbu,32,,,,,,,,,,,,
,,,,bah,7,,,,,,,,,,,,
,,,,bah,11,,,,,,,,,,,,
,,,,esch,7,1,,,,,,,,,,,
,,,,esch,6,1,,,,,,,,,,,
,,,,esch,8,1,,,,,,,,,,,
,,,,esch,7,1,,,,,,,,,,,
,,,,bah,16,,,,,,,,,,,,
,,,,esch,6,1,,,,,,,,,,,
,,,,esch,9,1,,,,,,,,,,,
,,,,esch,16,1,,,,,,,,,,,
,,,,esch,7,1,,,,,,,,,,,
,,,,bah,14,,,,,,,,,,,,
,,nw,t,esch,12,1,,,,,,,,,,,
,,,,esch,7,1,,,,,,,,,,,
,,,,esch,7,1,,,,,,,,,,,
,,,,rbu,37,,,,,,,,,,,,
,,mitte,t,esch,14,2,,,,,,1,,,,,
,,no,t,esch,15,2,,,,,,,1,,,,
,,,,bah,21,,,,,,,,,,,,
,,,,bah,10,,,,,,,,,,,,
,,,,esch,17,1,,,,,,,,,,,
,,,,bah,14,,,,,,,,,,,,
,,,,rbu,15,,,,,,,,,,,,
,,,,esch,14,1,,,,,,,,,,,
,,,,esch,7,1,,,,,,,,,,,
,,,,rbu,42,,,,,,,,,,,,
,,,,bah,3,,,,,,,,,,,,
8702,,,,rbu,22,,,,,,,,,,,,
,,nw,t,esch,10,1,,,,,,,,,,,
,,,,lindewi,19,,,,,,,,,,,,
,,,,bah,19,,,,,,,,,,,,
,,,,bah,14,,,,,,,,,,,,
,,,,esch,12,1,,,,,,,,,,,
,,,,esch,8,2,,,,,,,,,,,
,,,,esch,13,1,,,,,,,,,,,war markiert aber nicht in der alten Tabelle aufgenommen
,,,,esch,17,1,,,,,,,,,,,
,,,,esch,16,1,,,,,,,,,,,
,,,,esch,11,1,,,,,,,,,,,
,,,,bah,15,,,,,,,,,,,,
,,sw,t,esch,14,1,,,,,,,,,,,
,,,,bah,20,,,,,,,,,,,,
,,,,bah,25,,,,,,,,,,,,
,,,,lindewi,23,,,,,,,,,,,,
,,,,lindewi,35,,,,,,,,,,,,
,,,,bah,13,,,,,,,,,,,,
,,,,esch,9,1,,,,,,,,,,,
,,,,bah,10,,,,,,,,,,,,
,,,,esch,13,,,,,,,,,,,,
,,,,bah,14,,,,,,,,,,,,
,,,,bah,14,,,,,,,,,,,,
,,,,bah,16,,,,,,,,,,,,
,,,,bah,15,,,,,,,,,,,,
,,,,rbu,16,,,,,,,,,,,,
,,,,bah,19,,,,,,,,,,,,
,,,,bah,11,,,,,,,,,,,,
,,,,rbu,18,,,,,,,,,,,,
,,,,rbu,17,,,,,,,,,,,,
,,,,esch,10,1,,,,,,,,,,,
,,,,esch,6,1,,,,,,,,,,,
,,no,t,esch,18,1,,,,,,,,,,,
,,,,esch,7,1,,,,,,,,,,,
,,,,bah,25,,,,,,,,,,,,
,,,,esch,15,1,,,,,,,,,,,
,,,,esch,16,1,,,,,,,,,,,
,,,,esch,18,1,,,,,,,,,,,
,,,,bah,33,,,,,,,,,,,,
,,,,rbu,29,,,,,,,,,,,,
,,,,bah,15,,,,,,,,,,,,
,,,,bah,10,,,,,,,,,,,,
8703,,so,t,esch,28,3,,t3,,,,,,,,,tot
,,,,esch,13,1,,,,,,,,,,,
,,,,esch,11,1,,,,,,,,,,,
,,,,esch,25,4,,,,,,,,,,,
,,,,esch,8,2,,,,,,,,,,x,liegend
,,,,esch,12,3,,,,,,,,,,,
,,,,sah,9,,,,,,,,,,,,
,,,,esch,39,8,,,t6,,,,,16,,,
,,,,esch,29,2,,,,,,,,,,,
,,,,esch,15,2,,,,,,,1,,,,
,,sw,t,esch,18,1,,,,,,,,,,,
,,,,esch,12,1,,,,,,,,,,,
,,,,esch,26,3,,,t1,,,,,15,,,
,,,,esch,25,1,,,,,,,,,,,
,,,,esch,17,2,,,,,,1,,,,,
,,,,esch,21,2,,,,,,,,,,,
,,,,esch,30,3,,,,,,1,1,,,,
,,,,esch,16,1,,,,,,,,,,,
,,,,esch,24,1,,,,,,,,,,,
,,,,esch,18,1,,,,,,,,,,,
,,,,esch,20,1,,,,,,,,,,,
,,,,esch,7,1,,,,,,,,,,,
,,,,esch,18,4,,,,,,,3,,,,
,,,,esch,15,1,,,,,,,,,,,
,,,,esch,15,5,,,,,,,1,,,X,
,,,,esch,28,7,,,T4,,,,,19,,,
,,,,esch,25,7,,,,,,,1,,,,
,,,,esch,18,3,,,,,,,,,,,
,,mitte,t,esch,18,5,,,,,,,1,,,,
,,,,esch,17,1,,,,,,,,,,,
,,nw,f,esch,,,,,,,,,,,,,
,,,,esch,25,5,,,,,,,,,,,
,,,,esch,23,2,,,,,,,,,,,
,,,,bah,12,,,,,,,,,,,,
,,,,esch,13,1,,,,,,,,,,,
8704,,so,t,esch,13,1,,,,,,,,,,,
,,,,esch,14,1,,,,,,,,,,,
,,,,esch,23,3,,,,,,,2,,,,
,,,,esch,20,3,,,,,,1,,,,,
,,,,esch,11,1,,,,,,,,,,,
,,,,bah,14,,,,,,,,,,,,
,,no,t,esch,10,1,,,,,,,,,,,war markiert aber im alten Datensatz wohl leider nichts markiert
,,,,esch,8,1,,,,,,,,,,,
,,,,esch,8,2,,,,,,,1,,,,
,,,,esch,9,1,,,,,,,,,,,
,,mitte,t,esch,6,1,,,,,,,,,,,
,,,,esch,11,1,,,,,,,,,,,
,,,,esch,5,1,,,,,,,,,,,
,,nw,t,esch,8,2,,,,,,,1,,,,
,,,,bah,11,,,,,,,,,,,,
,,,,esch,17,3,,,,,,,1,,,,
,,,,esch,16,2,,,,,,,1,,,,
,,,,esch,23,3,,,,,,,1,,,,
,,,,esch,15,1,,,,,,,,,,,
,,,,bah,5,,,,,,,,,,,,
8705,,nw,t,esch,7,2,,,,,,,,,,,
,,,,esch,6,1,,,,,,,,,,,
,,,,esch,7,1,,,,,,,,,,,
,,,,esch,7,1,,,,,,,,,,,
,,,,esch,5,1,,,,,,,,,,,
,,,,bah,7,,,,,,,,,,,,
,,,,bah,14,,,,,,,,,,,,
,,,,esch,9,1,,,,,,,,,,,
,,no,t,esch,8,1,,,,,,,,,,,
,,,,hbu,9,,,,,,,,,,,,
,,,,esch,15,1,,,,,,,,,,,
,,,,esch,10,1,,,,,,,,,,,
,,,,esch,7,1,,,,,,,,,,,
,,,,esch,12,1,,,,,,,,,,,
,,,,bah,6,,,,,,,,,,,,
,,,,rbu,12,,,,,,,,,,,,
,,,,esch,4,1,,,,,,,,,,,
,,,,esch,6,1,,,,,,,,,,,
,,,,esch,7,1,,,,,,,,,,,
,,sw,t,esch,8,1,,,,,,,,,,,
,,,,bah,7,1,,,,,,,,,,,
,,,,esch,5,1,,,,,,,,,,,
,,,,esch,7,1,,,,,,,,,,,
,,,,esch,7,1,,,,,,,,,,,
,,,,bah,10,,,,,,,,,,,,
,,,,esch,6,1,1,,,,,,,,,,
,,,,esch,11,2,,,,,,,t1,7,,,
,,,,esch,6,1,,,,,,,,,,,
,,,,esch,5,1,,,,,,,,,,,
,,so,t,esch,7,1,,,,,,,,,,,
,,,,esch,7,1,,,,,,,,,,,
,,,,esch,5,1,,,,,,,,,,,
,,,,esch,6,1,,,,,,,,,,,
,,,,esch,9,1,,,,,,,,,,,
,,,,esch,7,1,,,,,,,,,,,
,,,,esch,12,2,,,,,,,t1,12,,,
,,,,esch,13,1,,,,,,,,,,,
,,,,esch,6,1,,,,,,,,,,,
,,,,esch,7,1,,,,,,,,,,,
,,,,esch,7,1,,,,,,,,,,,
,,,,bah,7,,,,,,,,,,,,
,,,,esch,8,1,,,,,,,,,,,
8706,,nw,t,esch,8,1,,,,,,,,,,,
,,,,bah,10,,,,,,,,,,,,
,,,,bah,11,,,,,,,,,,,,
,,,,bah,7,,,,,,,,,,,,
,,,,bah,12,,,,,,,,,,,,
,,,,rbu,9,,,,,,,,,,,,
,,,,esch,7,1,,,,,,,,,,,
,,,,esch,8,1,,,,,,,,,,,
,,,,esch,7,1,,,,,,,,,,,
,,no,t,esch,14,1,,,,,,,,,,,
,,,,esch,6,1,,,,,,,,,,,
,,,,bah,13,,,,,,,,,,,,
,,,,bah,11,,,,,,,,,,,,
,,,,bah,6,,,,,,,,,,,,
,,,,esch,6,1,,,,,,,,,,,
,,sw,t,esch,7,1,,,,,,,,,,,
,,,,esch,8,1,,,,,,,,,,,
,,,,esch,7,1,,,,,,,,,,,
,,,,bah,12,,,,,,,,,,,,
,,,,rbu,12,,,,,,,,,,,,
,,,,bah,9,,,,,,,,,,,,
,,,,esch,4,1,,,,,,,,,,,
,,,,bah,14,,,,,,,,,,,,
,,,,bah,10,,,,,,,,,,,,
8707,,,,bah,13,,,,,,,,,,,,
,,,,esch,15,2,,,,,,t1,,15,,,
,,,,bah,17,,,,,,,,,,,,
,,,,bah,11,,,,,,,,,,,,
,,mitte,t,esch,16,1,,,,,,,,,,,
,,,,bah,7,,,,,,,,,,,,
,,nw,t,esch,17,1,,,,,,,,,,,
,,,,bah,7,,,,,,,,,,,,
,,,,esch,7,1,,,,,,,,,,,
,,,,esch,8,1,,,,,,,,,,,
,,,,bah,12,,,,,,,,,,,,
,,,,esch,13,1,,,,,,,,,,,
,,,,esch,7,1,,,,,,,,,,,
,,,,esch,8,1,,,,,,,,,,,
,,,,rbu,25,,,,,,,,,,,,
,,,,esch,15,,,,,,,,,,,,
,,,,esch,14,,,,,,,,,,,,
8708,,,,esch,7,1,,,,,,,,,,,
,,,,rbu,17,,,,,,,,,,,,
,,,,bah,23,,,,,,,,,,,,
,,,,bah,14,,,,,,,,,,,,
,,nw,t,esch,6,1,,,,,,,,,,,
,,,,esch,7,1,,,,,,,,,,,
,,,,esch,21,3,,,,,,,,,,,
,,,,esch,14,1,,,,,,,,,,,
,,,,bah,16,,,,,,,,,,,,
,,,,bah,9,,,,,,,,,,,,
,,so,t,esch,12,1,,,,,,,,,,,
,,,,esch,24,2,,,,,,,,,,,
,,,,esch,23,1,,,,,,,,,,,
,,,,esch,20,1,,,,,,,,,,,
,,mitte,t,esch,16,1,,,,,,,,,,,
,,,,esch,11,1,,,,,,,,,,,
,,no,t,esch,6,1,,,,,,,t1,,,,tot
,,,,bah,9,,,,,,,,,,,,
,,,,bah,9,,,,,,,,,,,,
,,,,esch,6,1,,,,,,,,,,,
8709,,,,bah,10,,,,,,,,,,,,rbu (3) im sw
,,,,esch,7,1,,,,,,,,,,,
,,,,bah,11,,,,,,,,,,,,
,,,,bah,9,,,,,,,,,,,,
,,,,bah,9,,,,,,,,,,,,
,,,,bah,10,,,,,,,,,,,,
,,,,bah,15,,,,,,,,,,,,
,,so,t,esch,4,1,,,,,,,1,,,,tot
,,,,esch,6,1,,,,,,,,,,,
,,,,sah,13,,,,,,,,,,,,
,,,,sah,14,,,,,,,,,,,,
,,sw,t,esch,6,1,,,,,,,,,,,
,,,,esch,5,1,,,,,,,,,,,
,,,,bah,9,,,,,,,,,,,,
,,,,bah,6,,,,,,,,,,,,
,,,,bah,12,,,,,,,,,,,,
,,mitte,t,esch,12,1,,,,,,,,,,,
,,,,bah,8,,,,,,,,,,,,
,,,,bah,15,,,,,,,,,,,,
,,nw,t,esch,8,1,,,,,,,,,,,
8710,,,,bah,5,,,,,,,,,,,,
,,,,bah,9,,,,,,,,,,,,
,,so,t,esch,9,1,,,,,,,,,,,
,,no,t,esch,8,1,,,,,,,,,,,
,,,,esch,16,1,,,,,,,,,,,
,,,,esch,7,1,,,,,,,,,,,
,,,,esch,5,1,,,,,,,,,,,
,,,,esch,6,1,,,,,,,,,,,
,,,,bah,10,,,,,,,,,,,,
,,,,bah,9,,,,,,,,,,,,
,,nw,t,esch,9,1,,,,,,,,,,,
,,,,rbu,11,,,,,,,,,,,,
,,,,esch,9,1,,,,,,,,,,,
,,,,esch,11,1,,,,,,,,,,,
,,,,sah,12,,,,,,,,,,,,
,,sw,t,esch,4,1,,,,,,,,,,,
8711,,nw,t,esch,8,1,,,,,,,,,,,
,,,,esch,9,1,,,,,,,,,,,
,,,,bah,7,,,,,,,,,,,,
,,,,bah,10,,,,,,,,,,,,
,,,,bah,9,,,,,,,,,,,,
,,,,esch,7,1,,,,,,,,,,,
,,,,esch,4,1,,,,,,,,,,,
,,,,esch,7,1,,,,,,,,,,,
,,,,esch,8,1,,,,,,,,,,,
,,,,bah,5,,,,,,,,,,,,
,,,,esch,7,1,,,,,,,,,,,
,,,,rbu,12,,,,,,,,,,,,
,,,,rbu,11,,,,,,,,,,,,
,,,,esch,6,1,,,,,,,,,,,
,,,,bah,7,,,,,,,,,,,,
,,,,esch,8,1,,,,,,,,,,,
,,,,esch,7,1,,,,,,,,,,,
,,,,bah,11,,,,,,,,,,,,
,,,,esch,6,1,,,,,,,,,,,
,,no,t,esch,5,1,,,,,,,,,,,
,,,,esch,8,2,,,,,,,,,,,
,,,,esch,7,1,,,,,,,,,,,
,,,,esch,6,1,,,,,,,,,,,
,,,,esch,6,1,,,,,,,,,,,
,,,,esch,8,1,,,,,,,,,,,
,,,,bah,10,,,,,,,,,,,,
,,,,bah,8,,,,,,,,,,,,
,,,,esch,8,1,,,,,,,,,,,
,,,,bah,10,,,,,,,,,,,,
,,so,t,esch,9,1,,,,,,,,,,,
,,sw,t,esch,8,1,,,,,,,,,,,
,,,,esch,9,1,,,,,,,,,,,
,,,,rbu,11,,,,,,,,,,,,
,,,,esch,7,1,,,,,,,,,,,
,,,,esch,9,1,,,,,,,,,,,
,,,,bah,11,,,,,,,,,,,,
,,,,esch,10,1,,,,,,,,,,,
,,,,bah,9,,,,,,,,,,,,
,,,,esch,9,1,,,,,,,,,,,
,,,,esch,9,1,,,,,,,,,,,
,,,,esch,9,1,,,,,,,,,,,
8712,,no,t,esch,8,1,,,,,,,,,,,
,,,,sah,12,,,,,,,,,,,,
,,,,bah,7,,,,,,,,,,,,
,,,,bah,6,,,,,,,,,,,,
,,,,bah,6,,,,,,,,,,,,
,,,,esch,9,2,,,,,,t1,,8,,,
,,,,bah,10,,,,,,,,,,,,
,,,,esch,5,1,,,,,,,,,,,
,,,,bah,12,,,,,,,,,,,,
,,,,esch,8,1,,,,,,,,,,,
,,,,bah,9,,,,,,,,,,,,
,,,,bah,7,,,,,,,,,,,,
,,Mitte,t,esch,11,3,,t1,,,,,,6,,,
,,,,esch,9,1,,,,,,,,,,,
,,,,bah,19,,,,,,,,,,,,
,,,,esch,16,2,,,,,,,,,,,
,,,,esch,7,1,,,,,,,,,,,
,,,,bah,11,,,,,,,,,,,,
,,,,esch,7,1,,,,,,,,,,,
,,nw,t,esch,5,1,,,,,,,,,,,
,,,,esch,7,1,,,,,,,,,,,
,,,,bah,16,,,,,,,,,,,,
,,,,bah,8,,,,,,,,,,,,
,,,,esch,7,1,,,,,,,,,,,
,,,,esch,8,1,,,,,,,,,,,
,,,,esch,8,1,,,,,,,,,,,
,,,,esch,11,1,,,,,,,,,,,
,,,,esch,4,2,,,,,,,1,,,,
,,,,bah,10,,,,,,,,,,,,
,,sw,t,esch,11,1,,,,,,,,,,,
,,,,rbu,23,,,,,,,,,,,,
,,,,sah,12,,,,,,,,,,,,
,,,,esch,11,1,,,,,,,,,,,
,,,,esch,18,1,,,,,,,,,,,
,,,,esch,10,1,,,,,,,,,,,
8713,,,,bah,9,,,,,,,,,,,,
,,,,bah,16,,,,,,,,,,,,
,,,,bah,9,,,,,,,,,,,,
,,sw,t,esch,4,1,,,,,,,,,,,
,,,,bah,13,,,,,,,,,,,,
,,,,bah,10,,,,,,,,,,,,
,,,,esch,16,1,,,,,,1,,,,,
,,,,esch,7,1,,,,,,,,,,,
,,,,lindewi,9,,,,,,,,,,,,
,,,,esch,17,5,,,,,,1,1,,1,,
,,,,bah,11,,,,,,,,,,,,
,,,,bah,11,,,,,,,,,,,,
,,,,esch,4,1,t,,,,,,,,,,
,,,,esch,7,1,,,,,,,,,,,
,,,,esch,6,1,,,,,,,,,,,
,,,,bah,10,,,,,,,,,,,,
,,,,esch,9,1,,,,,,,,,,,
,,,,esch,3,2,,t1,,,,,,2,,t,
,,,,bah,16,,,,,,,,,,,,
,,,,bah,13,,,,,,,,,,,,
,,,,esch,9,1,,,,,,,,,,,
,,,,esch,6,1,,,,,,,,,,,
,,,,esch,10,1,,,,,,,,,,,
,,,,esch,7,1,,,,,,,,,,,
,,,,bah,9,,,,,,,,,,,,
