Plotnummer,Rueckegasse,Esche markiert,Gefunden,Baumart,Hoehe,Anzahl Triebe,Einjaehriger Saemling,ETS abgestorben frisch,ETS abgestorben alt,ETS lebend,Verbiss lebend,Verbiss tot,Sonstige Gruende tot,Gruene Hoehe,Aceria fraxinivora,Nicht gerade,Bemerkungen
8901,,no,t,esch,16,4,,,,,,1,,,,,
8901,,sw,t,esch,16,2,,,,,,1,,,,,
8901,,,,rbu,31,,,,,,,,,,,,
8902,,,,WeideSa,14,,,,,,,,,,,,
8902,,,,WeideSa,19,,,,,,,,,,,,
8902,,,,esch,5,2,,,,,,,,,,x,
8902,,,,esch,7,1,,,,,,,,,,,
8902,,no,t,esch,10,1,,,,,,,,,,,
8902,,,,esch,10,1,,,,,,,,,,,
8902,,so,t,esch,7,1,,,,,,,,,,,
,,,,esch,6,1,t,,,,,,,,,,
,,,,esch,7,1,t,,,,,,,,,,
8903,,,,esch,10,1,,,,,,,,,,,
,,,,esch,7,4,,,,,,,3,,,,
,,,,rbu,10,,,,,,,,,,,,
,,sw,t,esch,17,3,,,,,,1,,,,,
,,,,esch,8,1,,,,,,,,,,,
,,so,t,esch,10,1,,,,,,,,,,,
,,nw,t,esch,10,1,,,,,,,,,,,
8904,,,,WeideSa,25,,,,,,,,,,,,
,,,,WeideSa,10,,,,,,,,,,,,
,,,,hainBu,29,,,,,,,,,,,,
,,,,rbu,16,,,,,,,,,,,,
,,no,t,esch,19,1,,,,,,,,,,,
,,,,WeideSa,8,,,,,,,,,,,,
,,,,esch,8,1,,,,,,,,,,,
,,nw,f,,,,,,,,,,,,,,
,,so,t,esch,12,5,,,,,1,2,,,,,
,,,,esch,9,3,,,,,,1,,,,,
,,,,esch,6,1,t,,,,,,,,,,
,,sw,t,esch,11,1,,,,,,,,,,,
,,,,esch,11,2,,,,,t1,,,7,,,
,,,,esch,9,1,,,,,,,,,,,
,,,,esch,9,2,,,,,,,1,,,,
,,,,esch,14,1,,,,,,,,,,,
,,,,esch,15,3,,,,,,1,1,,,,
8905,,no,t,esch,10,1,,,,,,,,,,,
,,,,rbu,18,,,,,,,,,,,,
,,so,t,esch,7,1,,,,,,,,,,,
,,,,esch,6, ,,,,,,,,,,,vergilbt
,,,,esch,10,3,,,,,,,2,,,,
,,nw,t,esch,10,1,,,,,,,,,,,
,,,,rbu,15,,,,,,,,,,,,
8906,,,,wli,11,,,,,,,,,,,,
,,,,esch,5,1,,,,,,,,,,,
,,nw,t,esch,14,1,,,,,,,,,,,
,,,,esch,13,1,,,,,,,,,,,
,,,,esch,10,1,,,,,,,,,,,
,,,,esch,12,1,t,,,,,,,,,,
