Plotnummer,Rueckegasse,Esche markiert,Gefunden,Baumart,Hoehe,Anzahl Triebe,Einjaehriger Saemling,ETS abgestorben frisch,ETS abgestorben alt,ETS lebend,Verbiss lebend,Verbiss tot,Sonstige Gruende tot,Gruene Hoehe,Aceria fraxinivora,Nicht gerade,Bemerkungen
1,,,,bah,57,,,,,,,,,,,,
,,no,t,esch,18,5,,,t1,,,,,16,,x,
,,,,esch,35,7,,,,,,,,,,,
,,,,esch,31,9,,,,,,2,,,,,
,,,,bah,34,,,,,,,,,,,,
,,,,esch,5,1,1,,,,,,,,,,
,,,,bah,8,,,,,,,,,,,,
,,,,bah,15,,,,,,,,,,,,
,,,,esch,10,1,,,,,,,,,,,
,,,,bah,10,,,,,,,,,,,,
,,mitte,t,esch,19,1,,,,,,,,,,,
,,,,esch,36,10,,,,,,1,1,,1,,
,,,,esch,8,1,1,,,,,,,,,,
,,,,bah,13,,,,,,,,,,,,
,,,,bah,26,,,,,,,,,,,,
,,,,esch,7,1,1,,,,,,,,,,
,,,,esch,8,1,1,,,,,,,,,,
,,,,esch,9,1,1,,,,,,,,,,
,,,,esch,10,1,1,,,,,,,,,,
,,,,esch,9,1,1,,,,,,,,,,
,,,,esch,7,1,1,,,,,,,,,,
,,,,bah,9,,,,,,,,,,,,
,,,,bah,8,,,,,,,,,,,,
,,,,hbu,3,,,,,,,,,,,,
,,,,bah,27,,,,,,,,,,,,
,,,,bah,23,,,,,,,,,,,,
,,,,esch,13,2,,,,,,,,,,x,liegend
,,,,bah,38,,,,,,,,,,,,
,,,,esch,6,1,1,,,,,,,,,,
,,,,esch,9,1,1,,,,,,,,,,
,,,,esch,12,1,,,,,,,,,,,
,,sw,t,esch,11,1,,,,,,,,,,,
,,,,esch,26,6,,,,,,2,,,,,
,,,,bah,32,,,,,,,,,,,,
,,,,esch,28,7,,,,,,2,1,,,,
,,,,bah,55,,,,,,,,,,,,
,,,,esch,10,1,1,,,,,,,,,,
,,,,bah,8,,,,,,,,,,,,
,,,,esch,9,1,1,,,,,,,,,,
,,,,esch,10,1,1,,,,,,,,,,
,,,,bah,10,,,,,,,,,,,,
2,,nw,t,esch,13,1,,,,,,,,,,,
,,,,bah,11,,,,,,,,,,,,
,,,,bah,15,,,,,,,,,,,,
,,,,esch,8,1,,,,,,,,,,,
,,,,esch,8,1,1,,,,,,,,,,
,,,,esch,7,1,1,,,,,,,,,,
,,,,bah,29,,,,,,,,,,,,
,,,,bah,30,,,,,,,,,,,,
,,,,esch,15,2,,,1,,,,,,,,
,,mitte,t,esch,15,2,,,,,,,1,,,,
,,,,esch,18,5,,,,,,,2,,,,
,,,,bah,15,,,,,,,,,,,,
,,,,bah,32,,,,,,,,,,,,
,,,,esch,22,1,,,,,,,,,,,
,,,,bah,13,,,,,,,,,,,,
,,,,esch,7,1,1,,,,,,,,,,
,,,,bah,13,,,,,,,,,,,,
,,,,esch,7,1,1,,,,,,,,,,
,,,,esch,6,1,1,,,,,,,,,,
,,,,bah,27,,,,,,,,,,,,
,,,,esch,10,1,1,,,,,,,,,,
,,,,bah,11,,,,,,,,,,,,
,,,,esch,17,2,,,,,,,1,,,,
,,,,esch,16,2,,,,,,,,,,,
,,,,esch,7,1,1,,,,,,,,,,
3,,no,t,esch,15,1,,,,,,,,,,,
,,,,esch,10,1,1,,,,,,,,,,
,,,,bah,17,,,,,,,,,,,,
,,,,bah,25,,,,,,,,,,,,
,,,,esch,20,1,,,,,,,,,,,
,,,,bah,15,,,,,,,,,,,,
,,,,bah,7,,,,,,,,,,,,
,,,,bah,34,,,,,,,,,,,,
,,,,bah,25,,,,,,,,,,,,
,,,,bah,20,,,,,,,,,,,,
,,,,bah,17,,,,,,,,,,,,
,,,,bah,8,,,,,,,,,,,,
,,,,bah,19,,,,,,,,,,,,
,,,,bah,26,,,,,,,,,,,,
,,sw,t,esch,30,3,,,,,,,,,,,
,,,,bah,24,,,,,,,,,,,,
,,,,bah,25,,,,,,,,,,,,
,,,,bah,12,,,,,,,,,,,,
,,,,bah,32,,,,,,,,,,,,
,,,,bah,10,,,,,,,,,,,,
,,,,esch,8,1,1,,,,,,,,,,
,,,,esch,7,1,1,,,,,,,,,,
,,,,esch,3,1,1,,,,,,,,,,
,,,,esch,10,1,1,,,,,,,,,,
,,,,bah,51,,,,,,,,,,,,
,,,,bah,8,,,,,,,,,,,,
,,,,bah,11,,,,,,,,,,,,
,,,,bah,13,,,,,,,,,,,,
,,nw,t,esch,10,1,,,,,,,,,,,
,,,,esch,9,1,,,,,,,,,,,
,,,,esch,22,1,,,,,,,,,,,
,,,,esch,15,1,,,,,,,,,,,
,,,,bah,10,,,,,,,,,,,,
4,,,,bah,32,,,,,,,,,,,,
,,,,bah,15,,,,,,,,,,,,
,,,,bah,20,,,,,,,,,,,,
,,,,bah,24,,,,,,,,,,,,
,,,,bah,12,,,,,,,,,,,,
,,,,bah,16,,,,,,,,,,,,
,,,,bah,25,,,,,,,,,,,,
,,,,esch,10,2,,,,,,,1,,,X,LIEGEND
,,,,esch,4,1,1,,,,,,,,,,
,,,,esch,5,1,1,,,,,,,,,,
,,,,bah,34,,,,,,,,,,,,
,,nw,f,esch,,,,,,,,,,,,,
,,,,bah,27,,,,,,,,,,,,
,,,,rbu,20,,,,,,,,,,,,
,,,,bah,34,,,,,,,,,,,,
,,,,bah,49,,,,,,,,,,,,
,,,,bah,30,,,,,,,,,,,,
,,,,esch,47,6,,,,,,,2,,,,
,,,,bah,14,,,,,,,,,,,,
,,,,rbu,21,,,,,,,,,,,,
,,,,bah,27,,,,,,,,,,,,
