          name           ,        time        , DSF, ISF, TSF, Opn,GapF,  LAI, ELAD, atm,Cos,Start, End, TF,AOV,   lat, angle, thr
001_Thr1                 , 2021-07-12 18:52:06,10%,14%,12%,29%,29%,  2.5,  4.4,60,  Y,121,273,60,15, +51.5, 250.1,156
001_Thr2                 , 2021-07-12 18:52:06,11%,16%,13%,32%,32%,  2.3,  4.6,60,  Y,121,273,60,15, +51.5, 250.1,151
001_Thr3                 , 2021-07-12 18:52:06,4%,7%,5%,9%,9%,  3.8,  6.7,60,  Y,121,273,60,15, +51.5, 250.1,192
001_Thr4                 , 2021-07-12 18:52:06,69%,79%,73%,100%,100%,  0.3,  2.1,60,  Y,121,273,60,15, +51.5, 250.1,71
001_Thr5                 , 2021-07-12 18:52:06,14%,20%,16%,40%,40%,  2.0,  4.6,60,  Y,121,273,60,15, +51.5, 250.1,139
001B_Thr1                , 2021-07-12 19:02:51,2%,2%,2%,0%,0%,  5.0, 11.7,60,  Y,121,273,60,15, +53.7, 291.6,202
001B_Thr2                , 2021-07-12 19:02:51,3%,7%,5%,2%,2%,  3.8,  6.6,60,  Y,121,273,60,15, +53.7, 291.6,190
001B_Thr3                , 2021-07-12 19:02:51,5%,10%,7%,4%,4%,  3.2,  5.2,60,  Y,121,273,60,15, +53.7, 291.6,176
001B_Thr4                , 2021-07-12 19:02:51,4%,8%,6%,3%,3%,  3.5,  5.9,60,  Y,121,273,60,15, +53.7, 291.6,183
001B_Thr5                , 2021-07-12 19:02:51,0%,0%,0%,0%,0%,  6.4, 28.8,60,  Y,121,273,60,15, +53.7, 291.6,221
002_Thr1                 , 2021-07-12 19:03:40,4%,11%,7%,57%,57%,  3.3,  5.2,60,  Y,121,273,60,15, +53.7,  60.8,190
002_Thr2                 , 2021-07-12 19:03:40,6%,16%,10%,71%,71%,  2.6,  3.8,60,  Y,121,273,60,15, +53.7,  60.8,170
002_Thr3                 , 2021-07-12 19:03:40,3%,2%,3%,0%,0%,  5.0, 11.6,60,  Y,121,273,60,15, +53.7,  60.8,204
002_Thr4                 , 2021-07-12 19:03:40,9%,20%,13%,81%,81%,  2.2,  3.3,60,  Y,121,273,60,15, +53.7,  60.8,155
002_Thr5                 , 2021-07-12 19:03:40,8%,18%,12%,77%,77%,  2.3,  3.4,60,  Y,121,273,60,15, +53.7,  60.8,161
003_Thr1                 , 2021-07-12 19:04:38,5%,14%,9%,91%,91%,  3.0,  4.7,60,  Y,121,273,60,15, +53.7,  55.1,190
003_Thr2                 , 2021-07-12 19:04:38,6%,16%,10%,93%,93%,  2.7,  4.0,60,  Y,121,273,60,15, +53.7,  55.1,179
003_Thr3                 , 2021-07-12 19:04:38,3%,2%,3%,0%,0%,  4.7, 10.1,60,  Y,121,273,60,15, +53.7,  55.1,208
003_Thr4                 , 2021-07-12 19:04:38,11%,22%,15%,95%,95%,  2.1,  3.4,60,  Y,121,273,60,15, +53.7,  55.1,157
003_Thr5                 , 2021-07-12 19:04:38,8%,18%,12%,93%,93%,  2.4,  3.5,60,  Y,121,273,60,15, +53.7,  55.1,171
004_Thr1                 , 2021-07-12 19:05:01,0%,14%,6%,19%,19%,  3.0,  4.7,60,  Y,121,273,60,15, +53.7,  43.0,190
004_Thr2                 , 2021-07-12 19:05:01,2%,18%,8%,25%,25%,  2.4,  3.6,60,  Y,121,273,60,15, +53.7,  43.0,170
004_Thr3                 , 2021-07-12 19:05:01,1%,16%,7%,22%,22%,  2.8,  4.3,60,  Y,121,273,60,15, +53.7,  43.0,182
004_Thr4                 , 2021-07-12 19:05:01,0%,1%,0%,0%,0%,  5.7, 16.4,60,  Y,121,273,60,15, +53.7,  43.0,214
004_Thr5                 , 2021-07-12 19:05:01,3%,21%,10%,30%,30%,  2.2,  3.4,60,  Y,121,273,60,15, +53.7,  43.0,159
005_Thr1                 , 2021-07-12 19:05:26,4%,13%,8%,61%,61%,  2.7,  4.1,60,  Y,121,273,60,15, +53.7,   2.1,190
005_Thr2                 , 2021-07-12 19:05:26,2%,7%,4%,42%,42%,  3.5,  5.8,60,  Y,121,273,60,15, +53.7,   2.1,205
005_Thr3                 , 2021-07-12 19:05:26,1%,1%,1%,26%,26%,  5.4, 13.5,60,  Y,121,273,60,15, +53.7,   2.1,221
005_Thr4                 , 2021-07-12 19:05:26,5%,16%,9%,64%,64%,  2.3,  3.3,60,  Y,121,273,60,15, +53.7,   2.1,175
005_Thr5                 , 2021-07-12 19:05:26,4%,15%,8%,62%,62%,  2.5,  3.7,60,  Y,121,273,60,15, +53.7,   2.1,182
006_Thr1                 , 2021-07-12 19:05:42,2%,12%,6%,4%,4%,  3.0,  4.7,60,  Y,121,273,60,15, +53.7,  54.1,189
006_Thr2                 , 2021-07-12 19:05:42,6%,15%,10%,6%,6%,  2.5,  3.9,60,  Y,121,273,60,15, +53.7,  54.1,173
006_Thr3                 , 2021-07-12 19:05:42,0%,3%,1%,1%,1%,  4.5,  9.1,60,  Y,121,273,60,15, +53.7,  54.1,211
006_Thr4                 , 2021-07-12 19:05:42,9%,18%,13%,9%,9%,  2.3,  3.4,60,  Y,121,273,60,15, +53.7,  54.1,162
006_Thr5                 , 2021-07-12 19:05:42,12%,21%,16%,10%,10%,  2.1,  3.6,60,  Y,121,273,60,15, +53.7,  54.1,154
007_Thr1                 , 2021-07-12 19:06:06,8%,12%,10%,2%,2%,  2.9,  6.5,60,  Y,121,273,60,15, +53.7,  21.2,162
007_Thr2                 , 2021-07-12 19:06:06,1%,4%,2%,0%,0%,  4.5,  9.7,60,  Y,121,273,60,15, +53.7,  21.2,198
007_Thr3                 , 2021-07-12 19:06:06,2%,5%,3%,0%,0%,  4.2,  8.5,60,  Y,121,273,60,15, +53.7,  21.2,193
