plotnr;threshold
8701;5
8702;2
8703;1
8704;1
8705;1
8706;3
8707;4
8708;1
8709;2
8710;3
8711;3
8712;1
8713;4
8714;1
8715;3
8716;1
8717;1
8718;1
8719;2
8720;3
8721;4
8722;1
8723;3
8724;4
8725;2
8726;2
8727;1
8728;1
8729;1
8730;1
8731;1
8732;1
8733;1
8734;5
8735;3
8736;1
8737;1
8738;5
8739;4
8740;2
8741;4
8742;2
8743;2
8744;2
8745;1
8746;1
8747;3
8748;1
8749;1
8750;1
8751;1
8752;1
8753;1
8754;3
8755;1
8756;1
8757;1
8758;4
8759B;2
8760;1
8761;2
8762;3
8763;1
8764;1
8765;1
8766;5
8767;2
8768;4
8769;2
8770;2
8771;1
8772;1
8773;1
8774;4
8775;1
8776;1
8777;3
8778;3
8779;3
8780;3
8781;3
8782;1
8783;1
8784;2
8785;1
8786;4
8787;5
8788;2
8789;3
8790;5
8791;2
8792;3
8793;1
8794;2
8795;1
8796;3
8797;4
8798;4
8799;3
8800;5
8801;2
8802;1
8803;1
8804;3
8805;4
8806;2
8807;1
8808;2
8809;2
8810;1
8811;1
8812;1
8813;3
8814;4
8815B;1
8816B;2
8817;1
8901;3
8902;1
8903;1
8904;1
8905;1
8906;1
8907;1
8908;1
8909;1
8910;1
8911;2
8912;1
8913;2
8914;2
8915;1
8916;2
8917;4
8918;2
8919;1
8920;1
8921;1
8922;2
8923;2
8924;2
8925;3
8926;1
8927;5
8928;1
8929;2
8930;1
8931;1
8932;1
8933;1
8934;1
8935;1
8936;1
8937;1
8938;2
8939;1
8940;1
8941;1
8942;1
8943;1
8944;3
8945;1
8946;1
8947;1
8948;3
8949;1
8950;1
8951;1
8952;5
8953;1
8954;4
8955;1
8956;1
8957;1
8958;1
8959;2
8960;1
8961;1
8962;5
8963;1
8964;2
8965;1
8966;1
8967;1
8968;1
8969;1
8970;1
8971;1
8972;1
8973;2
8974;4
8975;1
8976;2
8977;2
8978;1
8979;2
8980;1
8981;3
8982;1
8983;1
8984;1
8985;2
8986;1
8987;2
8988;1
8989;2
8990;2
8991;1
8992;1
8993;1
8994;1
8995;1
8996;3
8997;3
8998;1
8999;1
9000;1
9001;5
9002;2
9003B;1
9004;2
9005;2
9006;2
9007;1
9008;1
9009;1
9010;2
9011;1
9012;1
9013;1
9014;1
9015;1
9016;1
9017;1
1B;3
2;2
3;2
4;3
5;5
6;1
7;3
8;3
9;2
10;3
11;5
12;3
13;5
14;2
15;5
16;4
17;3
18;4
19;5
20;1
21;3
22;5
23;3
24;5
25;1
26;2
27;1
28;1
29;4
30;1
31;1
32;1
33;3
34;1
35;5
36;1
37;4
38;3
39;1
40;3
41;1
42;1
43;3
44;1
45;1
46;5
47;5
48;1
49;1
50;1
51;1
52;1
53;2
54;1
55;1
56;1
57;1
58;1
59;5
60;2
61;2
62;1
63;1
64;3
65;3
66;5
67;1
68;1
69;1
70;3
71;1
72;1
73;3
74;2
75;1
76;1
77;2
78;2
79;2
80;5
81;4
82;2
83;1
84;1
85;1
86;1
87;2
88;5
89;3
90;1
91;5
92;1
93;5
94;1
95;1
96;1
97;1
98;3
99;1
100;1
101;2
102;4
103;2
104;1
105;2
106;2
107;2
108;5
109;2
110;2
111;1
112;1
113;5
114;1
115;1
116;1
117;1
118;1
119;2
120;2
121;2
122;1
123;1
124;1
125;1
126;1
127;4
128;1
129;3
130;2
131;3
132;2
133;1
134;1
135;5
136;3
137;4
138;3
139;4
140;1
141;3
142;1
143;1
144;1
145;1
146;1
147;1
148;3
149;2
150;1
151;1
152;3
153;4
154;5
155;4
156;2
157;2
158;1
159;1
160;5
161;4
162;1
163;1
164;1
165;1
166;1
167;1
168;1
169;2
170;3
171;1
172;1
173;1
174;5
175;2
176;4
177;1
178;2
179;2
180;1
181;1
182;1
183;4
184;1
185;1
186;1
187;2
188;1
189;4
190;3
191;2
192;1
193;3
194;2
195;2
196;1
197;1
198;3
199;1
200;1
201;1
202;1
203;1
204;2
205;1
206;1
207;1
208;1
209;1
210;1
211;1
212;1
213;4
214;2
215;4
216;2
217;2
218;1
219;2
220;1
221;1
222;3
223;3
224;1
225;4
226;1
227;1
228;1
229;1
230;1
231;1
232;1
233;1
234;5
235;2
236;1
237;2
238;1
239;2
240;2
241;1
242;2
243;5
244;2
245;1
246;1
247;1
248;1
249;3
250;1
251;1
252;1
253;3
254;1
255;2
256;2
257;1
258;2
259;1
260;2
261;2
262;2
263;2
264;1
265;3
266;1
267;2
268;1
269;5
270;4
271;2
272;1
273;1
274;2
275;2
276;1
277;1
278;1
279;1
280;1
281;1
282;1
283;5
284;1
285;3
286;1
287;1
288;2
289;2
290;1
291;1
292;4
293;5
294;1
295;2
296;5
297;1
298;2
299;4
300;1
301;4
302;2
303;2
304;1
305;3
306;1
307;1
308;2
309;1
310;1
