Plotnummer,Quadrant,Rueckegasse,Esche markiert,Baumart,Hoehe,Hoehe Vorjahr,Hoehe Vorvorjahr,Anzahl Triebe,ETS abgestorben frisch,ETS abgestorben alt,ETS lebend,Verbiss lebend,Verbiss tot,Sonstige Gruende tot,Bemerkungen,Rand,Zaun
1,,TRUE,,,,,,,,,,,,,keine Bäume,FALSE,FALSE
2,no,,no,esch,170,169,165,2,,,,,,1,,FALSE,FALSE
,,,,esch,67,54,50,1,,,,,,,,FALSE,FALSE
,,,,esch,56,41,,1,,,,,,,,FALSE,FALSE
,,,,esch,92,71,62,4,,,,,1,2,,FALSE,FALSE
,,,,esch,107,82,75,1,,,,,,,,FALSE,FALSE
,,,,esch,71,,,1,,,,,,,,FALSE,FALSE
,,,,esch,65,40,,1,,,,,,,,FALSE,FALSE
,,,,bah,110,88,81,,,,,,,,,FALSE,FALSE
,,,,esch,71,,,1,,,,,,,,FALSE,FALSE
,,,,esch,94,86,67,3,,,,1,,2,,FALSE,FALSE
,,,,esch,95,82,57,,,,,,,,,FALSE,FALSE
,so,,,esch,131,129,124,1,,,,,,,,FALSE,FALSE
,,,,esch,101,87,84,2,,,,,,1,,FALSE,FALSE
,,,so,esch,154,120,101,1,,,,,,,,FALSE,FALSE
,sw,,,esch,32,30,,1,,,,,,,,FALSE,FALSE
,,,sw,esch,104,98,94,1,,,,,,,,FALSE,FALSE
,,,,esch,117,113,102,2,,,,,,1,,FALSE,FALSE
,,,,esch,56,,,1,,,,,,,,FALSE,FALSE
,,,,esch,83,,,1,,,,,,,,FALSE,FALSE
,,,,esch,119,110,94,1,,,,,,,,FALSE,FALSE
3,nw,,,esch,101,93,73,1,,,,,,,,FALSE,FALSE
,,,nw,esch,62,48,,1,,,,,,,,FALSE,FALSE
,so,,,esch,90,84,81,2,,,,,,,zwiter Trieb sieht scheiße aus aber nicht tot,FALSE,FALSE
,,,so,esch,63,,,,,,,,,,,FALSE,FALSE
4,nw,,nw,esch,66,55,,1,,,,,,,,FALSE,FALSE
,,,,esch,79,72,,1,,,,,,,,FALSE,FALSE
,,,,Rbu,121,100,58,,,,,,,,,FALSE,FALSE
,,,,esch,75,71,,1,,,,,,,,FALSE,FALSE
,,,,esch,60,54,,2,,,,,,,,FALSE,FALSE
,,,,esch,45,35,,1,,,,,,,,FALSE,FALSE
,,,,Rbu,115,95,59,,,,,,,,,FALSE,FALSE
,,,,BAh,103,88,70,,,,,,,,,FALSE,FALSE
,,,,esch,50,40,,2,,,,,,T1,,FALSE,FALSE
,,,,BAh,87,71,,,,,,,,,,FALSE,FALSE
,,,,esch,142,135,130,1,,,,,,,,FALSE,FALSE
,,,,esch,62,58,,1,,,,,,,,FALSE,FALSE
,,,,esch,60,49,,1,,,,,,,,FALSE,FALSE
,,,,esch,80,,,1,,,,,,,,FALSE,FALSE
