baum_id;Season_Jahr;ibf_id;Jahr;Season;Baumnr;Kronenzustand;TendenzKronenzustand;Blattverlust;Sichteinschraenkung;WasserreiserKrone;WasserreiserStamm;Insektenbefall;Stammfussnekrosen;Pilzfruchtkoerper;Rhizomorphen;Geschlecht;Bemerkungen
BB1_106;Winter_2021;BB1;2021;Winter;106;1;1,5;NA;NA;1;0;NA;0;NA;NA;NA;Resistograf
BB1_106;Sommer_2021;BB1;2021;Sommer;106;2;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;Resistograf
BB1_106;Winter_2022;BB1;2022;Winter;106;2;2;NA;NA;2;0;1a;1;NA;0;NA;Resistograf
BB1_106;Sommer_2022;BB1;2022;Sommer;106;2;1,75;10;1;NA;NA;NA;NA;NA;NA;NA;NA
BB1_106;Winter_2023;BB1;2023;Winter;106;3;3;NA;NA;2;0;1a;1;NA;0;NA;NA
BB1_106;Sommer_2023;BB1;2023;Sommer;106;2;2;25;1;NA;NA;NA;NA;NA;NA;NA;NA
BB1_113;Winter_2021;BB1;2021;Winter;113;2;2,5;NA;NA;2;1;NA;0;NA;NA;NA;NA
BB1_113;Sommer_2021;BB1;2021;Sommer;113;3;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BB1_113;Winter_2022;BB1;2022;Winter;113;2;2,25;NA;NA;1;0;1a;2;NA;0;NA;NA
BB1_113;Sommer_2022;BB1;2022;Sommer;113;4;4;90;1;NA;NA;NA;NA;NA;NA;NA;NA
BB1_113;Winter_2023;BB1;2023;Winter;113;3;3;NA;NA;1;0;1a;2;NA;0;NA;NA
BB1_113;Sommer_2023;BB1;2023;Sommer;113;6;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;umgef
BB1_119;Winter_2021;BB1;2021;Winter;119;4;4;NA;NA;2;2;NA;1;NA;NA;NA;NA
BB1_119;Sommer_2021;BB1;2021;Sommer;119;3;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BB1_119;Winter_2022;BB1;2022;Winter;119;4;4;NA;NA;2;0;1a;2;NA;0;NA;NA
BB1_119;Sommer_2022;BB1;2022;Sommer;119;3;2,75;35;2;NA;NA;NA;NA;NA;NA;NA;NA
BB1_119;Winter_2023;BB1;2023;Winter;119;4;4;NA;NA;1;0;1a;2;Stäubling;0;NA;NA
BB1_119;Sommer_2023;BB1;2023;Sommer;119;3;3,25;55;2;NA;NA;NA;NA;NA;NA;NA;NA
BB1_120;Winter_2021;BB1;2021;Winter;120;4;4;NA;NA;2;1;NA;1;NA;NA;NA;NA
BB1_120;Sommer_2021;BB1;2021;Sommer;120;2;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BB1_120;Winter_2022;BB1;2022;Winter;120;4;4;NA;NA;2;1;1a;2;NA;0;NA;NA
BB1_120;Sommer_2022;BB1;2022;Sommer;120;3;2,75;65;1;NA;NA;NA;NA;NA;NA;NA;NA
BB1_120;Winter_2023;BB1;2023;Winter;120;4;4;NA;NA;2;1;1a;2;NA;0;NA;NA
BB1_120;Sommer_2023;BB1;2023;Sommer;120;3;2,75;40;1;NA;NA;NA;NA;NA;NA;NA;NA
