"ID_MapSmar,N,10,0","Nr,N,10,0","X,N,19,11","Y,N,19,11","Z,N,19,11","Bemerkung,C,254","BA,C,254","BHD,N,10,0","x_geogr,N,19,11","y_geogr,N,19,11"
24,1,12.82,7.12,-1.43,,BAH,34,660670.32,5654645.62
25,2,17.39,7.19,-1.52,,BU,26,660674.89,5654645.69
29,3,21.88,8.47,-1.85,,BU,8,660679.38,5654646.97
30,4,22.84,7.84,-1.73,,BU,1,660680.34,5654646.34
59,5,31.33,8.52,-1.92,,HBU,13,660688.83,5654647.02
61,6,39.08,8.41,-1.53,,HBU,8,660696.58,5654646.91
62,7,40.78,9,-1.56,,BU,15,660698.28,5654647.5
65,8,47.37,9.27,-1.34,,BU,25,660704.87,5654647.77
64,9,46.93,10.07,-1.58,,BI,33,660704.43,5654648.57
66,10,51.97,8.34,-1.11,,BU,29,660709.47,5654646.84
76,11,58.49,8.64,-0.7,,BI,43,660715.99,5654647.14
77,12,58.91,7.49,-0.64,,EI,20,660716.41,5654645.99
78,13,63.44,9.73,-0.76,,BI,30,660720.94,5654648.23
79,14,62.8,11.27,-0.84,,BU,31,660720.3,5654649.77
81,15,64.31,11.75,-0.93,,BI,24,660721.81,5654650.25
80,16,66.47,9.42,-0.67,,BU,16,660723.97,5654647.92
82,17,66.93,12.81,-1.03,,BU,9,660724.43,5654651.31
83,18,66.1,13.18,-0.97,,HBU,23,660723.6,5654651.68
84,19,69.24,14.72,-1.12,,BI,23,660726.74,5654653.22
85,20,73.63,17.43,-1.3,,BI,42,660731.13,5654655.93
87,21,71.74,21.29,-1.89,,BU,13,660729.24,5654659.79
86,22,69.75,20.26,-1.8,,HBU,20,660727.25,5654658.76
88,23,66.52,16.54,-1.53,,HBU,14,660724.02,5654655.04
75,24,57.34,11.92,-1.39,,BU,8,660714.84,5654650.42
74,25,57.61,11.6,-1.28,,BU,10,660715.11,5654650.1
73,26,55.41,11.49,-1.44,,BU,16,660712.91,5654649.99
72,27,55,11.76,-1.56,,BU,14,660712.5,5654650.26
69,28,54.45,12.55,-1.61,,BU,9,660711.95,5654651.05
71,29,55.06,14.46,-1.97,,BU,9,660712.56,5654652.96
67,30,53.14,11.36,-1.49,,EI,23,660710.64,5654649.86
68,31,51.95,12.08,-1.72,,BU,21,660709.45,5654650.58
63,32,44.95,12.42,-2.12,,BI,21,660702.45,5654650.92
60,33,37.82,10.46,-2.28,,BAH,10,660695.32,5654648.96
56,34,36.47,13.52,-3.11,,HBU,21,660693.97,5654652.02
57,35,34.69,11.49,-2.72,,BI,30,660692.19,5654649.99
58,36,32.79,11.26,-2.68,,BAH,39,660690.29,5654649.76
33,37,27.22,11.63,-2.6,,HBU,14,660684.72,5654650.13
34,38,28.61,13.73,-3.25,,HBU,15,660686.11,5654652.23
27,39,19.62,10.9,-2.33,,HBU,31,660677.12,5654649.4
28,40,20.5,12.87,-2.9,,HBU,11,660678,5654651.37
26,41,16.56,9.91,-2.12,,BU,16,660674.06,5654648.41
31,42,17.63,13.71,-3.04,,HBU,23,660675.13,5654652.21
32,43,15.79,12.84,-2.98,,HBU,11,660673.29,5654651.34
23,44,12.32,11.63,-2.45,,ES,33,660669.82,5654650.13
22,45,12.91,14.22,-3.07,,ES,24,660670.41,5654652.72
3,46,8.34,11.34,-2.19,,ES,27,660665.84,5654649.84
4,47,8.28,13.23,-2.69,,BAH,29,660665.78,5654651.73
5,48,7.07,11.67,-2.29,,LI,27,660664.57,5654650.17
8,49,5.53,15.21,-2.96,,BAH,25,660663.03,5654653.71
6,50,3.42,13.87,-2.67,,BI,34,660660.92,5654652.37
7,51,2.67,13.42,-2.42,,LI,12,660660.17,5654651.92
12,52,2.75,20.56,-4.11,,ES,29,660660.25,5654659.06
11,53,3.85,20.55,-4.19,,HBU,10,660661.35,5654659.05
9,54,5.15,19.58,-4.03,,ES,26,660662.65,5654658.08
10,55,5.64,19.53,-3.98,,HBU,11,660663.14,5654658.03
13,56,5.94,22.43,-4.53,,HBU,18,660663.44,5654660.93
14,57,7.92,20.96,-4.31,,ES,38,660665.42,5654659.46
15,58,14.29,20.91,-4.59,,LI,24,660671.79,5654659.41
16,59,14.25,19.1,-4.3,,ES,36,660671.75,5654657.6
17,60,14.05,16.92,-3.84,,BAH,24,660671.55,5654655.42
18,61,14.62,16.47,-3.81,,HBU,10,660672.12,5654654.97
19,62,15.71,16.31,-3.77,,BAH,25,660673.21,5654654.81
20,63,16.71,17.77,-4.16,,ES,32,660674.21,5654656.27
21,64,18.83,18.24,-4.14,,HBU,17,660676.33,5654656.74
35,65,26.79,17.76,-4.08,,HBU,29,660684.29,5654656.26
54,66,35.13,17.46,-3.87,,BI,35,660692.63,5654655.96
55,67,35.28,21.4,-4.57,,BI,23,660692.78,5654659.9
48,68,40.36,22.44,-4.56,,HBU,24,660697.86,5654660.94
53,69,38.51,16.69,-3.74,,HBU,22,660696.01,5654655.19
51,70,42.46,19.1,-4.16,,HBU,17,660699.96,5654657.6
50,71,43.15,20.31,-4.28,,EI,35,660700.65,5654658.81
47,72,42.14,24.19,-4.74,,HBU,13,660699.64,5654662.69
49,73,45.19,21.75,-4.42,,HBU,22,660702.69,5654660.25
52,74,45.83,19,-3.83,,HBU,13,660703.33,5654657.5
93,75,52.21,20.98,-3.65,,BU,24,660709.71,5654659.48
92,76,55.42,20.53,-3.22,,EI,29,660712.92,5654659.03
91,77,59.18,19.27,-2.63,,BU,19,660716.68,5654657.77
90,78,61.37,17.52,-2.05,,HBU,9,660718.87,5654656.02
89,79,63.3,20.07,-2.29,,BI,34,660720.8,5654658.57
94,80,62.91,23.22,-2.93,,HBU,18,660720.41,5654661.72
103,81,60.83,25.55,-3.63,,HBU,18,660718.33,5654664.05
102,82,62.44,25.57,-3.39,,HBU,24,660719.94,5654664.07
95,83,64.76,23.89,-2.8,,BU,11,660722.26,5654662.39
96,84,65.58,23.96,-2.67,,HBU,17,660723.08,5654662.46
97,85,66.77,22.34,-2.33,,HBU,10,660724.27,5654660.84
98,86,68.21,21.96,-2.12,,BI,32,660725.71,5654660.46
99,87,67.04,25.4,-2.86,,HBU,13,660724.54,5654663.9
101,88,65.8,27.62,-3.32,,HBU,18,660723.3,5654666.12
105,89,69.86,27.28,-2.83,,BI,23,660727.36,5654665.78
106,90,72.15,27.17,-2.58,,EI,20,660729.65,5654665.67
107,91,73.34,30.57,-3.01,,HBU,10,660730.84,5654669.07
108,92,73.64,30.24,-3.08,,BU,18,660731.14,5654668.74
111,93,69.64,33.52,-4.54,,EI,31,660727.14,5654672.02
110,94,68.86,31.14,-3.51,,HBU,13,660726.36,5654669.64
112,95,67.15,32.65,-3.97,,HBU,20,660724.65,5654671.15
114,96,64.96,32.5,-4.28,,BI,23,660722.46,5654671
113,97,64.78,31.81,-4.15,,HBU,25,660722.28,5654670.31
120,98,62.18,30.16,-4.2,,HBU,22,660719.68,5654668.66
104,99,61.65,28.1,-3.91,,BI,22,660719.15,5654666.6
121,100,57.27,29.5,-4.82,,HBU,20,660714.77,5654668
122,101,55.55,27.17,-4.61,,HBU,31,660713.05,5654665.67
123,102,54.25,27.94,-4.97,,HBU,13,660711.75,5654666.44
124,103,53.78,29.42,-5.43,,HBU,19,660711.28,5654667.92
46,104,45.33,26.21,-4.94,,HBU,24,660702.83,5654664.71
43,105,41.69,28.32,-5.24,,ES,40,660699.19,5654666.82
42,106,39.32,26.96,-5.13,,HBU,29,660696.82,5654665.46
41,107,33.83,26.68,-5.35,,HBU,12,660691.33,5654665.18
40,108,31.25,23.71,-4.88,,ES,39,660688.75,5654662.21
39,109,29.46,25.46,-5.33,,LI,23,660686.96,5654663.96
38,110,27.51,26.23,-5.46,,HBU,11,660685.01,5654664.73
37,111,26.16,25.93,-5.42,,HBU,17,660683.66,5654664.43
36,112,26.38,23.66,-5.12,,HBU,25,660683.88,5654662.16
125,113,22.37,27.44,-5.56,,ES,23,660679.87,5654665.94
126,114,19.01,26.85,-5.5,,HBU,16,660676.51,5654665.35
127,115,18.56,23.77,-5.19,,ES,27,660676.06,5654662.27
128,116,16.24,25.27,-5.21,,ES,21,660673.74,5654663.77
129,117,17.3,26.22,-5.42,,HBU,16,660674.8,5654664.72
131,118,13.71,26.08,-5.2,,ES,33,660671.21,5654664.58
132,119,11.13,28.57,-5.43,,HBU,17,660668.63,5654667.07
133,120,10.05,28.37,-5.37,,HBU,8,660667.55,5654666.87
134,121,6.95,28.95,-5.26,,ES,35,660664.45,5654667.45
135,122,5.56,26.41,-5.06,,ES,28,660663.06,5654664.91
136,123,4.76,28.67,-5.26,,BAH,28,660662.26,5654667.17
137,124,3.1,33.77,-5.72,,HBU,17,660660.6,5654672.27
139,125,5.8,34.29,-5.92,,HBU,13,660663.3,5654672.79
138,126,6.37,32.31,-5.75,,HBU,30,660663.87,5654670.81
162,127,16.16,34.8,-6.1,,LI,20,660673.66,5654673.3
160,128,16.73,30.69,-5.75,,ES,18,660674.23,5654669.19
161,129,16.8,29.22,-5.65,,BAH,7,660674.3,5654667.72
158,130,19.53,31.06,-5.84,,HBU,18,660677.03,5654669.56
159,131,18.69,32.93,-6,,SAH,10,660676.19,5654671.43
154,132,20.56,33.62,-6,,ES,40,660678.06,5654672.12
155,133,21.58,32.14,-5.94,,BAH,13,660679.08,5654670.64
156,134,22.03,30.88,-5.82,,ES,16,660679.53,5654669.38
157,135,22.12,28.85,-5.73,,HBU,13,660679.62,5654667.35
173,136,26.59,33.64,-6.12,,HBU,24,660684.09,5654672.14
174,137,33.89,31.73,-5.91,,BI,33,660691.39,5654670.23
176,138,40.3,31.83,-5.85,,HBU,16,660697.8,5654670.33
177,139,41.6,34.22,-6.09,,HBU,14,660699.1,5654672.72
178,140,43.84,32.73,-5.83,,BI,34,660701.34,5654671.23
45,141,43.87,29.62,-5.35,,HBU,12,660701.37,5654668.12
179,142,46.47,32.47,-5.71,,HBU,21,660703.97,5654670.97
180,143,52.42,33.32,-5.74,,ES,32,660709.92,5654671.82
181,144,55.67,32.82,-5.71,,HBU,10,660713.17,5654671.32
182,145,56.91,31.86,-5.32,,HBU,16,660714.41,5654670.36
118,146,59.06,32.97,-5.22,,HBU,13,660716.56,5654671.47
119,147,59.4,31.69,-4.92,,HBU,19,660716.9,5654670.19
117,148,62.43,33.3,-4.7,,HBU,8,660719.93,5654671.8
115,149,63.36,32.63,-4.41,,HBU,8,660720.86,5654671.13
