Plotnummer,Quadrant,Rückegasse,Baumart,Höhe,Höhe Vorjahr,Höhe Vorvorjahr,Länge,Länge Vorjahr,Länge Vorvorjahr,Gesamtanzahl Triebe,ets.abgestorben.frisch,ets.abgestorben.alt,ets.lebend,verbiss.lebend,verbiss.abgestorben,sonstiges.abgestorben,Bemerkungen,Foto
50,NW,N,SAh,125,122,117,138,134,129,,,,,,,,,
,,,BAh,116,109,100,,,,,,,,,,,,
,,,Esche,71,69,67,76,74,72,1,,,,,,,,
,,,SAh,107,103,98,128,121,115,,,,,,,,,
,,,BAh,104,100,97,120,116,113,,,,,,,,,
,,,SAh,108,103,97,121,115,109,,,,,,,,,
,,,SAh,89,86,81,93,88,83,,,,,,,,,
,,,BAh,103,100,92,124,121,113,,,,,,,,,
,,,BAh,73,69,56,154,146,130,,,,,,,,,
,SW,,Esche,117,110,103,126,118,109,1,,,,,,,,
,,,SAh,105,103,97,123,120,115,,,,,,,,,
,,,Esche,61,60,57,,,,1,,,,,,,,
,,,BAh,97,94,91,137,133,128,,,,,,,,,
,,,SAh,89,86,80,94,91,84,,,,,,,,,
,,,SAh,90,89,87,119,117,115,,,,,,,,,
,,,Esche,66,60,,,,,1,,,,,,,,
,,,BAh,124,119,112,132,126,116,,,,,,,,,
,,,Esche,66,64,54,67,66,54,2,,,,,,T1,TH (tote Höhe) 95,
,,,Esche,69,65,59,94,90,83,1,,,,,,,,
,SO,,Esche,104,92,85,148,132,124,1,,,,,,,,
,,,BAh,133,126,122,156,150,144,,,,,,,,,
,,,BAh,100,92,84,,,,,,,,,,,,
,,,BAh,58,54,46,102,95,86,,,,,,,,,
,,,BAh,69,62,55,,,,,,,,,,,,
,,,SAh,96,89,72,,,,,,,,,,,,
,,,BAh,118,116,111,,,,,,,,,,,,
,,,SAh,40,30,23,62,51,45,,,,,,,,,
,,,SAh,86,84,81,103,100,96,,,,,,,,,
,,,BAh,113,102,89,138,126,114,,,,,,,,,
,NO,,SAh,90,79,62,100,87,66,,,,,,,,,
,,,Esche,79,76,72,84,81,77,1,,,,,,,,
,,,Esche,80,76,71,96,82,84,1,,,,,,,,
,,,SAh,40,20,1,99,78,66,,,,,,,,Maulswurfshügel,
,,,BAh,78,74,69,,,,,,,,,,,,
,,,BAh,78,71,61,,,,,,,,,,,,
,,,SAh,107,101,95,,,,,,,,,,,,
,,,Esche,38,,,,,,1,,,,,,,,
,,,Esche,84,80,72,88,85,78,1,,,,,,,,
,,,BAh,86,80,69,,,,,,,,,,,,
,,,Esche,94,89,76,,,,1,,,,,,,,
,,,SAh,74,70,57,94,90,77,,,,,,,,,
49,SO,,BAh,101,99,96,122,120,114,,,,,,,,,108-3817
,SW,, ,,,,,,,,,,,,,,keine Bäume,
,NO,, ,,,,,,,,,,,,,,keine Bäume,
,NW,, ,,,,,,,,,,,,,,keine Bäume,
48,SW,,Esche,154,142,124,167,156,134,1,,,,,,,,
,,,Esche,133,118,101,135,120,101,1,,,,,,,,
,,,SAh,93,90,88,104,101,97,,,,,,,,,
,,,Esche,88,79,65,102,103,88,2,,1,,,,,,
,,,Esche,248,233,208,260,246,221,1,,,,,,,,
,,,Esche,101,96,90,108,103,97,1,,,,,,,,
,,,Esche,157,150,136,166,158,144,1,,,,,,,,
,,,Esche,177,164,151,191,179,165,1,,,,,,T1,grüne Höhe 150,
,,,Esche,98,93,91,,,,1,,,,,,,,
,,,Esche,74,71,51,75,72,51,1,,,,,,,,
,,,SAh,114,100,88,124,118,87,,,,,,,,,
,,,SAh,93,77,55,96,80,57,,,,,,,,,
,,,Esche,50,46,38,60,55,45,1,,,,,,,,
,,,Esche,56,49,43,87,73,63,2,,1,,,,,,
,,,Esche,48,41,,55,49,,1,,,,,,,,
,,,Esche,144,139,113,,,,3,,1,,,,,,
,,,Esche,164,141,124,,,,2,,,,,,,,
,,,Esche,85,75,58,,,,1,,,,,,,,
,,,Esche,100,94,76,134,127,95,1,,,,,,,,
,,,Esche,143,133,124,,,,1,,,,,,,,
,,,Esche,136,123,108,,,,2,,,T1,,,,tote Höhe 157,
,,,Esche,69,59,,96,85,,1,,,,,,,,
,NW,,Esche,126,115,98,142,129,111,1,,,,,,,,
,,,Esche,146,136,124,,,,1,,,,,,,,
,,,Esche,166,146,125,,,,1,,,,,,,,
,,,Esche,150,131,117,159,140,130,1,,,,,,,,
,,,BAh,65,58,48,81,72,64,,,,,,,,,
,,,BAh,104,96,89,109,101,93,,,,,,,,,
,,,SAh,107,99,93,112,105,96,,,,,,,,,
,,,SAh,83,78,,85,80,,,,,,,,,,
,,,SAh,111,99,88,,,,,,,,,,,,
,,,SAh,128,124,121,175,169,166,,,,,,,,,
,,,Esche,102,92,82,,,,1,,,,,,,,
,,,SAh,77,64,54,88,76,66,,,,,,,,,
,,,Esche,79,63,,,,,1,,,,,,,,
,,,SAh,118,110,102,124,114,107,,,,,,,,,
,,,Esche,127,119,111,132,124,117,1,,,,,,,,
,,,Esche,143,127,112,146,132,114,1,,,,,,,,
,NO,,SAh,98,90,84,103,95,88,,,,,,,,,
,,,Esche,123,115,110,129,119,114,1,,,,,,,,
,,,Esche,61,54,,71,63,,2,T1,,,,,,tote Höhe 64,
,,,BAh,137,133,127,147,143,137,,,,,,,,,
,,,Esche,74,70,,76,72,,1,,,,,,,,
,,,BAh,58,53,48,70,63,55,,,,,,,,,
,,,BAh,45,43,37,,,,,,,,,,,,
,,,HBu,64,62,52,78,75,54,,,,,,,,,
,,,Esche,94,85,77,,,,1,,,,,,,,
,,,BAh,89,82,78,93,86,74,,,,,,,,,
,,,Esche,102,95,81,106,96,83,1,,,,,,,,
,,,BAh,88,81,74,95,87,79,,,,,,,,,
,,,Esche,93,84,75,102,91,80,1,,,,,,,,
,,,Esche,51,43,,61,53,,1,,,,,,,,
,SO,,Esche,53,45,35,55,45,35,1,,,,,,,,
,,,Esche,116,106,100,123,115,108,1,,,,,,,,
,,,Esche,59,53,39,68,61,41,1,,,,,,,,
,,,Esche,59,54,46,58,53,47,1,,,,,,,,
,,,Esche,133,128,121,,,,1,,,,,,,,
,,,Esche,210,193,181,214,197,184,1,,,,,,,,
,,,Esche,184,169,154,,,,1,,,,,,,,
,,,BAh,109,105,101,,,,,,,,,,,,
