Plotnummer,Quadrant,Rückegasse,Baumart,Höhe,Höhe Vorjahr,Höhe Vorvorjahr,Länge,Länge Vorjahr,Länge Vorvorjahr,Gesamtanzahl Triebe,ets.abgestorben.frisch,ets.abgestorben.alt,ets.lebend,verbiss.lebend,verbiss.abgestorben,sonstiges.abgestorben,Bemerkungen,Foto
38,nw,,bah,89,73,62,104,91,65,,,,,,,,,
,sw,,bah,131,122,114,,,,,,,,,,,,
,so,,bah,106,104,99,131,128,127,,,,,,,,,
,,,bah,84,73,54,92,81,65,,,,,,,,,
,,,esch,115,108,88,161,150,119,1,,,,,,,,
,,,bah,59,45,25,,,,,,,,,,,,
,,,bah,123,116,109,,,,,,,,,,,,
,no,,esch,71,59,42,,,,1,,,,,,,,
,,,esch,68,62,54,,,,2,,,,,,1,,
37,sw,,esch,112,105,101,130,126,123,1,,,,,,,,
,nw,,bah,138,132,125,,,,,,,,,,,,
,no,,esch,73,55,45,,,,1,,,,,,,,
,,,esch,89,77,59,,,,1,,,,,,,,
,so,,esch,71,64,57,,,,1,,,,,,,,
36,sw,,esch,123,115,103,,,,1,,,,,,,,
,,,esch,105,100,96,,,,1,,,,,,,,
,,,bah,115,101,92,,,,,,,,,,,,
,,,esch,270,251,222,,,,1,,,,,,,,
,,,bah,136,121,115,,,,,,,,,,,,
,,,sah,239,212,181,,,,,,,,,,,,
,,,bah,123,107,98,,,,,,,,,,,,
,,,esch,79,67,50,,,,1,,,,,,,,
,,,sah,150,141,135,,,,,,,,,,,,
,,,bah,317,284,253,,,,,,,,,,,,
,,,sah,115,105,97,,,,,,,,,,,,
,,,esch,62,56,52,,,,1,,,,,,,,
,,,esch,73,66,59,,,,1,,,,,,,,
,,,esch,145,125,112,169,150,131,1,,,,,,,,
,,,esch,45,36,29,,,,1,,,,,,,,
,,,esch,56,44,24,,,,1,,,,,,,,
,,,sah,72,67,63,,,,,,,,,,,,
,,,esch,215,199,180,,,,1,,,,t1,,,,
,,,bah,150,144,136,,,,,,,,,,,,
,,,bah,405,360,314,,,,,,,,,,,,
,,,esch,64,56,,,,,1,,,,,,,,
,,,esch,101,94,91,,,,1,,,,,,,,
,,,esch,92,87,82,,,,1,,,,t1,,,,
,,,esch,184,176,170,,,,1,,,,,,,,
,,,esch,261,225,199,,,,3,,1,,,,,,
,nw,,esch,101,96,87,,,,1,,,,,,,,
,,,esch,214,197,185,,,,1,,,,,,,,
,,,esch,65,57,54,,,,1,,,,,,,,
,,,esch,146,139,131,,,,1,,,,,,,,
,,,esch,76,67,56,,,,1,,,,,,,,
,,,sah,134,125,118,,,,,,,,,,,,
,,,sah,149,137,133,,,,,,,,,,,,
,,,bah,387,359,332,,,,,,,,,,,,
,,,sah,95,87,82,,,,,,,,,,,,
,,,sah,262,257,246,,,,,,,,,,,,
,,,bah,93,85,77,,,,,,,,,,,,
,,,esch,99,89,82,209,198,192,1,,,,,,,,
,,,bah,93,85,77,,,,,,,,,,,,
,,,esch,182,173,156,,,,1,,,,,,,,
,,,esch,106,97,92,139,131,125,1,,,,,,,,
,,,bah,402,375,323,,,,,,,,,,,,
,,,sah,132,129,121,,,,,,,,,,,,
,,,esch,75,62,22,,,,3,,,,,,2,,
,,,bah,165,157,142,,,,,,,,,,,,
,,,esch,211,199,188,,,,1,,,,,,,,
,no,,esch,49,47,43,,,,1,,,,,,,,
,,,bah,165,147,131,,,,,,,,,,,,
,,,sah,186,179,169,,,,,,,,,,,,
,,,sah,102,88,75,,,,,,,,,,,,
,,,esch,268,250,226,,,,1,,,,,,,,
,,,esch,131,124,116,,,,1,,,,,,,,
,,,esch,93,80,62,125,115,102,2,t1,,,,,,tote Höhe  104 ,
,,,bah,147,135,126,,,,,,,,,,,,
,,,sah,136,122,110,,,,,,,,,,,,
,,,esch,232,217,203,,,,1,,,,,,,,
,,,esch,101,98,94,,,,1,,,,t1,,,,
,,,esch,98,92,89,,,,3,,,,t1,,1,,
,,,sah,129,118,106,,,,,,,,,,,,
,,,esch,201,190,181,,,,,,,,,,,,
,so,,esch,142,134,126,,,,1,,,,,,,,
,,,esch,178,166,158,,,,2,,,,,,1,,
,,,sah,68,35,,,,,,,,,,,,,
,,,sah,71,64,60,,,,,,,,,,,,
,,,esch,176,155,146,,,,1,,,,,,,,
,,,sah,63,54,38,,,,,,,,,,,,
,,,esch,89,79,77,,,,1,,,,,,,,
,,,esch,202,194,173,,,,1,,,t1,,,,"grüne höhe134, fast tot",
,,,bah,83,77,70,,,,,,,,,,,,
,,,sah,121,114,101,,,,,,,,,,,,
,,,esch,120,115,111,,,,1,,,,,,,,
,,,esch,225,204,186,,,,1,,,,,,,,
,,,bah,115,95,90,130,95,90,,,,,,,,,
,,,esch,141,125,106,155,139,108,3,,,,,1,,,
,,,esch,118,105,96,156,142,131,1,,,,,,,,
,,,sah,160,132,113,,,,,,,,,,,,
,,,esch,137,125,110,167,152,134,1,,,,,,,,
,,,esch,155,138,126,,,,2,,,,,,1,,
,,,esch,169,151,142,,,,1,,,,,,,,
,,,esch,114,108,105,,,,1,,,,,,,,
,,,esch,50,44,31,,,,1,,,,,,,,
22,NW,, ,,,,,,,,,,,,,,,
,NO,, ,,,,,,,,,,,,,,,
,SW,,sah,98,93,88,,,,,,,,,,,,
,,,sah,64,50,42,,,,,,,,,,,,
,SO,,esch,52,44,,,,,1,,,,,,,,
,,,Wli,90,60,38,192,135,105,,,,,,,,,
,,,Wli,391,380,370,510,496,468,,,,,,,,,
,,,Wli,205,196,175,358,342,321,,,,,,,,,
23,,, ,,,,,,,,,,,,,,Baum 87 steht auf der Südkante des SW Quadranten,
,SO,,sah,109,93,92,,,,,,,,,,,,
,,,bah,75,68,56,,,,,,,,,,,,
,SW,,sah,89,85,76,,,,,,,,,,,,
,,,bah,95,93,88,112,110,103,,,,,,,,,
,,,esch,62,,,,,,1,,,,T1,,,,
,,,bah,109,103,89,124,119,113,,,,,,,,,
,,,esch,58,48,,,,,1,,,,,,,,
,,,esch,40,,,,,,1,,,,,,,,
,NW,,bah,84,80,76,,,,,,,,,,,,
,,,bah,74,71,,,,,,,,,,,,,
,NO,,esch,62,55,,,,,1,,,,,,,,
24,NO,,esch,57,,,,,,1,,,,,,,,
,,,bah,104,100,94,,,,,,,,,,,,
,,,bah,90,85,,,,,,,,,,,,,
,SO,,bah,62,58,41,156,151,134,,,,,,,,,
,,,bah,82,77,69,,,,,,,,,,,,
,,,bah,84,80,70,,,,,,,,,,,,
,SW,,bah,111,103,69,,,,,,,,,,,,
,NW,,bah,104,97,90,121,112,107,,,,,,,,,
25,,, ,,,,,,,,,,,,,,Baum 186 steht im NW Quadranten,
,SW,,esch,80,75,70,,,,1,,,,,,,,
,,,esch,79,70,,,,,1,,,,,,,,
,,,esch,53,49,,57,53,,1,,,T1,,,,,
,,,bah,106,97,90,,,,,,,,,,,,
,,,esch,79,71,,,,,1,,,,,,,,
,,,esch,89,83,75,,,,1,,,,,,,,
,,,esch,77,65,52,,,,1,,,,,,,,
,,,esch,90,86,72,,,,1,,,,,,,,
,,,esch,70,52,,,,,1,,,,,,,,
,,,esch,48,37,32,83,75,65,1,,,,,,,,
,,,esch,78,76,,,,,1,,,,,,,,
,,,esch,66,,,,,,1,,,,T1,,,,
,,,esch,87,83,,,,,1,,,,,,,,
,,,esch,53,48,,,,,1,,,,,,,,
,,,esch,98,79,,,,,1,,,,,,,,
,,,esch,63,57,,,,,1,,,,,,,,
,,,esch,53,48,75,69,,,1,,,,,,,,
,,,esch,71,,,,,,1,,,,,,,,
,,,esch,80,77,,,,,1,,,,,,,,
,,,esch,76,71,,,,,1,,,,,,,,
,SO,,bah,92,81,65,,,,,,,,,,,,
,,,esch,68,66,,,,,1,,,,,,,,
,,,esch,65,62,,,,,1,,,,,,,,
,,,esch,78,76,,,,,2,,,,,1,,,
,,,bah,60,53,40,,,,,,,,,,,,
,,,esch,83,79,,,,,1,,,,,,,,
,,,esch,93,88,67,,,,1,,,,,,,,
,,,esch,88,79,76,,,,1,,,,,,,,
,,,esch,61,55,,,,,1,,,,,,,,
,,,esch,70,,,,,,1,,,,,,,,
,,,bah,116,103,83,,,,,,,,,,,,
,,,esch,102,99,73,,,,1,,,,,,,,
,,,esch,69,63,52,,,,1,,,,,,,,
,,,esch,93,83,71,,,,1,,,,,,,,
,,,esch,64,,,,,,1,,,,,,,,
,,,esch,80,73,51,,,,2,,,,,1,,,
,,,esch,85,81,61,,,,1,,,,,,,,
,,,esch,62,,,,,,1,,,,,,,,
,,,esch,91,83,,,,,1,,,,T1,,,,
,,,esch,71,65,34,,,,1,,,,,,,,
,,,esch,68,50,,98,75,,1,,,,,,,,
,,,esch,83,,,,,,1,,,,,,,,
,NO,,esch,72,68,,,,,1,,,,,,,,
,,,esch,89,79,70,,,,1,,,,,,,,
,,,esch,80,67,,,,,1,,,,,,,,
,,,bah,111,100,92,,,,,,,,,,,,
,,,esch,76,70,,,,,1,,,,,,,,
,,,esch,90,84,78,,,,1,,,,,,,,
,,,esch,72,54,,,,,1,,,,,,,,
,NW,,esch,81,,,,,,1,,,,,,,,
,,,esch,80,75,,,,,1,,,,,,,,
,,,esch,98,92,,,,,1,,,,,,,,
,,,esch,81,75,50,85,77,66,1,,,,,,,,
,,,esch,69,52,,,,,1,,,,,,,,
,,,esch,85,69,,,,,1,,,,,,,,
,,,esch,112,103,87,,,,1,,,,,,,,
,,,esch,78,69,,,,,1,,,,,,,,
,,,esch,92,88,,,,,1,,,,,,,,
,,,esch,65,58,52,,,,1,,,,,,,,
18,nw,,esch,49,38,,,,,1,,,,,,,,
,,,esch,41,29,,,,,1,,,,,,,,
,,,esch,76,70,61,,,,1,,,,,,,,
,,,esch,50,44,39,79,70,66,1,,,,,,,,
,,,esch,75,70,66,,,,1,,,,,,,,
,,,rbu,295,290,278,402,385,371,,,,,,,,,
,,,esch,59,45,31,,,,1,,,,,,,,
,,,esch,45,21,,60,35,,1,,,,,,,,
,,,esch,56,46,40,,,,1,,,,,,,,
,,,esch,78,49,,96,63,,1,,,,,,,,
,,,esch,81,71,54,,,,1,,,,,,,,
,,,esch,65,56,48,,,,1,,,,,,,,
,,,esch,83,71,60,,,,1,,,,,,,,
,,,esch,69,65,49,,,,1,,,,,,,,
,,,esch,55,42,,,,,1,,,,,,,,
,,,esch,76,64,,,,,1,,,,,,,,
,,,esch,72,36,,,,,1,,,,,,,,
,,,esch,95,85,79,,,,2,,,,,,1,,
,,,esch,89,82,76,,,,1,,,,,,,,
,,,esch,106,94,76,,,,1,,,,,,,,
