"Species,C,80","Height,N,31,3","Spread,N,31,3","Condition,C,80","Illness,C,1","Photo,C,80","TrunkDiam,N,31,3","MV-NR,C,10","zdztfzzt T,C,254","zdztfzzt_1,C,254","zdztfzzt_2,C,254","zdztfzzt_3,C,254","zdztfzzt_4,C,254","zdztfzzt_5,N,24,15","zdztfzzt_6,C,254","zdztfzzt_7,C,254","zdztfzzt_8,C,254","zdztfzzt_9,C,254","x,N,11,3","y,N,11,3"
Cherry,1,0,,F,,0,1,Rotbuche,,F,,,0,,,,,33398706.74,5992141.225
Cherry,2,0,,F,,0,2,Rotbuche,,F,,,0,,,,,33398705.34,5992138.547
Cherry,3,0,,F,,0,3,Rotbuche,,F,,,0,,,,,33398703.96,5992137.921
Cherry,4,0,,F,,0,4,Rotbuche,,F,,,0,,,,,33398702.22,5992138.275
Cherry,5,0,,F,,0,5,Rotbuche,,F,,,0,,,,,33398697.89,5992141.177
Oak,6,6,,F,,102.33,6,Gem. Esche,6,F,10.2.33,,223.5,,,,,33398690.52,5992134.718
Oak,7,0,,F,,0,7,Gem. Esche,,F,,,72.8,,,,,33398685.66,5992129.173
Oak,8,0,,F,,0,8,Gem. Esche,,F,,,156.9,,,,,33398681.85,5992129.436
Oak,9,0,,F,,0,9,Gem. Esche,,F,,,155.2,,,,,33398685.06,5992118.641
Oak,10,4,,F,,2,10,Gem. Esche,4,F,2,,206.7,,,,,33398680.55,5992113.49
Oak,11,0,,F,,0,11,Gem. Esche,,F,,,191.5,,,,,33398670.89,5992118.397
Oak,12,0,,F,,0,12,Gem. Esche,,F,1,,264.3,,,,,33398671.68,5992109.187
Oak,13,0,,F,,0,13,Rotbuche,,F,,,0,,,,,33398669.92,5992103.869
Cherry,14,0,,F,,0,14,Rotbuche,,F,,,0,,,,,33398660.96,5992095.602
Cherry,15,0,,F,,0,15,Rotbuche,,F,,,0,,,,,33398658.83,5992096.033
Oak,16,8,,F,,0,16,Gem. Esche,8,F,,,222.5,,,,,33398655.56,5992099.472
Cherry,17,0,,F,,0,17,Rotbuche,,F,,,0,,,,,33398654.71,5992094.36
Cherry,18,0,,F,,0,18,Rotbuche,,F,,,0,,,,,33398651.56,5992088.236
Oak,19,0,,F,,0,19,Gem. Esche,,F,,,268.8,,,,,33398649.56,5992080.9
Cherry,20,0,,F,,0,20,Rotbuche,,F,,,0,,,,,33398637.2,5992083.245
Oak,21,0,,F,,0,21,Gem. Esche,,F,,,215.1,,,,,33398639.85,5992078.809
Cherry,22,0,,F,,0,22,Rotbuche,,F,,,0,,,,,33398637.49,5992077.346
Cherry,23,0,,F,,0,23,Rotbuche,,F,,,0,,,,,33398634.93,5992075.003
Oak,24,0,,F,,0,24,Gem. Esche,,F,,,172.3,,,,,33398631.09,5992075.897
Cherry,25,0,,F,,0,25,Rotbuche,,F,,,0,,,,,33398630.73,5992075.914
Cherry,26,0,,F,,0,26,Rotbuche,,F,,,0,,,,,33398623.97,5992076.334
Oak,27,0,,F,,0,27,Gem. Esche,,F,,,214.6,,,,,33398622.63,5992075.89
Cherry,28,0,,F,,0,28,Rotbuche,,F,,,0,,,,,33398622.92,5992073.7
Cherry,29,0,,F,,0,29,Rotbuche,,F,,,0,,,,,33398619.87,5992070.852
Apple,30,0,,F,,0,30,Bergahorn,,F,,,0,,,,,33398621.26,5992067.256
Cherry,31,0,,F,,0,31,Rotbuche,,F,,,0,,,,,33398630.42,5992070.44
Oak,32,0,,F,,0,32,Gem. Esche,,F,,,240,,,,,33398630.7,5992066.332
Cherry,33,0,,F,,0,33,Rotbuche,,F,,,0,,,,,33398622.42,5992058.627
Cherry,34,0,,F,,0,34,Rotbuche,,F,,,0,,,,,33398618.64,5992061.346
Cherry,35,0,,F,,0,35,Rotbuche,,F,,,0,,,,,33398616.94,5992065.193
Cherry,36,0,,F,,0,36,Rotbuche,,F,,,0,,,,,33398613.03,5992064.065
Oak,37,0,,F,,0,37,Gem. Esche,,F,,,143.8,,,,,33398610.88,5992065.157
Oak,38,0,,F,,0,38,Gem. Esche,,F,,,185.3,,,,,33398607.53,5992060.155
Cherry,39,0,,F,,0,39,Rotbuche,,F,,,0,,,,,33398602.34,5992059.543
Cherry,40,0,,F,,0,40,Rotbuche,,F,,,0,,,,,33398605.62,5992052.339
Elm,41,0,,F,,0,41,Hainbuche,,F,,,0,,,,,33398601.6,5992048.684
Elm,42,0,,F,,0,42,Hainbuche,,F,,,0,,,,,33398599.41,5992050.056
Elm,43,0,,F,,0,43,Hainbuche,,F,,,0,,,,,33398595.14,5992048.056
Cherry,44,0,,F,,0,44,Rotbuche,,F,,,0,,,,,33398595.59,5992037.425
Elm,45,0,,F,,0,45,Hainbuche,,F,,,0,,,,,33398586.74,5992047.524
Elm,46,0,,F,,0,46,Hainbuche,,F,,,0,,,,,33398588.28,5992052.332
Oak,47,0,,F,,0,47,Gem. Esche,,F,,,178.6,,,,,33398588.05,5992058.093
Elm,48,0,,F,,0,48,Hainbuche,,F,,,0,,,,,33398588.7,5992058.991
Oak,49,0,,F,,0,49,Gem. Esche,,F,,,149,,,,,33398596.04,5992054.209
Cherry,50,0,,F,,0,50,Rotbuche,,F,,,0,,,,,33398597.51,5992059.366
Cherry,51,0,,F,,0,51,Rotbuche,,F,,,0,,,,,33398601.84,5992064.003
Cherry,52,0,,F,,0,52,Rotbuche,,F,,,0,,,,,33398599.72,5992066.36
Birch,53,0,,F,,0,53,EIche,,F,,,0,,,,,33398604.93,5992071.597
Cherry,54,0,,F,,0,54,Rotbuche,,F,,,0,,,,,33398606.9,5992070.859
Birch,55,0,,F,,0,55,EIche,,F,,,0,,,,,33398612.26,5992074.79
Cherry,56,0,,F,,0,56,126,29,10,9,8,0,238,,,,33398616.98,5992073.837
Cherry,57,0,,F,,0,57,Rotbuche,,F,,,0,,,,,33398614.64,5992079.145
