"OBJECTID,N,10,0","Species,C,80","Height,N,19,11","Spread,N,19,11","Condition,C,80","Illness,C,1","Photo,C,80","TrunkDiam,N,19,11","MV_NR,C,10","zdztfzzt_T,C,254","zdztfzzt_1,C,254","zdztfzzt_2,C,254","zdztfzzt_3,C,254","zdztfzzt_4,C,254","zdztfzzt_5,N,19,11","zdztfzzt_6,C,254","zdztfzzt_7,C,254","zdztfzzt_8,C,254","zdztfzzt_9,C,254","x,N,19,11","y,N,19,11","BA_Gruppe,C,10","RASTERVALU,N,13,11","BHD,N,19,11","Bemerkunge,C,50"
1,Cherry,1,0,,F,,0,1,Rotbuche,,F,,,0,,,,,33400000,5992141.225,Bu,43.8698,30,
2,Cherry,2,0,,F,,0,2,Rotbuche,,F,,,0,,,,,33400000,5992138.547,Bu,37.3048,21,
3,Cherry,3,0,,F,,0,3,Rotbuche,,F,,,0,,,,,33400000,5992137.921,Bu,38.2326,15.5,
4,Cherry,4,0,,F,,0,4,Rotbuche,,F,,,0,,,,,33400000,5992138.275,Bu,48.1748,23.5,
5,Cherry,5,0,,F,,0,5,Rotbuche,,F,,,0,,,,,33400000,5992141.177,Bu,50.2813,50.5,
6,Oak,6,6,,F,,102.33,6,Gem. Esche,6,F,10.2.33,,223.5,,,,,33400000,5992134.718,Es,49.1359,71.4,
7,Oak,7,0,,F,,0,7,Gem. Esche,,F,,,72.8,,,,,33400000,5992129.173,Es,36.2238,23.5,
8,Oak,8,0,,F,,0,8,Gem. Esche,,F,,,156.9,,,,,33400000,5992129.436,Es,50.2272,50.4,angeschoben Jan. 2022
9,Oak,9,0,,F,,0,9,Gem. Esche,,F,,,155.2,,,,,33400000,5992118.641,Es,50.7733,49.9,
10,Oak,10,4,,F,,2,10,Gem. Esche,4,F,2,,206.7,,,,,33400000,5992113.49,Es,51.3202,66.8,
11,Oak,11,0,,F,,0,11,Gem. Esche,,F,,,191.5,,,,,33400000,5992118.397,Es,51.7701,61.8,
12,Oak,12,0,,F,,0,12,Gem. Esche,,F,1,,264.3,,,,,33400000,5992109.187,Es,48.0009,84.6,
13,Oak,13,0,,F,,0,13,Rotbuche,,F,,,0,,,,,33400000,5992103.869,Bu,50.0888,39,
14,Cherry,14,0,,F,,0,14,Rotbuche,,F,,,0,,,,,33400000,5992095.602,Bu,41.7566,45.5,
15,Cherry,15,0,,F,,0,15,Rotbuche,,F,,,0,,,,,33400000,5992096.033,Bu,49.7013,17.5,
16,Oak,16,8,,F,,0,16,Gem. Esche,8,F,,,222.5,,,,,33400000,5992099.472,Es,44.6836,70.2,geworfen Jan. 2022
17,Cherry,17,0,,F,,0,17,Rotbuche,,F,,,0,,,,,33400000,5992094.36,Bu,42.0331,34,
18,Cherry,18,0,,F,,0,18,Rotbuche,,F,,,0,,,,,33400000,5992088.236,Bu,54.1759,35,
19,Oak,19,0,,F,,0,19,Gem. Esche,,F,,,268.8,,,,,33400000,5992080.9,Es,56.6604,86.3,
20,Cherry,20,0,,F,,0,20,Rotbuche,,F,,,0,,,,,33400000,5992083.245,Bu,50.7787,46.5,
21,Oak,21,0,,F,,0,21,Gem. Esche,,F,,,215.1,,,,,33400000,5992078.809,Es,52.7901,69,
22,Cherry,22,0,,F,,0,22,Rotbuche,,F,,,0,,,,,33400000,5992077.346,Bu,53.0339,15.5,
23,Cherry,23,0,,F,,0,23,Rotbuche,,F,,,0,,,,,33400000,5992075.003,Bu,50.3759,39,
24,Oak,24,0,,F,,0,24,Gem. Esche,,F,,,172.3,,,,,33400000,5992075.897,Es,51.493,55.5,
25,Cherry,25,0,,F,,0,25,Rotbuche,,F,,,0,,,,,33400000,5992075.914,Bu,51.621,30.5,
26,Cherry,26,0,,F,,0,26,Rotbuche,,F,,,0,,,,,33400000,5992076.334,Bu,52.4112,33,
