Plotnummer,Quadrant,Rückegasse,Baumart,Höhe,Höhe Vorjahr,Höhe Vorvorjahr,Länge,Länge Vorjahr,Länge Vorvorjahr,Gesamtanzahl Triebe,ets.abgestorben.frisch,ets.abgestorben.alt,ets.lebend,verbiss.lebend,verbiss.abgestorben,sonstiges.abgestorben,Bemerkungen,Foto
7,W,n,BAh,1175,826,731,,,,,,,,,,,,
,,,Esche,66,47,,91,72,,1,0,0,0,0,0,0,,
,S,,BAh,3051,2520,2112,,,,,,,,,,,,
,,,BAh,2394,1991,1645,,,,,,,,,,,,
,,,BAh,1454,1080,897,,,,,,,,,,,,
,O,,Esche,91,86,76,136,130,116,1,0,0,0,0,0,0,,
,,,Esche,216,189,160,240,216,183,5,1,1,3,0,1,0,,
,,,BAh,108,100,93,,,,,,,,,,,,
,,,BAh,2199,1570,873,,,,,,,,,,,,
,N,,BAh,775,608,560,778,611,563,,,,,,,,,
,,,BAh,234,184,134,,,,,,,,,,,,
,,,BAh,193,177,130,,,,,,,,,,,,
,,,Esche,122,103,88,,,,1,0,0,0,T1,0,0,,
,,,Esche,96,82,72,99,87,74,1,0,0,0,T1,0,0,,
14,W,,,,,,,,,,,,,,,,"Starkes Totholz auf Plot gestürzt, keine Bäume",119-3290 - 91
,S,,,,,,,,,,,,,,,,Keine Bäume,
,O,,BAh,414,274,188,753,620,503,,,,,,,,von Totholz niedergedrückt,
,N,, ,,,,,,,,,,,,,,Keine Bäume,
27,N,, ,,,,,,,,,,,,,,Keine Bäume,
,O,, ,,,,,,,,,,,,,,Keine Bäume,
,S,, ,,,,,,,,,,,,,,Keine Bäume,
,W,, ,,,,,,,,,,,,,,Keine Bäume,
34,N,, ,,,,,,,,,,,,,,"Keine Bäume, im Zentrum leichte Erhöhung (alter Stubben, Maulwurfshügel?) voller großer Brennesseln, die den Plot alleine schon zu 2/3 ausfüllen.",119-3292
,O,, ,,,,,,,,,,,,,,Keine Bäume,
,S,, ,,,,,,,,,,,,,,Keine Bäume,
,W,, ,,,,,,,,,,,,,,Keine Bäume,
47,N,, ,,,,,,,,,,,,,,"Keine Bäume, starkes Totholz füllt den Plot zur Hälfte aus. Zusätzlich durch dickes Brennnesselgestrüpp überwuchert.",119-3293 - 94
,O,, ,,,,,,,,,,,,,,Keine Bäume,
,S,, ,,,,,,,,,,,,,,Keine Bäume,
,W,, ,,,,,,,,,,,,,,Keine Bäume,
53,N,, ,,,,,,,,,,,,,,Keine Bäume,
,O,, ,,,,,,,,,,,,,,Keine Bäume,
,S,, ,,,,,,,,,,,,,,Keine Bäume,
,W,, ,,,,,,,,,,,,,,Keine Bäume,
68,N,, ,,,,,,,,,,,,,,Keine Bäume,
,O,, ,,,,,,,,,,,,,,Keine Bäume,
,S,, ,,,,,,,,,,,,,,Keine Bäume,
