Plotnummer,Quadrant,Rückegasse,Baumart,Höhe,Höhe Vorjahr,Höhe Vorvorjahr,Länge,Länge Vorjahr,Länge Vorvorjahr,Gesamtanzahl Triebe,ets.abgestorben.frisch,ets.abgestorben.alt,ets.lebend,verbiss.lebend,verbiss.abgestorben,sonstiges.abgestorben,Bemerkungen,Foto
5,SW,,BAh,261,212,208,,,,,,,,,,,,
,,,BAh,168,141,136,209,158,151,,,,,,,,,
,,,BAh,182,144,135,190,144,135,,,,,,,,,
,,,BAh,113,103,87,146,120,102,,,,,,,,,
,,,BAh,217,196,165,,,,,,,,,,,,
,,,Esche,80,48,20,113,92,31,1,,,,,,,,
,,,BAh,148,135,106,,,,,,,,,,,,
,,,BAh,265,210,175,,,,,,,,,,,,
,SO,,Esche,74,49,44,77,52,44,1,,,,,,,,
,,,Esche,87,72,50,97,82,60,1,,,,,,,,
,NW,,BAh,490,394,196,,,,,,,,,,,,
,,,BAh,250,208,196,,,,,,,,,,,,
,,,BAh,213,200,161,,,,,,,,,,,,
,,,BAh,155,114,91,157,114,91,,,,,,,,,
,,,BAh,221,198,155,,,,,,,,,,,,
,,,BAh,231,152,112,240,161,121,,,,,,,,,
,,,BAh,331,175,128,,,,,,,,,,,,
,,,BAh,245,190,138,257,198,138,,,,,,,,,
,,,Esche,164,112,43,,,,1,,,,,,,,
,,,BAh,183,157,124,190,162,126,,,,,,,,,
,,,BAh,390,211,154,,,,,,,,,,,,
,,,Esche,110,92,55,164,143,62,1,,,,,,,"Trieb mit Aufschürfung, wohl kein ETS",
,,,Esche,43,20,,43,20,,1,,,,,,,,
,NO,,Esche,98,70,56,110,80,67,1,,,,,,,,
,,,BAh,191,152,110,209,156,110,,,,,,,,,
,,,BAh,206,161,132,216,170,132,,,,,,,,,
,,,BAh,166,130,124,182,142,136,,,,,,,,,
,,,BAh,149,123,103,,,,,,,,,,,,
,,,BAh,201,168,134,213,178,139,,,,,,,,,
6,SO,,BAh,111,107,80,117,114,82,,,,,,,,,
,,,Esche,151,101,49,175,121,60,,,,,,,,,
,SW,,BAh,225,177,158,243,188,174,,,,,,,,,
,,,Esche,214,144,105,275,194,130,2,,,,,,,,
,,,BAh,138,122,82,,,,,,,,,,,,
,NW,,Esche,95,85,49,125,86,49,1,,,,,,,,
,NO,, ,,,,,,,,,,,,,,Quadrant ca 12 cm mit Aushub aus der Bodengrube bedeckt. Keine Bäume,
7,NW,,BAh,238,190,116,245,198,117,,,,,,,,,
,,,BAh,193,169,84,205,164,80,,,,,,,,,
,,,BAh,177,133,96,,,,,,,,,,,,
,,,Esche,172,111,74,172,120,76,1,,,,,,,,
,,,BAh,320,220,156,,,,,,,,,,,,
,,,BAh,466,301,195,495,323,210,,,,,,,,,
,,,BAh,266,196,139,270,200,142,,,,,,,,,
,,,BAh,227,169,121,242,182,128,,,,,,,,,
,,,Esche,66,48,40,94,64,54,1,,,,T1,,,,
,,,BAh,146,99,67,152,101,68,,,,,,,,,
,,,BAh,217,164,109,,,,,,,,,,,,
,,,Esche,153,150,102,167,163,123,,,,,,,,,
,,,BAh,152,144,104,184,142,104,,,,,,,,,
,,,BAh,156,139,126,185,151,136,,,,,,,,,
,,,Esche,151,134,74,170,150,88,1,,,,,,,,
,,,BAh,102,87,76,134,113,103,,,,,,,,,
,,,Esche,162,120,98,201,135,109,2,,,,,,,,
,,,BAh,279,222,165,,,,,,,,,,,,
