Plotnummer,Quadrant,Rückegasse,Baumart,Höhe,Höhe Vorjahr,Höhe Vorvorjahr,Länge,Länge Vorjahr,Länge Vorvorjahr,Gesamtanzahl Triebe,ets.abgestorben.frisch,ets.abgestorben.alt,ets.lebend,verbiss.lebend,verbiss.abgestorben,sonstiges.abgestorben,Bemerkungen,Foto
4,no,,bah,188,135,107,,,,,,,,,,,,
,,,bah,120,98,,,,,,,,,,,,,
,,,bah,284,227,164,,,,,,,,,,,,
,,,bah,154,123,89,,,,,,,,,,,,
,,,bah,275,200,114,,,,,,,,,,,,
,,,bah,334,216,141,,,,,,,,,,,,
,,,bah,140,123,,,,,,,,,,,,,
,,,bah,168,132,,,,,,,,,,,,,
,,,bah,122,82,,,,,,,,,,,,,
,,,bah,93,55,,145,98,,,,,,,,,,
,,,bah,312,262,248,,,,,,,,,,,,
,,,bah,170,123,78,,,,,,,,,,,,
,,,esche,150,105,79,,,,1,,,,,,,,
,,,bah,325,247,109,,,,,,,,,,,,
,,,bah,100,74,,,,,,,,,,,,,
,,,bah,80,72,,,,,,,,,,,,,
,,,esche,83,74,49,,,,1,,,,,,,,
,,,bah,249,217,142,,,,,,,,,,,,
,,,bah,322,274,219,,,,,,,,,,,,
,,,bah,159,131,100,,,,,,,,,,,,
,,,bah,492,370,115,,,,,,,,,,,,
,so,,bah,140,135,111,,,,,,,,,,,,
,,,bah,300,240,186,,,,,,,,,,,,
,,,bah,246,154,118,,,,,,,,,,,,
,,,bah,410,355,307,,,,,,,,,,,,
,,,bah,168,154,109,,,,,,,,,,,,
,,,bah,304,240,179,,,,,,,,,,,,
,,,bah,453,387,202,,,,,,,,,,,,
,,,bah,139,121,102,,,,,,,,,,,,
,,,esche,92,75,43,122,110,56,1,,,,,,,,
,,,bah,140,120,105,,,,,,,,,,,,
,,,bah,223,166,125,230,174,133,,,,,,,,,
,,,esche,160,80,1,220,150,1,1,,,,,,,,
,,,esche,125,82,,,,,1,,,,,,,,
,,,bah,360,301,150,,,,,,,,,,,,
,,,bah,390,290,134,,,,,,,,,,,,
,,,bah,206,157,110,,,,,,,,,,,,
,,,bah,125,97,60,,,,,,,,,,,,
,,,esche,113,72,43,,,,1,,,,,,,,
,,,bah,205,173,106,,,,,,,,,,,,
,,,bah,173,142,99,,,,,,,,,,,,
,,,bah,259,235,193,,,,,,,,,,,,
,,,bah,442,403,215,,,,,,,,,,,,
,,,bah,324,255,160,,,,,,,,,,,,
,,,bah,168,142,112,,,,,,,,,,,,
,sw,,bah,163,132,104,,,,,,,,,,,,
,,,bah,202,174,149,,,,,,,,,,,,
,,,bah,205,170,150,,,,,,,,,,,,
,,,bah,410,336,150,,,,,,,,,,,,
,,,bah,205,168,150,,,,,,,,,,,,
,,,bah,108,80,,,,,,,,,,,,,
,,,bah,173,105,,,,,,,,,,,,,
,,,bah,275,240,132,,,,,,,,,,,,
,,,bah,320,242,130,,,,,,,,,,,,
,,,bah,403,337,164,,,,,,,,,,,,
,,,bah,113,86,79,,,,,,,,,,,,
,,,bah,211,166,127,,,,,,,,,,,,
,,,bah,302,254,175,,,,,,,,,,,,
,,,bah,155,150,109,,,,,,,,,,,,
,,,bah,115,107,85,,,,,,,,,,,,
,,,bah,392,336,166,,,,,,,,,,,,
