Plotnummer,Quadrant,Rückegasse,Baumart,Höhe,Höhe Vorjahr,Höhe Vorvorjahr,Länge,Länge Vorjahr,Länge Vorvorjahr,Gesamtanzahl Triebe,ets.abgestorben.frisch,ets.abgestorben.alt,ets.lebend,verbiss.lebend,verbiss.abgestorben,sonstiges.abgestorben,Bemerkungen,Foto
6,S,,,,,,,,,,,,,,,,,
,O,,,,,,,,,,,,,,,,Keine Bäume,
,N,,Esche,121,110,91,131,116,98,2,,,,,,,,
,,,Esche,149,95,68,,,,1,,,,,,,,
,,,Esche,94,78,49,133,119,89,1,,,,,,,,
,,,HBu,95,92,72,95,92,72,,,,,,,,,
,,,Esche,168,132,83,,,,2,,,,,,,,
,W,,U glabra,368,207,164,452,263,207,,,,,,,,,
,,,Esche,121,79,59,140,97,77,2,,,,,,,,
,,,Esche,152,60,41,157,56,38,2,,1,,,,,,
,,,Esche,100,50,28,102,51,28,3,,,,,,,,
,,,Esche,103,51,35,120,71,53,1,,,,,,,,
13,S,,Crategus speck,828,650,650,1632,1400,1246,,,,,,,,,
,,,Esche,120,111,96,120,111,96,1,,,,,,,,
,,,Pfaffe,178,154,111,,,,,,,,,,,,
,,,Pfaffe,213,170,95,,,,,,,,,,,,
,,,Pfaffe,166,112,93,,,,,,,,,,,,
,,,Pfaffe,160,135,126,,,,,,,,,,,,
,,,Pfaffe,210,183,175,230,212,200,,,,,,,,,
,,,Pfaffe,151,122,103,160,131,112,,,,,,,,,
,,,Pfaffe,280,111,1,,,,,,,,,,,,
,,,Pfaffe,124,118,107,145,135,117,,,,,,,,,
,,,Pfaffe,103,76,1,109,81,1,,,,,,,,,
,,,Esche,179,125,100,,,,1,,,,,,,,
,,,Esche,179,130,101,,,,1,,,,,,,,
,,,Esche,66,26,,81,38,,1,,,,,,,,
,,,Esche,83,53,24,,,,1,,,,,,,,
,,,Esche,150,102,67,,,,1,,,,,,,,
,,,Esche,235,208,206,308,274,270,4,,1,,,,1,,
,,,Esche,82,67,63,99,82,78,2,,,,,,,,
,,,Esche,170,141,112,,,,1,,,,,,,,
,,,Pfaffe,195,157,67,260,207,87,,,,,,,,,
,,,Pfaffe,178,30,1,255,100,1,,,,,,,,Aus Senkwurzel kommend,
,,,Pfaffe,149,81,1,155,82,1,,,,,,,,,
,,,Pfaffe,139,127,122,,,,,,,,,,,,
,,,Pfaffe,78,20,3,134,38,10,,,,,,,,,
,,,Pfaffe,98,10,1,110,41,1,,,,,,,,,
,,,Pfaffe,49,29,26,,,,,,,,,,,,
,,,Pfaffe,112,93,88,163,128,110,,,,,,,,,
,,,Pfaffe,174,138,103,,,,,,,,,,,,
,,,Pfaffe,153,60,,204,83,,,,,,,,,Wurzelaustrieb?,
,,,Pfaffe,133,20,,165,29,,,,,,,,,,
,,,U glabra,453,425,420,546,510,502,,,,,,,,,
,,,U glabra,254,255,241,310,262,240,,,,,,,,,
,Osten,,Pfaffe,301,225,206,334,237,215,,,,,,,,,
,,,Pfaffe,128,122,106,130,120,116,,,,,,,,,
,,,Pfaffe,242,144,123,477,376,355,,,,,,,,,
,,,Pfaffe,183,179,152,205,199,170,,,,,,,,,
,,,Pfaffe,128,124,95,196,192,165,,,,,,,,,
,,,Pfaffe,126,123,115,125,117,110,,,,,,,,,
,,,Esche,201,163,117,,,,2,,,,,,,,
,,,Pfaffe,119,97,85,215,188,152,,,,,,,,,
,,,Pfaffe,116,74,20,379,330,261,,,,,,,,,
,,,Pfaffe,141,93,59,483,377,326,,,,,,,,,
,,,Esche,183,146,102,,,,1,,,,,,,,
,,,Esche,210,134,118,,,,2,,,,,,,Krebs,
,,,Esche,217,157,129,,,,2,,,,,,1,,
,,,Pfaffe,104,84,77,128,93,84,,,,,,,,,
,,,Pfaffe,247,210,182,,,,,,,,,,,,
,,,Esche,100,85,56,116,100,73,1,,,,,,,,
,,,Pfaffe,133,126,102,181,176,151,,,,,,,,,
,,,Pfaffe,186,147,110,360,302,262,,,,,,,,,
,,,Pfaffe,136,50,45,230,134,125,,,,,,,,,
,,,Esche,97,83,67,,,,1,,,,,,,,
,,,HBu,447,416,411,490,449,444,,,,,,,,,
,,,U glabra,728,680,642,,,,,,,,,,,,
,W,,U glabra,335,178,112,355,184,117,,,,,,,,,
,,,U glabra,319,233,190,,,,,,,,,,,,
,,,Esche,193,141,129,,,,1,,,,,,,,
,N,,Esche,91,83,59,113,105,80,2,,,,,,,,
,W,,Esche,86,84,65,128,126,115,,,,,,,,,
,N,,Pfaffe,64,49,1,85,51,18,,,,,,,,,
,,,Pfaffe,194,153,130,281,239,224,,,,,,,,,
,,,Pfaffe,112,104,60,262,254,217,,,,,,,,,
,,,Pfaffe,200,132,112,420,335,315,,,,,,,,,
,,,Pfaffe,185,149,146,190,153,148,,,,,,,,,
,,,Pfaffe,172,145,130,187,160,143,,,,,,,,,
,,,Pfaffe,185,144,140,214,158,156,,,,,,,,,
,,,Esche,230,184,159,,,,,,,,,,,,
,,,Pfaffe,168,160,155,,,,,,,,,,,,
,,,Pfaffe,179,167,164,197,185,170,,,,,,,,,
,,,Pfaffe,152,130,124,162,142,125,,,,,,,,,
,,,Esche,190,145,126,234,190,170,3,,,,,,1,,
,,,Pfaffe,241,144,115,,,,,,,,,,,,
,,,Pfaffe,88,60,45,202,170,151,,,,,,,,,
,,,Pfaffe,161,154,150,347,317,314,,,,,,,,,
,,,Pfaffe,243,240,235,329,325,318,,,,,,,,,
,,,Pfaffe,148,133,102,160,144,105,,,,,,,,,
,,,Esche,86,59,55,,,,1,,,,,,,,
24,S,,Pfaffe,270,249,175,288,265,170,,,,,,,,,
,,,Pfaffe,210,184,180,301,270,265,,,,,,,,,
,,,Pfaffe,1,1,1,470,353,211,,,,,,,,,
,,,Pfaffe,361,206,35,364,210,37,,,,,,,,,
,,,Pfaffe,170,72,1,298,188,42,,,,,,,,,
,,,Pfaffe,229,166,85,229,166,85,,,,,,,,,
,,,Pfaffe,181,155,153,275,218,208,,,,,,,,,
,,,Pfaffe,175,150,5,230,197,176,,,,,,,,,
,,,Pfaffe,405,292,219,,,,,,,,,,,,
,,,Pfaffe,231,136,111,282,187,134,,,,,,,,,
,,,Pfaffe,95,,,100,,,,,,,,,,,
,,,Pfaffe,59,28,,268,74,,,,,,,,,,
