Plotnummer,Quadrant,Rückegasse,Baumart,Höhe,Höhe Vorjahr,Höhe Vorvorjahr,Länge,Länge Vorjahr,Länge Vorvorjahr,Gesamtanzahl Triebe,ets.abgestorben.frisch,ets.abgestorben.alt,ets.lebend,verbiss.lebend,verbiss.abgestorben,sonstiges.abgestorben,Bemerkungen,Foto
89,nswo,,,,,,,,,,,,,,,,keine Bäume,
90,nswo,,,,,,,,,,,,,,,,keine Bäume,
70,nswo,,,,,,,,,,,,,,,,keine Bäume,
71,nswo,,,,,,,,,,,,,,,,keine Bäume,
72,nswo,,,,,,,,,,,,,,,,keine Bäume,
67,nswo,,,,,,,,,,,,,,,,keine Bäume,
68,nswo,,,,,,,,,,,,,,,,keine Bäume,
69,nswo,,,,,,,,,,,,,,,,keine Bäume,
49,nswo,,,,,,,,,,,,,,,,keine Bäume,
50,nswo,,,,,,,,,,,,,,,,keine Bäume,
51,nord,,esche,447,436,425,,,,20,1,7t,,,,1,aceria fraxinivora,
,,,esche,581,505,88,,,,12,,,,,,2,,
,,,esche,418,415,400,,,,8,,,,,,1,,
,west,,esche,285,210,185,,,,20,,14t,3,,,1,,
,süd,,esche,270,265,260,,,,6,,,,,,2t,,
,,,esche,699,689,674,,,,10,,,,,,1,,
,ost,,esche,370,350,250,,,,9,2,,1,,,t2,,
46,nord,,,,,,,,,,,,,,,,,
,ost,,,,,,,,,,,,,,,,,
,süd,,esche,128,119,112,,,,1,,,,,,,,
,west,,esche,85,58,42,,,,1,,,,,,,,
,,,esche,111,57,35,,,,3,,,,,,1,,
,,,esche,145,124,98,,,,7,,,,,,3,,
47,nwso,,,,,,,,,,,,,,,,,
48,nwso,,,,,,,,,,,,,,,,,
31,nord,,esche,250,220,196,,,,2,,,,,,,alte erle in mitte plot,
,west,,esche,170,140,130,,,,1,,,,,,,,
,,,esche,193,170,166,,,,3,,,,,,1,,
30,nord,,pfaffe,298,289,270,,,,,,,,,,,,
,ost,,pfaffe,219,111,102,,,,,,,,,,,,
,,,pfaffe,341,245,150,,,,,,,,,,,,
,,,pfaffe,185,160,149,,,,,,,,,,,,
,,,pfaffe,295,240,231,,,,,,,,,,,,
,,,pfaffe,195,1,1,,,,,,,,,,,,
,,,pfaffe,85,84,82,,,,,,,,,,,,
,,,pfaffe,186,160,152,,,,,,,,,,,,
,,,pfaffe,210,187,120,,,,,,,,,,,,
,,,pfaffe,180,140,105,,,,,,,,,,,,
,süd,,pfaffe,310,275,160,,,,,,,,,,,,
,,,pfaffe,115,81,50,,,,,,,,,,,,
,,,pfaffe,160,93,25,,,,,,,,,,,,
,west,,pfaffe,178,120,61,,,,,,,,,,,,
,,,pfaffe,315,291,274,,,,,,,,,,,,
,,,pfaffe,170,110,60,,,,,,,,,,,,
29,nord,,fah,61,58,56,82,71,61,,,,,,,,,
,,,pfaffe,215,101,63,,,,,,,,,,,,
,,,pfaffe,100,53,38,,,,,,,,,,,,
,,,pfaffe,75,60,44,,,,,,,,,,,,
,west,,pfaffe,129,124,11,,,,,,,,,,,,
,süd,,esche,95,82,80,119,107,100,2,,,,,,1,,
,,,fah,76,69,34,,,,,,,,,,,,
,,,esche,70,63,53,,,,1,,,,,,,,
,ost,, ,,,,,,,,,,,,,,,
28,nord,,pfaffe,340,319,210,,,,,,,,,,,teile einer krone liegen über plot,
,ost,,pfaffe,165,154,148,,,,,,,,,,,,
