lfdNR_NEU,Bezeichnung,BHD,KraftscheKlasse,Hoehe,Zwiesel,Bemerkung,X,Y,Ost (UTM Z32 N),Nord (UTM Z33 N)
1,BAH,41,1,27.5,0,,28.8,9.8,313708.422574164,5693334.6456871
2,GES,48,1,33.5,0,alte Nr 15,37.8,9.85,313717.649629272,5693333.47592556
3,BAH,41,4a,26.7,0,,39.25,17.68,313720.197374707,5693341.30084778
4,SAH,8,5,6.9,0,,37.8,20,313719.026629335,5693343.87434326
5,GES,40,1,29,0,,34.71,19.69,313715.818946505,5693343.97596107
6,BAH,37,2,25.6,0,,26,19.8,313706.910695451,5693345.2702957
7,BAH,35,3,23.1,0,,25,23,313706.320348899,5693348.68427961
8,BAH,31,3,28,0,,28,31,313710.479093098,5693356.47308172
9,GES,41,2,30.4,0,,33.1,30.95,313715.697130565,5693355.72996633
10,SEI,75,2,32.5,0,,35.3,38.49,313718.973889129,5693363.15604213
11,BAH,62,2,30,0,,30.24,39.39,313713.912145924,5693364.76453437
12,WLI,25,5,16.9,0,,32.21,49.14,313717.253095036,5693374.48590211
13,WLI,30,5,24.6,0,,30.32,59.89,313716.775237028,5693385.75541151
14,WLI,16,5,11.3,0,,26.5,60,313712.876667016,5693386.38634414
15,WLI,32,4b,28.3,0,,33.83,60.42,313720.443045518,5693385.82219882
16,GES,66,1,29.3,0,,26.01,61.69,313712.603948339,5693388.18418216
17,WLI,13,5,15,0,,32.8,62.5,313719.670019892,5693388.09284107
18,BAH,62,3,28.2,0,,18.45,68.96,313705.845204754,5693396.65774051
19,GES,97,1,31.8,0,Nr 7 alte nr 941,28.67,72.14,313716.746750482,5693398.52907328
20,FUL,11,5,10.6,0,,23,78.2,313711.7601093,5693405.50661039
21,RBU,57,2,23.8,0,,24.45,78.71,313713.314786709,5693405.83237817
22,RBU,75,1,30.3,0,,22.74,92.77,313713.47038539,5693420.46847896
23,BAH,47,2,28.3,0,rot-gelbe Markierung,16.45,95.12,313707.345252659,5693423.72932743
24,BAH,35,4a,18.7,0,,31.76,100.42,313723.748984225,5693427.08201146
25,GES,55,2,25,0,,34.36,93.45,313725.467033052,5693419.58869406
26,RBU,92,1,29.6,0,,35.61,83.53,313725.401829259,5693409.25632424
27,RBU,82,2,25.5,0,,39.29,86.37,313729.557184661,5693411.66658493
28,BAH,64,2,35,0,,45.45,73.79,313734.161282422,5693397.94299724
29,WLI,60,3,28,0,,46.1,62.1,313733.241266734,5693385.8787063
30,GES,42,1,26.9,0,,40.46,54.97,313726.495938034,5693379.33935282
31,WLI,18,5,16.9,0,,39.55,51.43,313725.083411893,5693375.83616773
32,WLI,61,5,10.3,0,,41.11,42.21,313725.430760764,5693366.178874
33,WLI,36,4a,25.5,0,,46.31,39.12,313730.338824002,5693362.30778917
34,SEI,77,1,27.8,0,,43.49,33.27,313726.656165057,5693356.69718785
35,WLI,40,3,27.5,0,,41.11,28.92,313723.627772504,5693352.56360589
36,WLI,47,1,28.2,0,,38.93,22.99,313720.589924133,5693346.78422098
37,BAH,35,2,26.7,0,,42.83,15.59,313723.581454042,5693338.67401495
38,GES,19,3,24.6,0,,48.54,14.65,313729.303679169,5693336.93636145
39,BAH,29,4a,24.2,0,,52.85,14.35,313733.678465404,5693336.04430277
40,FUL,8,5,6.2,0,,51.2,29.6,313734.05697395,5693351.8913885
41,BAH,29,4a,23.6,0,,51.88,30.64,313734.894708345,5693352.86458991
42,FUL,11,5,11.6,0,,48,31.2,313730.995719118,5693353.96467604
43,WLI,26,5,15.6,0,,56.86,35.98,313740.72104337,5693357.65967269
44,FUL,13,5,13.5,0,,55.8,38,313739.909143603,5693359.87291642
45,FUL,10,5,12.9,0,,54.5,40.5,313738.916489134,5693362.61046759
46,WLI,15,5,7.7,0,,50,44,313734.781180814,5693366.8066215
47,FUL,14,5,12,0,,52.5,43,313737.206702409,5693365.44298428
48,GES,70,1,35,0,alte nr 932?,53.06,51.83,313738.978330436,5693374.41312302
49,BAH,26,5,14,0,,57.37,55.16,313743.845580733,5693377.23990733
50,FUL,8,5,7.8,0,,51.2,52.8,313737.204402666,5693375.65920039
51,WLI,31,5,18.4,0,,58.2,60.1,313745.366079946,5693382.18821013
52,GES,76,2,34,0,,60.17,76.29,313749.580711857,5693398.50719461
53,BAH,11,5,11.6,0,,59,67,313747.121748379,5693389.14855319
54,BAH,14,5,13.2,0,,61.5,67.2,313749.710068012,5693389.01428554
55,WLI,35,5,16.8,0,,54.44,75.46,313743.597870133,5693398.43424128
56,GES ,89,1,31,0,Nr 6 alte Nr 42,50.48,77.75,313739.851623437,5693401.31752175
57,BAH,30,4b,28,0,,58.08,79.43,313747.865548034,5693402.00758493
58,WLI,26,5,19,0,,59.11,86.13,313749.82971263,5693408.73183011
59,WLI,46,2,31.6,0,,57.47,90.44,313748.734290486,5693413.3698065
60,RBU,71,2,27.4,0,alte nr 24,50.68,86.78,313741.281573595,5693410.54139484
61,BAH,46,2,22.8,0,,52.2,95.51,313744.023130784,5693419.27884769
62,WLI,43,4a,29.2,0,,47.39,104.14,313740.26619693,5693428.77261273
63,WLI,63,1,25.4,0,,39,106,313731.923191568,5693431.81636519
64,SEI,34,4a,23.3,0,,59.5,116,313754.281572215,5693439.27997856
65,BAH,59,3,29.9,0,,56.75,103.46,313749.763027439,5693426.80614528
66,GES,54,3,32,0,,59.43,105,313752.717543651,5693428.02025395
67,BAH,19,5,17.5,0,,62.25,101.41,313755.119524705,5693423.95981457
68,BAH,46,2,27.5,0,,61.07,95.41,313753.096654432,5693417.9730514
69,BAH,29,5,24,0,,65.58,84.48,313756.23421632,5693406.16369418
70,BAH,28,5,23.5,0,,63.94,78.78,313753.780787217,5693400.54667932
71,GES,53,1,29.5,0,,67.9,81.68,313758.231135423,5693402.98042229
72,GES,65,2,33.1,0,,71.22,76.52,313760.932359704,5693397.24372519
73,FUL,14,5,17.9,0,,67.5,69.5,313756.168945487,5693390.55658706
74,SEI,58,1,29.2,0,,64.27,60.87,313751.689103149,5693382.15356887
75,FUL,8,5,8.9,0,,67.2,59.5,313754.504952783,5693380.35254006
76,FUL,13,5,14.4,0,,68.8,59.5,313756.144112224,5693380.13547601
77,FUL,10,5,15.9,0,,68.2,61,313755.73292498,5693381.753587
78,FUL,14,5,15.5,0,,69.5,62,313757.200407057,5693382.60169711
79,GES,54,1,29,0,,67.15,56.9,313754.100999971,5693377.69568922
80,FUL,8,5,15,0,,67,54,313753.553900184,5693374.74506249
81,BAH,44,3,31,0,,60.27,48.53,313745.917098066,5693370.0542118
82,WLI,15,5,12.4,0,,62.7,49,313748.470334032,5693370.20604886
83,BAH,53,2,27.6,0,,59.48,42.52,313744.292416256,5693364.00429453
84,BAH,11,5,18.3,0,,70,41,313754.863678735,5693361.01989693
85,FUL,11,5,14.8,0,,70,38.2,313754.483816648,5693358.15136791
86,FUL,14,5,17,0,,69.5,31.6,313753.07619012,5693351.45766773
