Plotnummer,Quadrant,Rueckegasse,Esche markiert,Baumart,Hoehe,Hoehe Vorjahr,Hoehe Vorvorjahr,Anzahl Triebe,ETS abgestorben frisch,ETS abgestorben alt,ETS lebend,Verbiss lebend,Verbiss tot,Sonstige Gruende tot,Bemerkungen,Rand,Zaun
1,sw,,,pfaff,140,102,77,,,,,,,,,FALSE,FALSE
,so,,,pfaff,191,102,32,,,,,,,,,FALSE,FALSE
,,,,pfaff,170,141,126,,,,,,,,,FALSE,FALSE
,,,,pfaff,747,714,690,,,,,,,,,FALSE,FALSE
2,,,,,,,,,,,,,,,keine baume,FALSE,FALSE
3,,,,,,,,,,,,,,,keine baume,FALSE,FALSE
4,,,,,,,,,,,,,,,keine baume,FALSE,FALSE
5,,,,,,,,,,,,,,,rand,TRUE,FALSE
6,,,,,,,,,,,,,,,rand,TRUE,FALSE
7,nw,,nw,esch,141,119,101,1,,,,,,,,FALSE,FALSE
,,,,esch,136,123,115,4,,,,1,,1,,FALSE,FALSE
,,,,esch,133,113,78,2,,,,,,,,FALSE,FALSE
,sw,,sw,esch,194,156,143,3,,,,,,,,FALSE,FALSE
,no,,,bah,159,138,129,,,,,,,,,FALSE,FALSE
8,no,,,rbu,106,84,57,,,,,,,,,FALSE,FALSE
,,,,hbu,36,28,,,,,,,,,,FALSE,FALSE
,,,no,esch,56,48,,1,,,,,,,,FALSE,FALSE
,nw,,nw,esch,79,68,,1,,,,,,,,FALSE,FALSE
,,,,esch,62,53,43,,,,,,,,,FALSE,FALSE
,sw,,sw,esch,68,59,,,,,,,,,,FALSE,FALSE
,so,,,sonst. Strauch,176,14,,,,,,,,,,FALSE,FALSE
,,,,esch,61,56,46,2,,,,,,1,,FALSE,FALSE
,,,so,esch,57,46,,1,,,,,,,,FALSE,FALSE
9,so,,,holunder,785,na,na,,,,,,,,,FALSE,FALSE
,,,,holunder,1690,na,na,,,,,,,,,FALSE,FALSE
10,no,,,rbu,8630,na,na,,,,,,,,,FALSE,FALSE
,,,,esche,68,59,48,1,,,,,,,,FALSE,FALSE
,,,no,esche,156,144,130,1,,,,,,,,FALSE,FALSE
,,,,holunder,324,189,105,,,,,,,,,FALSE,FALSE
,,,,holunder,298,284,80,,,,,,,,,FALSE,FALSE
,so,,,holunder,203,178,145,,,,,,,,,FALSE,FALSE
,,,so,esche,87,57,,,,,,,,,,FALSE,FALSE
,,,,holunder,318,140,106,,,,,,,,,FALSE,FALSE
,sw,,,holunder,531,488,360,,,,,,,,,FALSE,FALSE
,,,,holunder,326,289,235,,,,,,,,,FALSE,FALSE
,,,,holunder,558,470,345,,,,,,,,,FALSE,FALSE
,,,,holunder,806,755,640,,,,,,,,,FALSE,FALSE
,,,,holunder,1743,945,805,,,,,,,,,FALSE,FALSE
,nw,,,holunder,640,619,549,,,,,,,,,FALSE,FALSE
,,,,holunder,311,257,235,,,,,,,,,FALSE,FALSE
,,,,holunder,283,189,45,,,,,,,,,FALSE,FALSE
,,,,holunder,428,325,274,,,,,,,,,FALSE,FALSE
,,,,holunder,655,346,90,,,,,,,,,FALSE,FALSE
,,,,holunder,291,175,,,,,,,,,,FALSE,FALSE
,,,,holunder,532,339,310,,,,,,,,,FALSE,FALSE
,,,,holunder,241,,,,,,,,,,,FALSE,FALSE
