Plotnummer,Quadrant,Rueckegasse,Esche markiert,Baumart,Hoehe,Hoehe Vorjahr,Hoehe Vorvorjahr,Anzahl Triebe,ETS abgestorben frisch,ETS abgestorben alt,ETS lebend,Verbiss lebend,Verbiss tot,Sonstige Gruende tot,Bemerkungen,Rand,Zaun
2,west,,,sah,104,85,62,,,,,,,,,FALSE,FALSE
,,,,sah,1057,817,798,,,,,,,,,FALSE,FALSE
,,,west,esch,709,546,467,3,,,,,,,,FALSE,FALSE
,nord,,,sah,106,75,,,,,,,,,,FALSE,FALSE
,,,,sah,168,83,65,,,,,,,,,FALSE,FALSE
,,,,sah,140,87,74,,,,,,,,,FALSE,FALSE
,,,,sah,85,57,,,,,,,,,,FALSE,FALSE
,,,nord,esch,74,,,1,,,,,,,,FALSE,FALSE
,,,,sah,83,68,57,,,,,,,,,FALSE,FALSE
,,,,sah,86,74,,,,,,,,,,FALSE,FALSE
,,,,sah,147,106,71,,,,,,,,,FALSE,FALSE
,sued,,,esch,153,126,107,1,,,,,,,,FALSE,FALSE
,,,,esch,134,112,54,1,,,,,,,,FALSE,FALSE
,,,,esch,162,137,84,1,,,,,,,,FALSE,FALSE
,,,,esch,207,166,146,5,,,,,,1,,FALSE,FALSE
,,,,sah,147,77,56,,,,,,,,,FALSE,FALSE
,,,sued,esch,80,52,,1,,,,,,,,FALSE,FALSE
,ost,,ost,esch,476,455,414,3,,,,,,1,,FALSE,FALSE
1,west,,,hbu,256,233,188,,,,,,,,baum 113 liegt auf der ost ecke des plots,FALSE,FALSE
,,,,eiche,145,129,117,,,,,,,,,FALSE,FALSE
,,,,sah,383,312,262,,,,,,,,,FALSE,FALSE
,,,,hbu,1186,619,607,,,,,,,,,FALSE,FALSE
,sued,,,hbu,400,372,354,,,,,,,,,FALSE,FALSE
,,,,hbu,358,225,210,,,,,,,,,FALSE,FALSE
,,,,hbu,525,278,259,,,,,,,,,FALSE,FALSE
,,,,sah,80,55,,,,,,,,,,FALSE,FALSE
,,,,sah,124,115,79,,,,,,,,,FALSE,FALSE
,,,,sah,126,100,63,,,,,,,,,FALSE,FALSE
,,,,sah,136,102,64,,,,,,,,,FALSE,FALSE
,,,,esch,60,,,1,,,,,,,,FALSE,FALSE
,,,,esch,61,53,,1,,,,,,,,FALSE,FALSE
