BaumNr;Baumart;BHD_1;BHD_2;Zwiesel;Bemerkung;Ostwert;Nordwert;BA_Gruppe;Kraft_Klas
1;Ei;40;42;0;;490797,457;5429494,19198;Ei;0
2;Bu;13,5;14;0;;490791,717;5429496,58598;Bu;0
3;Bu;13,5;14,5;0;;490793,551;5429494,79198;Bu;0
4;Ei;41;41;0;;490790,449;5429495,72698;Ei;0
5;Bu;19;20,5;0;;490793,609;5429493,47598;Bu;0
6;Bu;19,2;19,9;0;;490792,02;5429494,94298;Bu;0
7;Ei;30;30;0;;490785,595;5429492,38598;Ei;0
8;Bu;8;8;0;;490791,581;5429493,62398;Bu;0
9;Hbu;9,5;8;0;;490784,243;5429490,78998;Hbu;0
10;Hbu;9,4;9,4;0;;490785,021;5429493,61498;Hbu;0
11;Hbu;14,5;14,5;0;;490783,961;5429488,20998;Hbu;0
12;Hbu;10,8;11;0;;490786,322;5429493,15598;Hbu;0
13;Hbu;11;8;0;;490778,512;5429484,94598;Hbu;0
14;Ei;31,6;30;0;;490780,834;5429490,61198;Ei;0
15;Ei;34;31,5;0;;490778,194;5429484,43498;Ei;0
16;Hbu;9,5;9,9;0;;490779,295;5429490,14498;Hbu;0
17;Hbu;23,5;23;0;;490777,094;5429480,64198;Hbu;0
18;Hbu;12,1;11,2;0;;490778,676;5429480,12498;Hbu;0
19;Es;36,5;34;1;;490767,442;5429479,32798;Es;3
20;Hbu;17;17,5;0;;490772,918;5429474,65998;Hbu;0
21;Hbu;15,5;16;0;;490765,997;5429477,81198;Hbu;0
22;Ei;44;42,8;0;;490771,568;5429476,29498;Ei;0
23;Es;25;23,5;0;;490766,18;5429474,42698;Es;3
24;SAh;16,9;16,2;0;;490770,089;5429475,34598;Ah;0
25;SAh;11;11;0;;490760,399;5429474,44798;Ah;0
26;SAh;9,4;9,2;0;;490768,406;5429473,26098;Ah;0
27;Ei;29,5;29;0;;490755,03;5429467,68598;Ei;0
28;SAh;16;16;0;;490768,606;5429472,80898;Ah;0
29;Ei;35,5;32;0;;490750,623;5429466,51198;Ei;0
30;Hbu;24;24;0;;490758,363;5429467,95198;Hbu;0
31;Ei;44;42,5;0;;490748,532;5429460,53098;Ei;0
32;Es;17,8;17,2;0;;490762,778;5429462,92298;Es;5
33;Hbu;21;20,5;0;;490748,019;5429459,53198;Hbu;0
34;Es;36;36,3;0;;490759,242;5429462,07198;Es;2
35;Es;39;37;0;;490743,359;5429461,58698;Es;2
36;Es;38,5;36,1;0;;490750,078;5429452,68798;Es;2
37;Es;34;34,5;0;;490743,329;5429452,28398;Es;2
38;Es;36;35,2;1;;490748,633;5429449,56798;Es;2
39;Es;42,5;41;1;;490739,016;5429456,55998;Es;2
40;Hbu;14,5;15,8;0;;490747,963;5429450,96398;Hbu;0
41;Es;29;29;0;anscheinend tot;490734,301;5429452,51298;Es;2
42;Hbu;22,9;23,1;0;;490746,097;5429448,25298;Hbu;0
43;Hbu;10;10;0;;490742,222;5429450,86698;Hbu;0
44;SAh;15;15;0;;490743,462;5429446,59798;Ah;0
45;Hbu;18;16,5;0;;490744,485;5429449,98798;Hbu;0
46;Es;30,8;31,2;0;;490742,85;5429446,56498;Es;2
47;Hbu;9;12;0;;490743,696;5429448,60898;Hbu;0
48;Es;33,9;34,5;1;;490741,092;5429442,46398;Es;2
49;SAh;22;20;0;;490735,243;5429446,29698;Ah;0
50;SAh;25,5;27;0;;490743,229;5429441,19798;Ah;0
51;Es;32;32,5;0;;490732,688;5429443,15098;Es;2
52;Hbu;16,9;14,9;0;;490738,294;5429441,76698;Hbu;0
53;Ei;26;28,5;0;;490726,968;5429451,58298;Ei;0
54;Hbu;20,6;18;0;;490734,187;5429440,11198;Hbu;0
55;Bu;19,5;17;0;;490724,969;5429450,35698;Bu;0
56;Es;28,9;27;1;;490730,909;5429438,52098;Es;3
57;Hbu;13,5;18;0;;490724,873;5429449,77998;Hbu;0
58;Hbu;14,1;15;0;;490729,039;5429436,81598;Hbu;0
59;Es;37;36,5;1;;490724,361;5429447,64098;Es;2
60;Es;32,3;34;0;;490726,552;5429437,14298;Es;2
61;Ei;37;35;0;;490720,123;5429438,72398;Ei;0
62;Ei;29,2;26;0;;490727,284;5429434,42098;Ei;0
63;Hbu;18,5;16;0;;490725,595;5429439,80598;Hbu;0
64;Es;30,1;28,9;0;;490732,4;5429432,85198;Es;3
65;Hbu;15;13;0;;490721,866;5429435,35498;Hbu;0
66;SAh;14,9;11,9;0;;490732,755;5429431,57898;Ah;0
