Time,Seconds,FlachT  ,FlachW1 ,FlachW2 ,FlachW3 ,TiefT   ,TiefW1  ,TiefW2  ,TiefW3  
Logger4Halbschat,TempC,FlachT  ,Wtrmark,FlachW1 ,Wtrmark,FlachW2 ,Wtrmark,FlachW3 ,TempC,TiefT   ,Wtrmark,TiefW1  ,Wtrmark,TiefW2  ,Wtrmark,TiefW3  ,00/00/00,00:00A,01H,4095
2022/09/26 09:43 PM,1664221380,11,13,7,48,12,8,5,41
2022/09/26 10:43 PM,1664224980,11,13,7,48,12,8,5,40
2022/09/26 11:43 PM,1664228580,11,12,6,48,12,8,5,40
2022/09/27 12:43 AM,1664232180,11,12,6,48,12,8,5,40
2022/09/27 01:43 AM,1664235780,11,12,6,48,12,8,5,41
2022/09/27 02:43 AM,1664239380,11,12,6,47,12,7,5,40
2022/09/27 03:43 AM,1664242980,11,12,6,48,12,6,5,39
2022/09/27 04:43 AM,1664246580,11,12,6,48,12,6,5,39
2022/09/27 05:43 AM,1664250180,11,12,6,48,12,6,5,38
2022/09/27 06:43 AM,1664253780,11,12,6,48,12,6,5,38
2022/09/27 07:43 AM,1664257380,11,12,6,48,12,6,5,37
2022/09/27 08:43 AM,1664260980,11,12,6,48,12,6,5,35
2022/09/27 09:43 AM,1664264580,11,12,6,48,12,6,4,31
2022/09/27 10:43 AM,1664268180,11,12,6,48,12,6,4,25
2022/09/27 11:43 AM,1664271780,11,12,6,48,12,6,4,16
2022/09/27 12:43 PM,1664275380,11,12,6,48,12,7,4,9
2022/09/27 01:43 PM,1664278980,11,12,6,48,12,7,4,6
2022/09/27 02:43 PM,1664282580,11,12,6,48,12,6,4,5
2022/09/27 03:43 PM,1664286180,11,12,6,48,12,6,4,5
2022/09/27 04:43 PM,1664289780,11,12,6,48,12,6,4,5
2022/09/27 05:43 PM,1664293380,11,12,6,48,12,6,4,5
2022/09/27 06:43 PM,1664296980,11,12,6,48,12,6,4,5
2022/09/27 07:43 PM,1664300580,11,12,6,48,12,6,4,5
2022/09/27 08:43 PM,1664304180,11,12,6,48,12,6,4,5
2022/09/27 09:43 PM,1664307780,11,12,6,48,12,6,4,5
2022/09/27 10:43 PM,1664311380,11,12,6,48,12,6,4,5
2022/09/27 11:43 PM,1664314980,11,12,6,48,12,6,4,5
2022/09/28 12:43 AM,1664318580,11,12,6,48,12,6,4,5
2022/09/28 01:43 AM,1664322180,11,12,6,48,12,6,4,5
2022/09/28 02:43 AM,1664325780,11,12,6,48,12,6,4,5
2022/09/28 03:43 AM,1664329380,11,12,6,48,12,6,4,5
2022/09/28 04:43 AM,1664332980,11,11,6,48,12,6,4,5
2022/09/28 05:43 AM,1664336580,11,11,6,48,12,6,4,5
2022/09/28 06:43 AM,1664340180,11,11,6,48,12,6,4,5
2022/09/28 07:43 AM,1664343780,11,11,6,48,12,6,4,5
2022/09/28 08:43 AM,1664347380,11,11,6,48,12,6,4,5
2022/09/28 09:43 AM,1664350980,11,11,6,48,12,6,4,5
2022/09/28 10:43 AM,1664354580,11,11,6,48,12,6,4,5
2022/09/28 11:43 AM,1664358180,11,12,6,48,12,6,4,5
2022/09/28 12:43 PM,1664361780,11,11,6,48,12,6,4,5
2022/09/28 01:43 PM,1664365380,11,11,6,48,12,6,4,5
2022/09/28 02:43 PM,1664368980,11,11,6,48,12,6,4,5
2022/09/28 03:43 PM,1664372580,11,11,6,48,12,6,4,5
2022/09/28 04:43 PM,1664376180,11,11,6,48,12,6,4,5
2022/09/28 05:43 PM,1664379780,11,11,6,48,12,6,4,5
2022/09/28 06:43 PM,1664383380,11,11,6,48,12,6,4,5
2022/09/28 07:43 PM,1664386980,11,11,6,48,12,6,4,5
2022/09/28 08:43 PM,1664390580,11,11,6,48,12,6,4,5
2022/09/28 09:43 PM,1664394180,11,11,6,48,12,6,4,5
2022/09/28 10:43 PM,1664397780,11,11,6,48,12,6,4,5
2022/09/28 11:43 PM,1664401380,11,11,6,48,12,6,4,5
