Time,Seconds,FlachT  ,FlachW1 ,FlachW2 ,FlachW3 ,TiefT   ,TiefW1  ,TiefW2  ,TiefW3  
Logger5Freiflae ,TempC,FlachT  ,Wtrmark,FlachW1 ,Wtrmark,FlachW2 ,Wtrmark,FlachW3 ,TempC,TiefT   ,Wtrmark,TiefW1  ,Wtrmark,TiefW2  ,Wtrmark,TiefW3  ,00/00/00,00:00A,01H,4095
2022/12/28 01:20 AM,1672186800,4,21,48,48,5,4,6,12
2022/12/28 02:20 AM,1672190400,4,21,49,48,5,4,6,12
2022/12/28 03:20 AM,1672194000,4,21,49,48,5,4,6,12
2022/12/28 04:20 AM,1672197600,3,21,47,48,5,4,6,12
2022/12/28 05:20 AM,1672201200,3,21,47,48,5,4,6,12
2022/12/28 06:20 AM,1672204800,3,21,47,48,5,4,6,12
2022/12/28 07:20 AM,1672208400,3,21,47,48,5,4,6,12
2022/12/28 08:20 AM,1672212000,3,21,46,48,5,4,6,12
2022/12/28 09:20 AM,1672215600,3,21,46,48,5,4,6,12
2022/12/28 10:20 AM,1672219200,3,21,45,48,5,4,6,12
2022/12/28 11:20 AM,1672222800,3,21,45,48,5,4,6,12
2022/12/28 12:20 PM,1672226400,3,21,45,48,5,4,6,12
2022/12/28 01:20 PM,1672230000,3,21,44,48,5,4,6,12
2022/12/28 02:20 PM,1672233600,3,20,44,48,5,4,6,12
2022/12/28 03:20 PM,1672237200,3,20,44,48,5,4,6,12
2022/12/28 04:20 PM,1672240800,4,21,44,48,5,4,6,12
2022/12/28 05:20 PM,1672244400,4,21,44,48,5,4,6,12
2022/12/28 06:20 PM,1672248000,4,21,44,48,5,4,6,12
2022/12/28 07:20 PM,1672251600,4,21,44,48,5,4,6,12
2022/12/28 08:20 PM,1672255200,4,21,44,48,5,4,6,12
2022/12/28 09:20 PM,1672258800,4,20,43,48,5,4,6,12
2022/12/28 10:20 PM,1672262400,4,20,43,48,5,4,6,12
2022/12/28 11:20 PM,1672266000,4,20,43,48,5,4,6,12
2022/12/29 12:20 AM,1672269600,4,20,43,48,5,4,6,12
2022/12/29 01:20 AM,1672273200,4,20,43,48,5,4,6,12
2022/12/29 02:20 AM,1672276800,5,21,43,48,5,4,6,12
2022/12/29 03:20 AM,1672280400,5,21,43,48,5,4,6,12
2022/12/29 04:20 AM,1672284000,4,20,42,48,5,4,6,12
2022/12/29 05:20 AM,1672287600,5,21,43,48,5,4,6,12
2022/12/29 06:20 AM,1672291200,4,20,41,48,5,4,6,12
2022/12/29 07:20 AM,1672294800,4,20,41,48,5,4,6,12
2022/12/29 08:20 AM,1672298400,4,20,41,48,5,4,6,12
2022/12/29 09:20 AM,1672302000,4,20,41,48,5,4,6,12
2022/12/29 10:20 AM,1672305600,4,20,41,48,5,4,6,12
2022/12/29 11:20 AM,1672309200,4,20,40,48,5,4,6,12
2022/12/29 12:20 PM,1672312800,4,20,40,48,5,4,6,12
2022/12/29 01:20 PM,1672316400,4,20,40,48,5,4,6,12
2022/12/29 02:20 PM,1672320000,5,20,41,48,5,4,6,12
2022/12/29 03:20 PM,1672323600,5,20,40,48,5,4,6,12
2022/12/29 04:20 PM,1672327200,5,20,40,48,5,4,6,12
2022/12/29 05:20 PM,1672330800,5,20,40,48,5,4,6,12
2022/12/29 06:20 PM,1672334400,5,20,40,48,5,4,6,12
2022/12/29 07:20 PM,1672338000,5,20,41,48,5,4,6,12
2022/12/29 08:20 PM,1672341600,5,20,41,48,5,4,6,12
2022/12/29 09:20 PM,1672345200,5,20,40,48,5,4,6,12
2022/12/29 10:20 PM,1672348800,5,20,40,48,5,4,6,12
2022/12/29 11:20 PM,1672352400,5,20,39,48,5,4,6,12
2022/12/30 12:20 AM,1672356000,5,20,39,48,5,4,6,12
2022/12/30 01:20 AM,1672359600,5,20,40,48,5,4,6,12
2022/12/30 02:20 AM,1672363200,5,20,40,48,5,4,6,12
2022/12/30 03:20 AM,1672366800,5,20,40,48,5,4,6,12
2022/12/30 04:20 AM,1672370400,5,20,40,48,5,4,6,12
2022/12/30 05:20 AM,1672374000,5,19,40,48,5,4,6,12
2022/12/30 06:20 AM,1672377600,5,19,39,48,5,4,6,12
2022/12/30 07:20 AM,1672381200,5,19,39,48,5,4,6,12
2022/12/30 08:20 AM,1672384800,5,19,39,48,5,4,6,12
2022/12/30 09:20 AM,1672388400,5,19,39,48,5,4,6,12
2022/12/30 10:20 AM,1672392000,4,19,38,48,5,4,6,12
2022/12/30 11:20 AM,1672395600,4,19,38,48,5,4,6,12
2022/12/30 12:20 PM,1672399200,5,19,39,48,5,4,6,12
2022/12/30 01:20 PM,1672402800,5,19,38,48,5,4,6,12
2022/12/30 02:20 PM,1672406400,5,19,38,48,5,4,6,12
2022/12/30 03:20 PM,1672410000,5,19,38,48,5,4,6,12
2022/12/30 04:20 PM,1672413600,5,19,38,48,5,4,6,12
2022/12/30 05:20 PM,1672417200,5,19,38,48,5,4,6,12
2022/12/30 06:20 PM,1672420800,5,19,38,48,5,4,6,12
2022/12/30 07:20 PM,1672424400,5,19,34,48,5,4,6,12
2022/12/30 08:20 PM,1672428000,5,19,33,48,5,4,6,12
2022/12/30 09:20 PM,1672431600,5,19,33,48,5,4,6,12
2022/12/30 10:20 PM,1672435200,5,19,33,48,5,4,6,12
2022/12/30 11:20 PM,1672438800,5,19,33,48,5,4,6,12
2022/12/31 12:20 AM,1672442400,5,19,32,48,5,4,6,12
2022/12/31 01:20 AM,1672446000,5,19,33,48,5,4,6,12
2022/12/31 02:20 AM,1672449600,5,19,33,48,5,4,6,12
2022/12/31 03:20 AM,1672453200,5,19,32,48,5,4,6,12
2022/12/31 04:20 AM,1672456800,5,19,32,48,5,4,6,12
2022/12/31 05:20 AM,1672460400,5,19,32,48,5,4,6,12
2022/12/31 06:20 AM,1672464000,5,19,32,48,5,4,6,12
2022/12/31 07:20 AM,1672467600,5,19,32,48,5,4,6,12
2022/12/31 08:20 AM,1672471200,5,19,33,48,5,4,6,12
2022/12/31 09:20 AM,1672474800,5,19,33,48,5,4,6,12
2022/12/31 10:20 AM,1672478400,5,19,33,48,5,4,6,12
2022/12/31 11:20 AM,1672482000,6,19,33,48,5,4,6,12
2022/12/31 12:20 PM,1672485600,5,19,33,48,5,4,6,12
2022/12/31 01:20 PM,1672489200,5,19,33,48,5,4,6,12
2022/12/31 02:20 PM,1672492800,5,19,33,48,5,4,6,12
2022/12/31 03:20 PM,1672496400,5,19,33,48,5,4,6,12
2022/12/31 04:20 PM,1672500000,6,19,33,48,5,4,6,12
2022/12/31 05:20 PM,1672503600,6,19,33,48,5,4,6,12
2022/12/31 06:20 PM,1672507200,6,19,33,48,5,4,6,12
2022/12/31 07:20 PM,1672510800,6,19,34,48,5,4,6,12
2022/12/31 08:20 PM,1672514400,6,19,34,48,5,4,6,12
2022/12/31 09:20 PM,1672518000,6,19,34,48,5,4,6,12
2022/12/31 10:20 PM,1672521600,6,19,34,48,5,4,6,12
2022/12/31 11:20 PM,1672525200,6,18,34,48,5,4,6,12
2023/01/01 12:20 AM,1672528800,6,18,34,48,5,4,6,12
2023/01/01 01:20 AM,1672532400,6,18,34,48,5,4,6,12
2023/01/01 02:20 AM,1672536000,6,18,34,48,5,4,6,12
2023/01/01 03:20 AM,1672539600,6,18,34,48,5,4,6,12
2023/01/01 04:20 AM,1672543200,6,18,34,48,5,4,6,12
2023/01/01 05:20 AM,1672546800,6,18,34,48,5,4,6,12
2023/01/01 06:20 AM,1672550400,6,18,35,48,5,4,6,12
2023/01/01 07:20 AM,1672554000,6,18,35,48,6,4,6,12
2023/01/01 08:20 AM,1672557600,6,18,35,48,6,4,6,12
2023/01/01 09:20 AM,1672561200,6,18,36,48,6,4,6,12
2023/01/01 10:20 AM,1672564800,6,18,35,48,6,4,6,12
2023/01/01 11:20 AM,1672568400,6,18,35,48,6,4,6,12
2023/01/01 12:20 PM,1672572000,6,18,35,48,6,4,6,12
2023/01/01 01:20 PM,1672575600,6,18,35,48,6,4,6,12
2023/01/01 02:20 PM,1672579200,6,18,35,48,6,4,6,12
2023/01/01 03:20 PM,1672582800,6,18,35,48,6,4,6,12
2023/01/01 04:20 PM,1672586400,6,18,35,48,5,4,6,12
2023/01/01 05:20 PM,1672590000,6,17,34,48,5,4,6,12
2023/01/01 06:20 PM,1672593600,6,17,35,48,5,4,6,12
2023/01/01 07:20 PM,1672597200,6,17,35,48,5,4,6,12
2023/01/01 08:20 PM,1672600800,6,17,35,48,5,4,6,12
2023/01/01 09:20 PM,1672604400,6,17,35,48,5,4,6,12
2023/01/01 10:20 PM,1672608000,6,17,35,48,5,4,6,12
2023/01/01 11:20 PM,1672611600,6,17,35,48,5,4,6,12
2023/01/02 12:20 AM,1672615200,6,17,36,48,5,4,6,12
2023/01/02 01:20 AM,1672618800,6,17,36,48,5,4,6,12
2023/01/02 02:20 AM,1672622400,6,17,35,48,5,4,6,12
