Time,Seconds,FlachT  ,FlachW1 ,FlachW2 ,FlachW3 ,TiefT   ,TiefW1  ,TiefW2  ,TiefW3  
Logger6Freiflae ,TempC,FlachT  ,Wtrmark,FlachW1 ,Wtrmark,FlachW2 ,Wtrmark,FlachW3 ,TempC,TiefT   ,Wtrmark,TiefW1  ,Wtrmark,TiefW2  ,Wtrmark,TiefW3  ,00/00/00,00:00A,01H,4095
2022/12/28 12:01 AM,1672182060,4,10,7,7,5,68,3,70
2022/12/28 01:01 AM,1672185660,5,10,7,7,5,67,3,70
2022/12/28 02:01 AM,1672189260,5,10,7,7,5,66,3,70
2022/12/28 03:01 AM,1672192860,5,10,7,7,5,66,3,70
2022/12/28 04:01 AM,1672196460,4,10,7,7,5,65,3,70
2022/12/28 05:01 AM,1672200060,4,10,7,7,5,64,3,70
2022/12/28 06:01 AM,1672203660,4,10,7,7,5,63,3,70
2022/12/28 07:01 AM,1672207260,4,10,7,7,5,63,3,70
2022/12/28 08:01 AM,1672210860,4,10,7,7,5,62,3,70
2022/12/28 09:01 AM,1672214460,4,10,7,7,5,61,2,70
2022/12/28 10:01 AM,1672218060,4,10,7,7,5,61,2,70
2022/12/28 11:01 AM,1672221660,4,10,7,7,5,61,2,69
2022/12/28 12:01 PM,1672225260,4,10,7,7,5,60,2,69
2022/12/28 01:01 PM,1672228860,4,10,7,7,5,61,3,71
2022/12/28 02:01 PM,1672232460,4,10,7,7,5,60,3,71
2022/12/28 03:01 PM,1672236060,4,10,7,7,5,60,3,70
2022/12/28 04:01 PM,1672239660,4,10,7,7,5,59,3,70
2022/12/28 05:01 PM,1672243260,4,10,7,7,5,59,3,70
2022/12/28 06:01 PM,1672246860,4,10,7,7,5,58,3,70
2022/12/28 07:01 PM,1672250460,4,10,7,7,5,58,3,70
2022/12/28 08:01 PM,1672254060,4,10,7,7,5,57,3,70
2022/12/28 09:01 PM,1672257660,4,10,7,7,5,56,3,70
2022/12/28 10:01 PM,1672261260,4,10,7,7,5,56,3,69
2022/12/28 11:01 PM,1672264860,5,10,7,7,5,54,3,68
2022/12/29 12:01 AM,1672268460,4,10,7,7,5,55,3,70
2022/12/29 01:01 AM,1672272060,5,10,7,8,5,54,3,68
2022/12/29 02:01 AM,1672275660,5,10,7,8,5,54,3,69
2022/12/29 03:01 AM,1672279260,5,10,7,8,5,53,3,68
2022/12/29 04:01 AM,1672282860,5,10,7,8,5,53,3,68
2022/12/29 05:01 AM,1672286460,5,10,7,8,5,53,3,68
2022/12/29 06:01 AM,1672290060,5,10,7,8,5,53,3,69
2022/12/29 07:01 AM,1672293660,4,10,7,7,5,53,3,69
2022/12/29 08:01 AM,1672297260,4,10,7,7,5,52,3,69
2022/12/29 09:01 AM,1672300860,4,10,7,7,5,52,3,68
2022/12/29 10:01 AM,1672304460,4,10,7,7,5,51,3,67
2022/12/29 11:01 AM,1672308060,4,10,7,7,5,51,3,68
2022/12/29 12:01 PM,1672311660,4,10,7,7,5,51,3,68
2022/12/29 01:01 PM,1672315260,4,10,7,7,5,51,3,68
2022/12/29 02:01 PM,1672318860,4,10,7,7,5,51,3,68
2022/12/29 03:01 PM,1672322460,4,10,7,7,5,49,3,66
2022/12/29 04:01 PM,1672326060,5,10,7,7,5,49,3,66
2022/12/29 05:01 PM,1672329660,5,10,7,7,5,48,3,66
2022/12/29 06:01 PM,1672333260,5,10,7,7,5,48,3,66
2022/12/29 07:01 PM,1672336860,5,10,7,7,5,48,3,66
2022/12/29 08:01 PM,1672340460,5,10,7,8,5,47,3,65
2022/12/29 09:01 PM,1672344060,5,10,7,8,5,47,3,65
2022/12/29 10:01 PM,1672347660,5,10,7,8,5,47,3,65
2022/12/29 11:01 PM,1672351260,5,10,7,8,5,47,3,65
2022/12/30 12:01 AM,1672354860,5,10,7,7,5,46,3,65
2022/12/30 01:01 AM,1672358460,5,10,7,7,5,46,2,65
2022/12/30 02:01 AM,1672362060,5,10,7,7,5,46,2,64
2022/12/30 03:01 AM,1672365660,5,10,7,7,5,45,3,64
2022/12/30 04:01 AM,1672369260,5,10,7,7,5,45,3,64
2022/12/30 05:01 AM,1672372860,5,10,7,7,5,45,3,64
2022/12/30 06:01 AM,1672376460,5,10,7,7,5,45,3,64
2022/12/30 07:01 AM,1672380060,5,10,7,7,5,45,3,64
2022/12/30 08:01 AM,1672383660,5,10,7,7,5,44,2,64
2022/12/30 09:01 AM,1672387260,5,10,7,7,5,44,2,63
2022/12/30 10:01 AM,1672390860,5,10,7,7,5,44,3,63
2022/12/30 11:01 AM,1672394460,5,10,7,7,5,44,2,63
2022/12/30 12:01 PM,1672398060,4,10,7,7,5,44,2,63
2022/12/30 01:01 PM,1672401660,5,10,7,7,5,43,3,63
2022/12/30 02:01 PM,1672405260,5,10,7,7,5,43,2,62
2022/12/30 03:01 PM,1672408860,5,10,7,7,5,44,3,63
2022/12/30 04:01 PM,1672412460,5,10,7,7,5,43,2,62
2022/12/30 05:01 PM,1672416060,5,10,7,7,5,43,2,62
2022/12/30 06:01 PM,1672419660,5,10,7,7,5,42,3,62
2022/12/30 07:01 PM,1672423260,5,10,7,7,5,42,3,63
2022/12/30 08:01 PM,1672426860,5,10,7,7,5,42,3,63
2022/12/30 09:01 PM,1672430460,5,10,7,7,5,42,3,62
