#,Date-Time (CET),Ch: 1 - Temperature   (°C),Ch: 2 - RH   (%),Dew Point   (°C),Host Connected,End of File
1,06/27/2021 17:51:10,24.16,53.14,14.04,,
2,06/27/2021 18:01:10,24.16,53.05,14.01,,
3,06/27/2021 18:11:10,24.15,53.13,14.03,,
4,06/27/2021 18:21:10,24.13,53.29,14.05,,
5,06/27/2021 18:31:10,24.13,53.40,14.09,,
6,06/27/2021 18:41:10,24.64,52.83,14.40,,
7,06/27/2021 18:51:10,24.82,51.80,14.25,,
8,06/27/2021 19:01:10,24.78,51.72,14.20,,
9,06/27/2021 19:11:10,24.61,52.07,14.14,,
10,06/27/2021 19:21:10,24.34,52.80,14.11,,
11,06/27/2021 19:31:10,24.11,53.40,14.07,,
12,06/27/2021 19:41:10,24.06,53.27,13.99,,
13,06/27/2021 19:51:10,24.01,53.06,13.88,,
14,06/27/2021 20:01:10,23.98,53.13,13.87,,
15,06/27/2021 20:11:10,23.96,53.39,13.92,,
16,06/27/2021 20:21:10,23.94,53.56,13.95,,
17,06/27/2021 20:31:10,23.91,53.62,13.95,,
18,06/27/2021 20:41:10,23.90,53.60,13.93,,
19,06/27/2021 20:51:10,23.88,53.66,13.93,,
20,06/27/2021 21:01:10,23.85,53.51,13.86,,
21,06/27/2021 21:11:10,23.82,53.38,13.79,,
22,06/27/2021 21:21:10,23.76,53.44,13.76,,
23,06/27/2021 21:31:10,23.76,53.45,13.76,,
24,06/27/2021 21:41:10,23.76,53.49,13.77,,
25,06/27/2021 21:51:10,23.72,53.56,13.75,,
26,06/27/2021 22:01:10,23.72,53.66,13.78,,
27,06/27/2021 22:11:10,23.70,53.68,13.77,,
28,06/27/2021 22:21:10,23.72,53.75,13.81,,
29,06/27/2021 22:31:10,23.70,53.74,13.79,,
30,06/27/2021 22:41:10,23.72,53.82,13.83,,
31,06/27/2021 22:51:10,23.70,53.74,13.79,,
32,06/27/2021 23:01:10,23.73,53.96,13.88,,
33,06/27/2021 23:11:10,23.74,53.90,13.87,,
34,06/27/2021 23:21:10,23.74,53.92,13.88,,
35,06/27/2021 23:31:10,23.77,53.74,13.85,,
36,06/27/2021 23:41:10,23.73,53.72,13.81,,
37,06/27/2021 23:51:10,23.72,54.06,13.90,,
38,06/28/2021 00:01:10,23.76,55.50,14.34,,
39,06/28/2021 00:11:10,23.76,55.14,14.24,,
40,06/28/2021 00:21:10,23.76,55.31,14.29,,
41,06/28/2021 00:31:10,23.75,55.55,14.35,,
42,06/28/2021 00:41:10,23.74,55.69,14.38,,
43,06/28/2021 00:51:10,23.74,55.47,14.32,,
44,06/28/2021 01:01:10,23.71,55.60,14.32,,
45,06/28/2021 01:11:10,23.69,55.61,14.31,,
46,06/28/2021 01:21:10,23.69,55.68,14.32,,
47,06/28/2021 01:31:10,23.69,55.64,14.31,,
48,06/28/2021 01:41:10,23.69,55.48,14.27,,
49,06/28/2021 01:51:10,23.70,55.36,14.24,,
50,06/28/2021 02:01:10,23.72,55.33,14.26,,
51,06/28/2021 02:11:10,23.68,55.51,14.27,,
52,06/28/2021 02:21:10,23.69,55.61,14.31,,
53,06/28/2021 02:31:10,23.67,55.47,14.25,,
54,06/28/2021 02:41:10,23.68,55.46,14.25,,
55,06/28/2021 02:51:10,23.66,55.54,14.25,,
56,06/28/2021 03:01:10,23.66,55.62,14.28,,
57,06/28/2021 03:11:10,23.64,55.59,14.25,,
58,06/28/2021 03:21:10,23.62,55.46,14.20,,
59,06/28/2021 03:31:10,23.61,55.57,14.22,,
60,06/28/2021 03:41:10,23.59,55.84,14.28,,
61,06/28/2021 03:51:10,23.57,55.94,14.29,,
62,06/28/2021 04:01:10,23.56,55.79,14.23,,
63,06/28/2021 04:11:10,23.57,55.79,14.24,,
64,06/28/2021 04:21:10,23.56,55.60,14.18,,
65,06/28/2021 04:31:10,23.52,55.65,14.16,,
66,06/28/2021 04:41:10,23.51,55.62,14.14,,
67,06/28/2021 04:51:10,23.53,55.64,14.16,,
68,06/28/2021 05:01:10,23.49,55.78,14.16,,
69,06/28/2021 05:11:10,23.47,56.05,14.23,,
70,06/28/2021 05:21:10,23.45,56.12,14.23,,
71,06/28/2021 05:31:10,23.40,55.81,14.09,,
72,06/28/2021 05:41:10,23.37,55.63,14.01,,
