#,Date-Time (CET),Ch: 1 - Temperature   (°C),Ch: 2 - RH   (%),Dew Point   (°C),Host Connected,End of File
1,06/27/2021 18:14:35,24.86,52.61,14.53,,
2,06/27/2021 18:24:35,24.63,52.28,14.23,,
3,06/27/2021 18:34:35,24.35,52.85,14.13,,
4,06/27/2021 18:44:35,24.27,53.17,14.15,,
5,06/27/2021 18:54:35,24.15,53.41,14.11,,
6,06/27/2021 19:04:35,24.04,53.76,14.11,,
7,06/27/2021 19:14:35,24.09,54.02,14.22,,
8,06/27/2021 19:24:35,24.35,53.05,14.19,,
9,06/27/2021 19:34:35,24.25,52.98,14.07,,
10,06/27/2021 19:44:35,24.10,52.94,13.92,,
11,06/27/2021 19:54:35,24.00,53.27,13.93,,
12,06/27/2021 20:04:35,23.86,53.85,13.97,,
13,06/27/2021 20:14:35,23.79,54.37,14.05,,
14,06/27/2021 20:24:35,23.73,54.56,14.05,,
15,06/27/2021 20:34:35,23.69,54.58,14.02,,
16,06/27/2021 20:44:35,23.64,54.58,13.97,,
17,06/27/2021 20:54:35,23.62,54.55,13.95,,
18,06/27/2021 21:04:35,23.61,54.39,13.89,,
19,06/27/2021 21:14:35,23.58,54.28,13.83,,
20,06/27/2021 21:24:35,23.58,54.26,13.83,,
21,06/27/2021 21:34:35,23.59,54.23,13.83,,
22,06/27/2021 21:44:35,23.57,54.26,13.82,,
23,06/27/2021 21:54:35,23.53,54.45,13.83,,
24,06/27/2021 22:04:35,23.53,54.50,13.84,,
25,06/27/2021 22:14:35,23.45,54.73,13.84,,
26,06/27/2021 22:24:35,23.43,54.81,13.84,,
27,06/27/2021 22:34:35,23.42,54.75,13.82,,
28,06/27/2021 22:44:35,23.40,54.84,13.82,,
29,06/27/2021 22:54:35,23.38,54.86,13.81,,
30,06/27/2021 23:04:35,23.38,54.97,13.84,,
31,06/27/2021 23:14:35,23.38,54.92,13.82,,
32,06/27/2021 23:24:35,23.42,54.89,13.85,,
33,06/27/2021 23:34:35,23.44,54.80,13.85,,
34,06/27/2021 23:44:35,23.44,55.04,13.92,,
35,06/27/2021 23:54:35,23.46,55.07,13.94,,
36,06/28/2021 00:04:35,23.58,56.45,14.44,,
37,06/28/2021 00:14:35,23.65,56.33,14.46,,
38,06/28/2021 00:24:35,23.67,56.18,14.44,,
39,06/28/2021 00:34:35,23.62,56.32,14.44,,
40,06/28/2021 00:44:35,23.65,56.12,14.41,,
41,06/28/2021 00:54:35,23.61,56.14,14.38,,
42,06/28/2021 01:04:35,23.61,56.00,14.34,,
43,06/28/2021 01:14:35,23.66,56.11,14.41,,
44,06/28/2021 01:24:35,23.68,56.00,14.40,,
45,06/28/2021 01:34:35,23.67,55.91,14.37,,
46,06/28/2021 01:44:35,23.68,55.67,14.31,,
47,06/28/2021 01:54:35,23.69,55.02,14.14,,
48,06/28/2021 02:04:35,23.70,55.56,14.30,,
49,06/28/2021 02:14:35,23.70,55.24,14.21,,
50,06/28/2021 02:24:35,23.68,54.85,14.08,,
51,06/28/2021 02:34:35,23.65,55.62,14.27,,
52,06/28/2021 02:44:35,23.65,55.62,14.27,,
53,06/28/2021 02:54:35,23.62,55.69,14.27,,
54,06/28/2021 03:04:35,23.65,55.79,14.32,,
55,06/28/2021 03:14:35,23.62,55.28,14.15,,
56,06/28/2021 03:24:35,23.57,55.66,14.21,,
57,06/28/2021 03:34:35,23.55,55.89,14.25,,
58,06/28/2021 03:44:35,23.53,56.49,14.40,,
59,06/28/2021 03:54:35,23.52,56.14,14.29,,
60,06/28/2021 04:04:35,23.54,56.06,14.29,,
61,06/28/2021 04:14:35,23.53,55.88,14.23,,
62,06/28/2021 04:24:35,23.51,55.97,14.23,,
63,06/28/2021 04:34:35,23.46,55.92,14.18,,
64,06/28/2021 04:44:35,23.47,55.78,14.15,,
65,06/28/2021 04:54:35,23.45,55.95,14.18,,
66,06/28/2021 05:04:35,23.45,55.98,14.19,,
67,06/28/2021 05:14:35,23.44,56.49,14.32,,
68,06/28/2021 05:24:35,23.37,56.43,14.23,,
69,06/28/2021 05:34:35,23.35,56.02,14.10,,
70,06/28/2021 05:44:35,23.23,56.28,14.06,,
71,06/28/2021 05:54:35,23.17,56.70,14.12,,
72,06/28/2021 06:04:35,23.11,57.27,14.22,,
73,06/28/2021 06:14:35,23.11,57.33,14.23,,
74,06/28/2021 06:24:35,23.16,56.22,13.98,,
75,06/28/2021 06:34:35,23.16,57.53,14.34,,
76,06/28/2021 06:44:35,23.28,56.99,14.30,,
77,06/28/2021 06:54:35,23.31,56.88,14.30,,
78,06/28/2021 07:04:35,23.37,56.74,14.32,,
79,06/28/2021 07:14:35,23.39,56.86,14.37,,
80,06/28/2021 07:24:35,23.46,56.35,14.30,,
81,06/28/2021 07:34:35,23.46,56.97,14.47,,
82,06/28/2021 07:44:35,23.45,55.50,14.05,,
83,06/28/2021 07:54:35,23.43,56.59,14.34,,
84,06/28/2021 08:04:35,23.34,57.35,14.45,,
85,06/28/2021 08:14:35,23.24,57.69,14.45,,
86,06/28/2021 08:24:35,23.13,57.51,14.30,,
87,06/28/2021 08:34:35,23.14,56.91,14.15,,
88,06/28/2021 08:44:35,23.12,57.32,14.24,,
89,06/28/2021 08:54:35,22.91,58.26,14.29,,
90,06/28/2021 09:04:35,22.81,59.43,14.51,,
91,06/28/2021 09:14:35,22.76,61.66,15.03,,
92,06/28/2021 09:24:35,22.87,64.85,15.93,,
93,06/28/2021 09:34:35,23.09,68.79,17.06,,
94,06/28/2021 09:44:35,23.88,51.79,13.39,,
95,06/28/2021 09:54:35,24.28,52.57,13.98,,
96,06/28/2021 10:04:35,24.83,53.39,14.73,,
97,06/28/2021 10:14:35,25.54,50.38,14.49,,
98,06/28/2021 10:24:35,26.05,39.14,11.09,,
99,06/28/2021 10:34:35,26.64,59.23,18.05,,
100,06/28/2021 10:44:35,27.02,53.09,16.67,,
101,06/28/2021 10:54:35,27.51,52.93,17.07,,
102,06/28/2021 11:04:35,27.78,51.92,17.02,,
103,06/28/2021 11:14:35,27.90,40.04,13.09,,
104,06/28/2021 11:24:35,27.79,32.29,9.73,,
105,06/28/2021 11:34:35,27.53,31.86,9.31,,
106,06/28/2021 11:44:35,27.06,34.38,10.03,,
107,06/28/2021 11:54:35,26.70,32.24,8.77,,
108,06/28/2021 12:04:35,26.36,36.75,10.42,,
109,06/28/2021 12:14:35,26.10,33.65,8.88,,
110,06/28/2021 12:24:35,26.11,43.64,12.80,,
111,06/28/2021 12:34:35,26.18,36.16,10.01,,
112,06/28/2021 12:44:35,26.28,35.33,9.76,,
113,06/28/2021 12:54:35,26.38,39.20,11.41,,
114,06/28/2021 13:04:35,26.49,53.50,16.30,,
