Plotnummer,Quadrant,Rueckegasse,Esche markiert,Baumart,Hoehe,Hoehe Vorjahr,Hoehe Vorvorjahr,Anzahl Triebe,ETS abgestorben frisch,ETS abgestorben alt,ETS lebend,Verbiss lebend,Verbiss tot,Sonstige Gruende tot,Bemerkungen,Rand,Zaun
74,no,,,bah,155,148,139,,,,,,,,,FALSE,FALSE
,,,,bah,242,223,163,,,,,,,,,FALSE,FALSE
,,,,bah,188,171,153,,,,,,,,,FALSE,FALSE
,,,,bah,147,135,122,,,,,,,,,FALSE,FALSE
,,,,bah,105,100,92,,,,,,,,,FALSE,FALSE
,,,,bah,180,155,127,,,,,,,,,FALSE,FALSE
,,,,bah,238,208,152,,,,,,,,,FALSE,FALSE
,,,,bah,161,151,134,,,,,,,,,FALSE,FALSE
,,,,bah,75,69,55,,,,,,,,,FALSE,FALSE
,,,,bah,150,133,120,,,,,,,,,FALSE,FALSE
,,,,bah,147,140,125,,,,,,,,,FALSE,FALSE
,,,no,esch,97,59,42,3,,,,,,2,"kriechend, 23 cm lang",FALSE,FALSE
,,,,bah,254,223,179,,,,,,,,,FALSE,FALSE
,,,,bah,124,115,101,,,,,,,,,FALSE,FALSE
,,,,sah,163,136,89,,,,,,,,,FALSE,FALSE
,,,,bah,134,127,114,,,,,,,,,FALSE,FALSE
,,,,bah,168,147,103,,,,,,,,,FALSE,FALSE
,,,,bah,79,70,64,,,,,,,,,FALSE,FALSE
,so,,,bah,148,143,122,,,,,,,,,FALSE,FALSE
,,,,hbu,306,297,286,,,,,,,,,FALSE,FALSE
,,,,bah,189,178,156,,,,,,,,,FALSE,FALSE
,,,,bah,142,127,103,,,,,,,,,FALSE,FALSE
,,,,esch,243,192,121,1,,,,,,,,FALSE,FALSE
,,,,bah,205,193,131,,,,,,,,,FALSE,FALSE
,,,,sah,154,125,88,,,,,,,,,FALSE,FALSE
,,,,sah,147,123,106,,,,,,,,,FALSE,FALSE
,,,,bah,120,114,96,,,,,,,,,FALSE,FALSE
,,,,bah,181,175,140,,,,,,,,,FALSE,FALSE
,,,,esch,146,120,81,4,,,,,,2,,FALSE,FALSE
,,,,rbu,444,423,410,,,,,,,,,FALSE,FALSE
,,,,esch,101,93,65,1,,,,,,,,FALSE,FALSE
,,,,rbu,1237,1045,795,,,,,,,,,FALSE,FALSE
,,,so,esch,265,210,147,1,,,,,,,,FALSE,FALSE
,,,,bah,154,147,140,,,,,,,,,FALSE,FALSE
,,,,bah,334,312,191,,,,,,,,,FALSE,FALSE
,,,,bah,223,198,137,,,,,,,,,FALSE,FALSE
,,,,bah,141,134,113,,,,,,,,,FALSE,FALSE
,,,,bah,160,154,139,,,,,,,,,FALSE,FALSE
,,,,bah,92,86,79,,,,,,,,,FALSE,FALSE
,,,,bah,5,110,101,,,,,,,,,FALSE,FALSE
,,,,bah,445,395,290,,,,,,,,,FALSE,FALSE
,,,,bah,93,87,80,,,,,,,,,FALSE,FALSE
,,,,bah,119,114,89,,,,,,,,,FALSE,FALSE
,,,,bah,152,140,124,,,,,,,,,FALSE,FALSE
,,,,bah,166,152,117,,,,,,,,,FALSE,FALSE
,sw,,,hba,140,136,134,,,,,,,,Bogenlampe,FALSE,FALSE
,,,,bah,186,171,151,,,,,,,,,FALSE,FALSE
,,,,sah,161,134,115,,,,,,,,,FALSE,FALSE
,,,,bah,96,,,,,,,,,,,FALSE,FALSE
,,,,sah,268,215,136,,,,,,,,,FALSE,FALSE
,,,,bah,132,123,110,,,,,,,,,FALSE,FALSE
,,,,bah,673,585,372,,,,,,,,,FALSE,FALSE
,,,,bah,212,189,152,,,,,,,,,FALSE,FALSE
,,,,bah,117,108,102,,,,,,,,,FALSE,FALSE
,,,,bah,127,119,107,,,,,,,,,FALSE,FALSE
,,,,bah,145,140,134,,,,,,,,,FALSE,FALSE
,,,,esch,267,198,139,1,,,,,,,,FALSE,FALSE
,,,,bah,148,142,134,,,,,,,,,FALSE,FALSE
,,,,bah,98,88,66,,,,,,,,,FALSE,FALSE
,,,,rbu,665,520,495,,,,,,,,,FALSE,FALSE
,,,,bah,159,149,119,,,,,,,,,FALSE,FALSE
,,,,bah,76,40,38,,,,,,,,kriechend,FALSE,FALSE
,,,,bah,97,89,66,,,,,,,,,FALSE,FALSE
,,,,esch,118,97,73,1,,,,,,,,FALSE,FALSE
,,,,hbu,88,84,74,,,,,,,,,FALSE,FALSE
,,,,bah,87,84,75,,,,,,,,,FALSE,FALSE
,,,,hbu,147,138,122,,,,,,,,,FALSE,FALSE
,,,,bah,121,112,103,,,,,,,,,FALSE,FALSE
,,,,rbu,1070,926,777,,,,,,,,,FALSE,FALSE
,,,,bah,253,232,188,,,,,,,,,FALSE,FALSE
,,,,sah,317,250,135,,,,,,,,,FALSE,FALSE
,,,sw,esch,60,,,1,,,,,,,,FALSE,FALSE
,nw,,,bah,65,52,37,,,,,,,,,FALSE,FALSE
,,,,bah,133,108,93,,,,,,,,,FALSE,FALSE
,,,,sah,221,185,145,,,,,,,,,FALSE,FALSE
,,,nw,esch,55,45,45,1,,,,,,,KRÜPPELIG,FALSE,FALSE
