OBJECTID,NR_FM,BNR,ART,wb_H_M,wb_Kraft,wb_KZSTND_,wb_WR_kron,wb_Notiz,xcoord,ycoord,DBH_mm,BHD_CM,Height_m,Status,Schicht,BA_Gruppe
1,106,106,Fraxinus excelsior,37.1,1,1.5,1,Resistograf,430172.14,5893511.18,0,47.5,"37,1",,0,Es
2,113,113,Fraxinus excelsior,33.9,1,2.5,2,,430182.46,5893511.76,0,43.5,"33,9",,0,Es
3,119,119,Fraxinus excelsior,34.75,3,4,2,,430170.65,5893504.69,0,39.5,"34,75",,0,Es
4,120,120,Fraxinus excelsior,26.57,3,4,2,,430161.68,5893506.86,0,26,"26,57",,0,Es
5,122,122,Fraxinus excelsior,31.7,2,3,2,,430152.07,5893514.64,0,37.5,"31,7",,0,Es
6,124,124,Fraxinus excelsior,34.7,2,3.5,2,,430132.29,5893515.43,0,43,"34,7",,0,Es
7,125,125,Fraxinus excelsior,36.7,1,3,1,,430127.41,5893516.01,0,42.5,"36,7",,0,Es
8,126,126,Fraxinus excelsior,36.7,2,3,2,,430111.31,5893504,0,43,"36,7",,0,Es
9,128,128,Fraxinus excelsior,34.2,3,3,2,127 ist tot,430130.03,5893498.62,0,34,"34,2",,0,Es
10,129,129,Fraxinus excelsior,35.1,1,2,1,,430130.43,5893496.18,0,45,"35,1",,0,Es
11,130,130,Fraxinus excelsior,26.7,3,3,2,,430136.31,5893506.76,0,33.5,"26,7",,0,Es
12,131,131,Fraxinus excelsior,35.7,1,2,2,,430140.41,5893505.2,0,47.5,"35,7",,0,Es
13,132,132,Fraxinus excelsior,33.9,2,3,2,Frostriss,430140.51,5893500.23,0,40.5,"33,9",,0,Es
14,134,134,Fraxinus excelsior,31.5,3,4,2,,430148.26,5893498.01,0,31.5,"31,5",,0,Es
15,135,135,Fraxinus excelsior,31.7,3,3,2,Resistograf,430153.2,5893503.1,0,31.5,"31,7",,0,Es
16,136,136,Fraxinus excelsior,32.9,3,3.5,2,,430156.01,5893498.83,0,30.5,"32,9",,0,Es
17,137,137,Fraxinus excelsior,30.6,3,4,2,,430161.21,5893502.63,0,31,"30,6",,0,Es
18,138,138,Fraxinus excelsior,32.4,3,2.5,2,,430166.88,5893499.03,0,34.5,"32,4",,0,Es
19,139,139,Fraxinus excelsior,31.33,3,4,2,140 ist tot,430168.8,5893500.68,0,32,"31,33",,0,Es
20,142,142,Fraxinus excelsior,31.3,1,4,2,,430172.23,5893490.97,0,40,"31,3",,0,Es
21,143,143,Fraxinus excelsior,30.84,2,3,2,,430179.31,5893496.86,0,39,"30,84",,0,Es
22,150,150,Fraxinus excelsior,28.95,2,3,2,,430198.68,5893473.61,0,40,"28,95",,0,Es
23,151,151,Fraxinus excelsior,31.06,2,2.5,2,,430196.18,5893476.1,0,34,"31,06",,0,Es
24,152,152,Fraxinus excelsior,21.74,3,4,2,keine Nr. am Stamm,430190.78,5893472.91,0,22,"21,74",,0,Es
25,153,153,Fraxinus excelsior,33.72,1,1.5,1,R+,430185.04,5893485.94,0,41,"33,72",,0,Es
26,154,154,Fraxinus excelsior,33.7,1,2,1,,430183.9,5893477.76,0,38,"33,7",,0,Es
27,155,155,Fraxinus excelsior,31.06,2,3,2,,430174.27,5893481.99,0,40,"31,06",,0,Es
28,156,156,Fraxinus excelsior,27.67,3,3,2,,430171.73,5893485,0,30,"27,67",,0,Es
29,157,157,Fraxinus excelsior,33.13,2,4,2,R-,430169.39,5893481.68,0,36.5,"33,13",,0,Es
30,159,159,Fraxinus excelsior,31.6,2,3,2,,430151.04,5893488.94,0,37,"31,6",,0,Es
31,160,160,Fraxinus excelsior,28.6,2,3,2,,430146.23,5893488.58,0,35,"28,6",,0,Es
32,161,161,Fraxinus excelsior,34.2,1,1.5,1,,430137.93,5893485.66,0,48.5,"34,2",,0,Es
33,162,162,Fraxinus excelsior,35.5,2,2,0,,430135.55,5893486.93,0,39.5,"35,5",,0,Es
34,163,163,Fraxinus excelsior,34.9,2,3,2,,430128.26,5893488.98,0,39,"34,9",,0,Es
35,164,164,Fraxinus excelsior,30.9,3,2,1,,430128.45,5893494.08,0,30.5,"30,9",,0,Es
36,165,165,Fraxinus excelsior,38.2,1,3,2,,430110.41,5893495.94,0,60.5,"38,2",,0,Es
37,166,166,Fraxinus excelsior,37.6,2,3,2,,430114.01,5893492.19,0,51.5,"37,6",,0,Es
38,167,167,Fraxinus excelsior,33.3,2,3,1,,430111.98,5893490.56,0,36,"33,3",,0,Es
39,168,168,Fraxinus excelsior,30.1,3,4,0,,430113.06,5893489.26,0,29.5,"30,1",,0,Es
40,169,169,Fraxinus excelsior,34.9,1,1,0,,430120.1,5893492.03,0,45.5,"34,9",,0,Es
41,170,170,Fraxinus excelsior,30.8,2,3,2,,430124.42,5893488.26,0,36.5,"30,8",,0,Es
42,172,172,Fraxinus excelsior,33.44,2,2.5,2,,430161.55,5893476.03,0,39,"33,44",,0,Es
43,173,173,Fraxinus excelsior,35.21,2,3,2,,430158.13,5893474.98,0,41,"35,21",,0,Es
