Plotnummer,Quadrant,Rueckegasse,Esche markiert,Baumart,Hoehe,Hoehe Vorjahr,Hoehe Vorvorjahr,Anzahl Triebe,ETS abgestorben frisch,ETS abgestorben alt,ETS lebend,Verbiss lebend,Verbiss tot,Sonstige Gruende tot,Bemerkungen,Rand,Zaun
3,NW,,,Ligustrum vulgare,157,153,123,,,,,,,,"Plot mit darüber liegendem Gebüsch, dass von einem starken Totast nieder gedrückt wird",FALSE,FALSE
,,,,Ligustrum vulgare,1437,692,650,,,,,,,,,FALSE,FALSE
,,,,BAh,131,123,115,,,,,,,,,FALSE,FALSE
,,,,Ligustrum vulgare,356,266,226,,,,,,,,,FALSE,FALSE
,SW,,,Ligustrum vulgare,1168,807,715,,,,,,,,,FALSE,FALSE
,,,,BAh,97,88,75,,,,,,,,,FALSE,FALSE
,,,,Ligustrum vulgare,460,388,360,,,,,,,,,FALSE,FALSE
,,,,Waldrebe,1410,,,,,,,,,,,FALSE,FALSE
,NO,,,Ligustrum vulgare,516,100,1,,,,,,,,entspringt liegendem Ligusterast,FALSE,FALSE
,,,,Ligustrum vulgare,518,70,1,,,,,,,,entspringt liegendem Ligusterast,FALSE,FALSE
,SO,,,Ligustrum vulgare,226,126,96,,,,,,,,,FALSE,FALSE
,,,,Ligustrum vulgare,456,44,1,,,,,,,,Aus dickerem Trieb,FALSE,FALSE
,,,,Ligustrum vulgare,582,486,437,,,,,,,,Aus dickerem Trieb,FALSE,FALSE
,,,,Ligustrum vulgare,500,28,1,,,,,,,,entspringt liegendem Ligusterast,FALSE,FALSE
,,,,Ligustrum vulgare,124,78,46,,,,,,,,entspringt liegendem Ligusterast,FALSE,FALSE
,,,,Ligustrum vulgare,499,460,362,,,,,,,,,FALSE,FALSE
,,,,Ligustrum vulgare,126,70,59,,,,,,,,,FALSE,FALSE
,,,,Ligustrum vulgare,787,780,769,,,,,,,,30 ° schief,FALSE,FALSE
8,NW,,,BAh,96,87,81,,,,,,,,,FALSE,FALSE
,,,,BAh,60,,,,,,,,,,,FALSE,FALSE
,,,,BAh,95,,,,,,,,,,,FALSE,FALSE
,,,,BAh,54,,,,,,,,,,,FALSE,FALSE
,,,,BAh,45,,,,,,,,,,,FALSE,FALSE
,,,,SAh,76,71,,,,,,,,,,FALSE,FALSE
,SW,,,BAh,48,,,,,,,,,,,FALSE,FALSE
,,,,BAh,95,88,80,,,,,,,,,FALSE,FALSE
,,,,SAh,95,85,,,,,,,,,,FALSE,FALSE
,,,,BAh,102,93,85,,,,,,,,,FALSE,FALSE
,,,,BAh,64,,,,,,,,,,,FALSE,FALSE
,,,,BAh,60,,,,,,,,,,,FALSE,FALSE
,,,,BAh,79,74,,,,,,,,,,FALSE,FALSE
,,,,BAh,27,,,,,,,,,,,FALSE,FALSE
,,,,BAh,57,,,,,,,,,,,FALSE,FALSE
,,,,BAh,70,,,,,,,,,,,FALSE,FALSE
,,,,BAh,65,,,,,,,,,,,FALSE,FALSE
,,,,BAh,64,,,,,,,,,,,FALSE,FALSE
,,,,BAh,62,,,,,,,,,,,FALSE,FALSE
,,,,BAh,44,,,,,,,,,,,FALSE,FALSE
,,,,BAh,67,,,,,,,,,,,FALSE,FALSE
,,,,BAh,60,,,,,,,,,,,FALSE,FALSE
,,,,SAh,49,,,,,,,,,,,FALSE,FALSE
,,,,SAh,65,59,48,,,,,,,,,FALSE,FALSE
,,,,BAh,52,,,,,,,,,,,FALSE,FALSE
,,,,BAh,60,,,,,,,,,,,FALSE,FALSE
,,,,BAh,53,,,,,,,,,,,FALSE,FALSE
,,,,BAh,44,,,,,,,,,,,FALSE,FALSE
,,,,BAh,66,,,,,,,,,,,FALSE,FALSE
,,,,BAh,52,,,,,,,,,,,FALSE,FALSE
,SO,,,BAh,53,,,,,,,,,,,FALSE,FALSE
