BaumNr;Baumart;BHD_1;BHD_2;Zwiesel;Bemerkung;Ostwert;Nordwert;BA_Gruppe;Kraft_Klas
1;BAh;44;44;0;;402146,531001;5342696,23698;Ah;0
2;Es;22;23;1;;402145,101001;5342693,59598;Es;0
3;BAh;28,5;30;0;;402142,902001;5342697,44298;Ah;0
4;HBu;25;24;0;;402143,508001;5342693,09998;Hbu;0
5;HBu;14,5;15,3;0;;402142,516001;5342695,90598;Hbu;0
6;Ah;49;46;0;;402141,802001;5342692,23998;Ah;0
7;BAh;12;13;0;;402136,965001;5342697,97098;Ah;0
8;BAh;27;24;0;urspruenglich als Es deklariert;402139,389001;5342693,02698;Ah;0
9;Es;54,5;57;0;;402135,849001;5342697,19098;Es;2
10;Rha;8;8;0;;402135,772001;5342689,44898;Faulb.;0
11;BAh;26,3;27,2;0;;402134,168001;5342698,62098;Ah;0
12;HBu;23;23;0;;402129,808001;5342690,57998;Hbu;0
14;HBu;22;21;0;;402128,685001;5342691,43798;Hbu;0
13;Es;12,3;15;0;Kronenbruch;402137,259001;5342701,25698;Es;5
15;Es;15;15,5;0;;402134,875001;5342703,55598;Es;5
17;BAh;34,3;33,5;0;urspruenglich als Es deklariert;402132,078001;5342703,17698;Ah;0
19;Es;43;44,8;0;;402128,280001;5342708,96098;Es;2
21;HBu;16,5;23;0;;402126,870001;5342705,81798;Hbu;0
23;Es;51,8;52,5;0;;402126,078001;5342703,74898;Es;2
25;Li;47,8;42,2;0;;402125,126001;5342705,57298;Li;0
27;Es;8;7,5;0;;402123,997001;5342710,35898;Es;5
29;BAh;9;8,8;0;;402121,066001;5342710,65198;Ah;0
16;Es;45;47;1;umgestürzt;402122,418001;5342695,29298;Es_umgest;0
18;Ah;18;18;0;;402122,450001;5342696,97198;Ah;0
20;Es;21;21;0;;402122,702001;5342699,08998;Es;4
22;Rha;14;14;0;;402123,900001;5342698,98198;Faulb.;0
24;Es;25;25;0;;402122,029001;5342701,75398;Es;4
26;Es;26;25;0;;402117,847001;5342699,96398;Es;3
28;Ah;14;15;0;;402119,434001;5342704,27198;Ah;0
30;Ah;21,5;21,5;0;;402113,682001;5342700,45298;Ah;0
31;Rha;13;13,2;0;;402117,943001;5342705,08298;Faulb.;0
33;Rha;8,8;8,5;0;;402117,658001;5342704,79198;Faulb.;0
32;Rha;7;7;0;;402108,593001;5342702,62998;Faulb.;0
34;Salix;7;7;0;;402108,498001;5342702,37898;Weide;0
36;Rha;9;9,5;0;;402107,181001;5342706,74998;Faulb.;0
35;Rha;21;22,5;0;;402111,536001;5342711,58898;Faulb.;0
37;Aln;23;24;0;;402113,533001;5342717,45898;Er;0
38;Rha;6;6;0;<7;402105,607001;5342710,16498;Faulb.;0
39;Aln;23,5;24;0;;402109,357001;5342711,09698;Er;0
41;Rha;24;23;0;;402110,637001;5342708,18898;Faulb.;0
43;Rha;6;6;0;;402107,710001;5342713,49798;Faulb.;0
45;Rha;7;7;0;;402107,255001;5342713,79298;Faulb.;0
47;Aln;21;19;0;;402105,985001;5342718,58698;Er;0
49;Rha;7;7,5;0;;402105,392001;5342715,40398;Faulb.;0
40;Rha;7;6;0;<7;402103,949001;5342711,63998;Faulb.;0
42;Rha;7;6,5;0;<7;402102,935001;5342709,71998;Faulb.;0
44;Rha;7,5;8;0;;402103,542001;5342705,23498;Faulb.;0
46;Aln;38,5;40;0;;402099,011001;5342709,10298;Er;0
48;Aln;45;46,5;0;;402103,993001;5342714,55998;Er;0
50;Rha;10;11;0;;402095,256001;5342706,94898;Faulb.;0
52;Rha;10,5;10,5;0;;402094,268001;5342706,38098;Faulb.;0
54;Es;48,5;48;0;;402093,370001;5342707,89098;Es;2
56;Es;64;63;0;;402088,942001;5342713,17898;Es;2
58;Rha;7;7,5;0;;402089,675001;5342722,05598;Faulb.;0
51;Es;6,5;6;0;< 7;402096,835001;5342728,34398;Es;5
53;Es;65;64,5;0;;402095,942001;5342727,42598;Es;1
55;Es;63;65;0;;402095,028001;5342720,67598;Es;1
57;BAh;24;0;0;einseitig so geschädigt, dass kein 2. BHD zu messen möglich;402096,404001;5342731,56998;Ah;0
59;Es;52;52;0;;402093,162001;5342733,61998;Es;2
61;BAh;7,5;7;0;;402092,654001;5342734,70498;Ah;0
63;Rha;6;5,5;0;<7;402092,796001;5342732,14398;Faulb.;0
62;Es;43,5;42;0;;402091,370001;5342724,03798;Es;2
60;Rha;9;9;0;;402085,178001;5342719,76098;Faulb.;0
64;Li;48;45,5;0;;402087,371001;5342724,26398;Li;0
66;Ah;28;27,5;0;;402091,733001;5342728,55598;Ah;0
67;Es;26;26;0;;402089,451001;5342733,08198;Es;5
68;Rha;13,5;13,5;0;;402086,791001;5342729,34398;Faulb.;0
69;Es;47;53;0;;402085,359001;5342735,39898;Es;2
71;Rha;16;17;0;;402081,993001;5342733,83898;Faulb.;0
73;Es;47,5;48;0;;402078,744001;5342735,34398;Es;2
75;BAh;20,5;21;0;BHD gemessen bei 1,35m wegen überwallenden Ast;402079,785001;5342736,73398;Ah;0
77;Es;22;22;0;;402081,335001;5342738,41098;Es;5
79;Salix;10;9,5;0;;402082,184001;5342739,00598;Weide;0
81;Es;51;52;0;;402084,719001;5342740,16398;Es;2
70;Rha;10;9,5;0;;402084,439001;5342725,07698;Faulb.;0
72;Rha;9,5;9,5;0;;402084,112001;5342723,20098;Faulb.;0
74;Ah;15;15;0;species mit Fragezeichen;402082,002001;5342724,19498;Ah;0
76;Ah;31;29;0;;402079,533001;5342721,37498;Ah;0
78;Es;57;56,5;0;;402078,837001;5342725,28198;Es;2
80;Salix;12,5;12,5;0;;402077,348001;5342725,12098;Weide;0
82;Es;25,5;24;0;;402074,100001;5342721,95098;Es;5
84;Rha;8;8;0;;402071,812001;5342722,09498;Faulb.;0
86;Ah;23;21;0;;402072,596001;5342723,72098;Ah;0
88;Ah;34;34,5;0;;402068,746001;5342723,75898;Ah;0
90;Es;63;63,5;0;;402069,859001;5342726,67798;Es;2
92;Es;23,5;25,5;0;;402074,412001;5342732,79798;Es;5
94;Salix;7;7;0;;402072,934001;5342732,26498;Weide;0
96;Salix;9;9;0;;402072,402001;5342732,54598;Weide;0
98;Salix;7,5;8;0;;402070,822001;5342733,42098;Weide;0
83;BAh;7;7;0;;402079,092001;5342746,15598;Ah;0
85;Es;52;50;0;;402076,950001;5342745,17198;Es;2
87;Es;7;7,5;0;;402075,678001;5342745,94098;Es;5
91;Rha;8;8;0;;402073,529001;5342746,77398;Faulb.;0
95;Es;31;32;0;;402075,561001;5342743,23298;Es;4
65;Salix;7;6,5;0;<7;402089,808001;5342737,03598;Weide;0
100;Es;57;60;0;;402072,258001;5342719,32798;Es;2
101;Rha;20;18;0;;402071,342001;5342718,31498;Faulb.;0
102;Salix;9;8;0;;402072,166001;5342717,94698;Weide;0
103;Rha;15;17;0;;402076,760001;5342716,93598;Faulb.;0
104;Ah;33;35,5;0;;402075,397001;5342712,57098;Ah;0
105;Es;67;66,5;0;;402071,134001;5342711,95298;Es;2
106;Salix;8;8;0;;402071,366001;5342712,88198;Weide;0
107;Salix;8;9;0;;402078,206001;5342710,65498;Weide;0
108;Es;49,5;48,5;0;;402076,588001;5342709,47198;Es;2
109;BAh;24;27,5;0;;402078,617001;5342707,57198;Ah;0
110;Es;44,5;44;0;;402083,032001;5342710,52998;Es;3
111;Li;15;14,5;0;;402081,740001;5342708,33098;Li;0
112;Es;20,5;20;0;;402085,561001;5342707,12698;Es;5
113;Es;19,5;19,5;0;fast abgestorben;402077,846001;5342704,23898;Es;5
114;Salix;15,5;15,5;0;;402079,673001;5342703,17798;Weide;0
115;Es;55;56,5;0;;402070,649001;5342736,30198;Es;2
116;Salix;9;9;0;;402071,973001;5342740,12398;Weide;0
117;Rha;6,5;6,5;0;<7;402074,144001;5342737,79298;Faulb.;0
118;Salix;6,5;6,5;0;<7;402075,163001;5342738,35798;Weide;0
119;Rha;7;7,5;0;;402075,685001;5342735,80998;Faulb.;0
120;Salix;7;6;0;<7;402076,098001;5342738,87898;Weide;0
99;Es;29;28,5;0;;402077,398001;5342738,00598;Es;5
121;Li;22,5;17;0;;402086,317001;5342703,52298;Li;0
122;Es;13;13;0;;402088,847001;5342705,99098;Es;5
123;Es;21,5;22;0;;402089,401001;5342703,00698;Es;5
124;Salix;12;11,5;0;;402088,623001;5342702,04898;Weide;0
125;Es;33;35;0;;402087,915001;5342700,76898;Es;3
126;Es;56;53;0;;402091,370001;5342705,51398;Es;2
127;Rha;12;12,5;0;;402092,223001;5342704,49898;Faulb.;0
128;Salix;12,5;13;0;;402088,860001;5342699,45798;Weide;0
129;Rha;15;15;0;;402095,871001;5342703,62498;Faulb.;0
130;Es;32,5;29,5;0;;402094,044001;5342702,00898;Es;4
131;Rha;7;7;0;;402091,060001;5342700,41698;Faulb.;0
132;Es;48;48,5;0;;402101,770001;5342694,74298;Es;2
133;Es;29,5;30,5;0;;402103,508001;5342695,15098;Es;5
134;Ah;29;28;0;;402104,568001;5342696,19798;Ah;0
135;Rha;14;15;0;;402103,086001;5342692,44598;Faulb.;0
136;Salix;9;8,5;0;;402110,828001;5342695,97398;Weide;0
137;Es;45;48;0;;402104,901001;5342691,88698;Es;2
138;Es;23,5;23;0;;402115,967001;5342691,36198;Es;4
139;Es;26,5;26;0;;402117,157001;5342689,98998;Es;4
140;Es;52;57;0;;402112,511001;5342690,48698;Es;2
141;Rha;19,5;19;0;;402112,292001;5342688,83498;Faulb.;0
