Jahr,nBäume,nEschen,%Esche
1984,44144,493,1.11680
1985,46304,562,1.21372
1986,46152,563,1.21988
1987,17296,305,1.76341
1988,20256,302,1.49092
1989,16080,262,1.62935
1990,28504,477,1.67345
1991,50560,651,1.28758
1992,22320,315,1.41129
1993,22328,317,1.41974
1994,50498,652,1.29114
1995,23933,327,1.36631
1996,23092,333,1.44206
1997,50779,692,1.36277
1998,33278,546,1.64072
1999,33251,537,1.61499
2000,34934,539,1.54291
2001,32886,532,1.61771
2002,33011,540,1.63582
2003,33091,555,1.67719
2004,33091,551,1.66511
2005,25015,460,1.83890
2006,25299,465,1.83802
2007,24940,462,1.85245
2008,25056,474,1.89176
2009,23805,427,1.79374
2010,23828,433,1.81719
2011,24856,475,1.91101
2012,23208,460,1.98208
2013,21168,416,1.96523
2014,21120,406,1.92235
2015,18648,403,2.16109
2016,18408,393,2.13494
2017,18456,387,2.09688
2018,18192,372,2.04485
2019,18144,358,1.97310
2020,18288,328,1.79353
2021,18288,319,1.74431
2022,17832,280,1.57021
2023,17880,282,1.57718
