"","bfhnr","jahr","nBaum"
"1",10006,2015,1
"2",10006,2016,1
"3",10006,2017,1
"4",10006,2018,1
"5",10006,2019,1
"6",10006,2020,1
"7",10010,2005,1
"8",10010,2006,1
"9",10010,2007,1
"10",10010,2008,1
"11",10010,2009,1
"12",10010,2010,1
"13",10010,2011,1
"14",10010,2012,1
"15",10010,2013,1
"16",10010,2014,1
"17",10010,2015,1
"18",10010,2016,1
"19",10010,2017,1
"20",10010,2018,1
"21",10010,2019,1
"22",10010,2020,1
"23",10018,1984,2
"24",10018,1985,2
"25",10018,1986,2
"26",10018,1987,2
"27",10018,1988,2
"28",10018,1989,2
"29",10018,1990,2
"30",10018,1991,2
"31",10018,1992,3
"32",10018,1993,3
"33",10018,1994,3
"34",10018,1995,3
"35",10018,1996,3
"36",10018,1997,3
"37",10018,1998,3
"38",10018,1999,3
"39",10018,2000,3
"40",10018,2001,4
"41",10018,2002,5
"42",10018,2003,5
"43",10018,2004,5
"44",10018,2005,5
"45",10018,2006,5
"46",10018,2007,5
"47",10018,2008,5
"48",10018,2009,5
"49",10018,2010,5
"50",10018,2011,5
"51",10018,2012,5
"52",10018,2013,5
"53",10018,2014,4
"54",10018,2015,3
"55",10018,2016,3
"56",10018,2017,3
"57",10018,2018,3
"58",10018,2019,2
"59",10018,2020,1
"60",10026,1984,3
"61",10026,1985,3
"62",10026,1986,3
"63",10026,1987,3
"64",10026,1988,3
"65",10026,1989,3
"66",10026,1990,3
"67",10026,1991,3
"68",10026,1992,3
"69",10026,1993,3
"70",10026,1994,3
"71",10026,1995,3
"72",10026,1996,3
"73",10026,1997,3
"74",10026,1998,3
"75",10026,1999,3
"76",10026,2000,3
"77",10026,2001,3
"78",10026,2002,3
"79",10026,2003,3
"80",10026,2004,3
"81",10026,2005,3
"82",10026,2006,3
"83",10026,2007,3
"84",10026,2008,3
"85",10026,2009,3
"86",10026,2010,3
"87",10026,2011,3
"88",10026,2012,1
"89",10026,2013,1
"90",10026,2014,1
"91",10026,2015,1
"92",10026,2016,1
"93",10028,1984,10
"94",10028,1985,11
"95",10028,1986,11
"96",10028,1987,12
"97",10028,1988,12
"98",10028,1989,12
"99",10028,1990,12
"100",10028,1991,12
"101",10028,1992,12
"102",10028,1993,12
"103",10028,1994,12
"104",10028,1995,11
"105",10028,1996,11
"106",10028,1997,11
"107",10028,1998,11
"108",10028,1999,11
"109",10028,2000,11
"110",10028,2001,11
"111",10028,2002,11
"112",10028,2003,11
"113",10028,2004,11
"114",10028,2005,11
"115",10028,2006,11
"116",10028,2007,11
"117",10028,2008,11
"118",10028,2009,11
"119",10028,2010,11
"120",10028,2011,11
"121",10028,2012,11
"122",10028,2013,11
"123",10028,2014,11
"124",10028,2015,10
"125",10028,2016,10
"126",10028,2017,10
"127",10028,2018,8
"128",10028,2019,8
"129",10028,2020,8
"130",10030,1984,4
"131",10030,1985,5
"132",10030,1986,5
"133",10030,1987,5
"134",10030,1988,5
"135",10030,1989,5
"136",10030,1990,5
"137",10030,1991,6
"138",10030,1992,7
"139",10030,1993,7
"140",10030,1994,7
"141",10030,1995,7
"142",10030,1996,6
"143",10030,1997,6
"144",10030,1998,6
"145",10030,1999,6
"146",10030,2000,6
"147",10030,2001,6
"148",10030,2002,5
"149",10030,2003,5
"150",10030,2004,5
"151",10030,2005,5
"152",10030,2006,5
"153",10030,2007,5
"154",10030,2008,6
"155",10030,2009,6
"156",10030,2010,6
"157",10030,2011,6
"158",10030,2012,6
"159",10030,2013,6
"160",10030,2014,6
"161",10030,2015,5
"162",10030,2016,5
"163",10030,2017,5
"164",10030,2018,5
