"","2013","2014","2015","2016","2017","2018","2019","2020","mean","ID"
"143",1,1,1,2,NA,NA,NA,NA,1.25,"A0421300102311"
"159",1,1,1,1,1,2,2,1,1.25,"A0521300188311"
"175",1,1,1,1,NA,NA,NA,NA,1,"A0521300674311"
"195",1,1,1,2,NA,NA,NA,NA,1.25,"A062130061311"
"198",1,1,1,2,NA,NA,NA,NA,1.25,"A0621300112311"
"280",1,NA,NA,NA,NA,NA,NA,NA,1,"A202130046311"
"284",1,NA,NA,NA,NA,NA,NA,NA,1,"A202130080311"
"286",1,NA,NA,NA,NA,NA,NA,NA,1,"A202130097311"
"291",1,1,1,1,1,1,2,2,1.25,"A2021300143311"
"297",1,NA,NA,NA,NA,NA,NA,NA,1,"A2021300216311"
"298",1,NA,NA,NA,NA,NA,NA,NA,1,"A2021300218311"
"348",1,1,1,1,1,1,2,2,1.25,"A5521300122311"
"355",1,1,1,1,1,1,2,2,1.25,"A5521300240311"
"389",1,1,1,2,NA,NA,NA,NA,1.25,"A6021301305311"
"477",2,1,1,1,NA,NA,NA,NA,1.25,"B052130013311"
"639",1,1,1,1,1,1,2,2,1.25,"B102130012311"
"922",1,1,1,2,2,1,1,1,1.25,"K1730200913311"
"969",1,NA,NA,NA,NA,NA,NA,NA,1,"K1930200914311"
"981",1,1,1,NA,NA,NA,NA,NA,1,"K203020090311"
