"","aufid","id","baumid","edvid","auf.x","nr","nralt","art","anzahl","repfl","alt","r","zf","ou","schicht","sonder","vdfv","kraft","dkrz1","dkrz2","ddauer","dmess","mh","d","a","e","h","hkschicht","hmod","hmodm","k","status","hbr","g0","g5","g10","g15","g20","g25","g30","g35","hmaxkb","hastfrei","sfg","sfe","bi","bemerk.baum","datum","Stempel","baumid.stammv","edvid.stammv","nr.stammv","art.stammv","auf.stammv","x","y","z","bemerk","datum.stammv","Stempel.stammv","auf.y","saison","monat","jahr","flha","flha_alt","qualitat","typ","umfang","dop","bstand","messh","repfac","dfmonat","dfjahr","bemerk.auf","pz","schluss","schichtung","schaft","krone","astig","bluemast","schaeden","vegetation"
"1","309313011","30931301119211",3045729,30931301,1,"   19 ",NA,211,1,1,73,NA,NA,"U",-1,NA,4,50,99,0,0,99,13,99,"",NA,0,-1,14.26,14.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"",2021-03-22,2021-03-22 06:49:21,3045729,30931301,"   19",211,1,26.42,47.67,-0.1,NA,2021-03-22,2021-03-22 06:49:21,1,NA,11,2020,0.097,NA,1,"H","V","nein",2,NA,NA,NA,NA,NA,0,"<div>geschlossen mit Lücken</div>","<div>Zweischichtig</div>","<div>Bu tlw. gerade, tlw. (bo) oder (sä), kurzschaftig; WLi &nbsp;überw. sä oder bo, kurzschaftig; Es überw. gerade, langschaftig</div>","<div>Bu Bkl. 1 und 2 großkronig, Bkl. 3 schmalkronig, Bkl. 4 mit geringen Kronen; WLi schmalkronig; Es mit starken Feinreisig-verlusten durch ETS</div>","<div>Bu in der Krone starkastig, WLi und Es normalastig</div>","<div>--</div>","<div>einzelne niederge-bogene oder angeschobene Stangen, ETS</div>","<div>überw. Laubstreu; Dornfarn, Waldmeister, Taubnessel, Waldbürstenmoos, wellenblättriges Katharinenmoos, vereinzelt Bu-NV; Humusform: F-Mull</div>"
"2","309313011","30931301121211",3045731,30931301,1,"   21 ",NA,211,1,1,73,NA,NA,"O",-1,NA,2,20,330,0,0,330,13,330,"",NA,275,-1,26.29,26.29,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"",2021-03-22,2021-03-22 06:49:21,3045731,30931301,"   21",211,1,26.05,49.14,-0.04,NA,2021-03-22,2021-03-22 06:49:21,1,NA,11,2020,0.097,NA,1,"H","V","nein",2,NA,NA,NA,NA,NA,0,"<div>geschlossen mit Lücken</div>","<div>Zweischichtig</div>","<div>Bu tlw. gerade, tlw. (bo) oder (sä), kurzschaftig; WLi &nbsp;überw. sä oder bo, kurzschaftig; Es überw. gerade, langschaftig</div>","<div>Bu Bkl. 1 und 2 großkronig, Bkl. 3 schmalkronig, Bkl. 4 mit geringen Kronen; WLi schmalkronig; Es mit starken Feinreisig-verlusten durch ETS</div>","<div>Bu in der Krone starkastig, WLi und Es normalastig</div>","<div>--</div>","<div>einzelne niederge-bogene oder angeschobene Stangen, ETS</div>","<div>überw. Laubstreu; Dornfarn, Waldmeister, Taubnessel, Waldbürstenmoos, wellenblättriges Katharinenmoos, vereinzelt Bu-NV; Humusform: F-Mull</div>"
"3","309313011","30931301110211",3045720,30931301,1,"   10 ",NA,211,1,1,73,NA,NA,"O",-1,NA,2,20,314,0,0,314,13,314,"",NA,265,-1,25.85,25.85,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"",2021-03-22,2021-03-22 06:49:21,3045720,30931301,"   10",211,1,29.53,57.06,0.13,NA,2021-03-22,2021-03-22 06:49:21,1,NA,11,2020,0.097,NA,1,"H","V","nein",2,NA,NA,NA,NA,NA,0,"<div>geschlossen mit Lücken</div>","<div>Zweischichtig</div>","<div>Bu tlw. gerade, tlw. (bo) oder (sä), kurzschaftig; WLi &nbsp;überw. sä oder bo, kurzschaftig; Es überw. gerade, langschaftig</div>","<div>Bu Bkl. 1 und 2 großkronig, Bkl. 3 schmalkronig, Bkl. 4 mit geringen Kronen; WLi schmalkronig; Es mit starken Feinreisig-verlusten durch ETS</div>","<div>Bu in der Krone starkastig, WLi und Es normalastig</div>","<div>--</div>","<div>einzelne niederge-bogene oder angeschobene Stangen, ETS</div>","<div>überw. Laubstreu; Dornfarn, Waldmeister, Taubnessel, Waldbürstenmoos, wellenblättriges Katharinenmoos, vereinzelt Bu-NV; Humusform: F-Mull</div>"
"4","309313011","30931301111211",3045721,30931301,1,"   11 ",NA,211,1,1,73,NA,NA,"U",-1,NA,4,50,118,0,0,118,13,118,"",NA,0,-1,15.88,15.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"",2021-03-22,2021-03-22 06:49:21,3045721,30931301,"   11",211,1,27.04,59.61,0.13,NA,2021-03-22,2021-03-22 06:49:21,1,NA,11,2020,0.097,NA,1,"H","V","nein",2,NA,NA,NA,NA,NA,0,"<div>geschlossen mit Lücken</div>","<div>Zweischichtig</div>","<div>Bu tlw. gerade, tlw. (bo) oder (sä), kurzschaftig; WLi &nbsp;überw. sä oder bo, kurzschaftig; Es überw. gerade, langschaftig</div>","<div>Bu Bkl. 1 und 2 großkronig, Bkl. 3 schmalkronig, Bkl. 4 mit geringen Kronen; WLi schmalkronig; Es mit starken Feinreisig-verlusten durch ETS</div>","<div>Bu in der Krone starkastig, WLi und Es normalastig</div>","<div>--</div>","<div>einzelne niederge-bogene oder angeschobene Stangen, ETS</div>","<div>überw. Laubstreu; Dornfarn, Waldmeister, Taubnessel, Waldbürstenmoos, wellenblättriges Katharinenmoos, vereinzelt Bu-NV; Humusform: F-Mull</div>"
"5","309313011","30931301134211",3045744,30931301,1,"   34 ",NA,211,1,1,73,NA,NA,"O",-1,NA,2,30,235,0,0,235,13,235,"D",NA,247,-1,23.03,23.03,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"",2021-03-22,2021-03-22 06:49:21,3045744,30931301,"   34",211,1,13.86,69.47,0.16,NA,2021-03-22,2021-03-22 06:49:21,1,NA,11,2020,0.097,NA,1,"H","V","nein",2,NA,NA,NA,NA,NA,0,"<div>geschlossen mit Lücken</div>","<div>Zweischichtig</div>","<div>Bu tlw. gerade, tlw. (bo) oder (sä), kurzschaftig; WLi &nbsp;überw. sä oder bo, kurzschaftig; Es überw. gerade, langschaftig</div>","<div>Bu Bkl. 1 und 2 großkronig, Bkl. 3 schmalkronig, Bkl. 4 mit geringen Kronen; WLi schmalkronig; Es mit starken Feinreisig-verlusten durch ETS</div>","<div>Bu in der Krone starkastig, WLi und Es normalastig</div>","<div>--</div>","<div>einzelne niederge-bogene oder angeschobene Stangen, ETS</div>","<div>überw. Laubstreu; Dornfarn, Waldmeister, Taubnessel, Waldbürstenmoos, wellenblättriges Katharinenmoos, vereinzelt Bu-NV; Humusform: F-Mull</div>"
"6","309313011","30931301120211",3045730,30931301,1,"   20 ",NA,211,1,1,73,NA,NA,"U",-1,NA,4,50,94,0,0,94,13,94,"",NA,0,-1,13.81,13.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"zopftr.!",2021-03-22,2021-03-22 06:49:21,3045730,30931301,"   20",211,1,24.1,47.35,-0.13,NA,2021-03-22,2021-03-22 06:49:21,1,NA,11,2020,0.097,NA,1,"H","V","nein",2,NA,NA,NA,NA,NA,0,"<div>geschlossen mit Lücken</div>","<div>Zweischichtig</div>","<div>Bu tlw. gerade, tlw. (bo) oder (sä), kurzschaftig; WLi &nbsp;überw. sä oder bo, kurzschaftig; Es überw. gerade, langschaftig</div>","<div>Bu Bkl. 1 und 2 großkronig, Bkl. 3 schmalkronig, Bkl. 4 mit geringen Kronen; WLi schmalkronig; Es mit starken Feinreisig-verlusten durch ETS</div>","<div>Bu in der Krone starkastig, WLi und Es normalastig</div>","<div>--</div>","<div>einzelne niederge-bogene oder angeschobene Stangen, ETS</div>","<div>überw. Laubstreu; Dornfarn, Waldmeister, Taubnessel, Waldbürstenmoos, wellenblättriges Katharinenmoos, vereinzelt Bu-NV; Humusform: F-Mull</div>"
"7","309313011","30931301132211",3045742,30931301,1,"   32 ",NA,211,1,1,73,NA,NA,"U",-1,NA,4,50,109,0,0,109,13,109,"",NA,0,-1,15.13,15.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"",2021-03-22,2021-03-22 06:49:21,3045742,30931301,"   32",211,1,19.84,64.3,0.08,NA,2021-03-22,2021-03-22 06:49:21,1,NA,11,2020,0.097,NA,1,"H","V","nein",2,NA,NA,NA,NA,NA,0,"<div>geschlossen mit Lücken</div>","<div>Zweischichtig</div>","<div>Bu tlw. gerade, tlw. (bo) oder (sä), kurzschaftig; WLi &nbsp;überw. sä oder bo, kurzschaftig; Es überw. gerade, langschaftig</div>","<div>Bu Bkl. 1 und 2 großkronig, Bkl. 3 schmalkronig, Bkl. 4 mit geringen Kronen; WLi schmalkronig; Es mit starken Feinreisig-verlusten durch ETS</div>","<div>Bu in der Krone starkastig, WLi und Es normalastig</div>","<div>--</div>","<div>einzelne niederge-bogene oder angeschobene Stangen, ETS</div>","<div>überw. Laubstreu; Dornfarn, Waldmeister, Taubnessel, Waldbürstenmoos, wellenblättriges Katharinenmoos, vereinzelt Bu-NV; Humusform: F-Mull</div>"
"8","309313011","30931301133211",3045743,30931301,1,"   33 ",NA,211,1,1,73,NA,NA,"U",-1,NA,4,50,122,0,0,122,13,122,"",NA,0,-1,16.21,16.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"",2021-03-22,2021-03-22 06:49:21,3045743,30931301,"   33",211,1,18.47,65.43,0.13,NA,2021-03-22,2021-03-22 06:49:21,1,NA,11,2020,0.097,NA,1,"H","V","nein",2,NA,NA,NA,NA,NA,0,"<div>geschlossen mit Lücken</div>","<div>Zweischichtig</div>","<div>Bu tlw. gerade, tlw. (bo) oder (sä), kurzschaftig; WLi &nbsp;überw. sä oder bo, kurzschaftig; Es überw. gerade, langschaftig</div>","<div>Bu Bkl. 1 und 2 großkronig, Bkl. 3 schmalkronig, Bkl. 4 mit geringen Kronen; WLi schmalkronig; Es mit starken Feinreisig-verlusten durch ETS</div>","<div>Bu in der Krone starkastig, WLi und Es normalastig</div>","<div>--</div>","<div>einzelne niederge-bogene oder angeschobene Stangen, ETS</div>","<div>überw. Laubstreu; Dornfarn, Waldmeister, Taubnessel, Waldbürstenmoos, wellenblättriges Katharinenmoos, vereinzelt Bu-NV; Humusform: F-Mull</div>"
"9","309313011","30931301114211",3045724,30931301,1,"   14 ",NA,211,1,1,73,NA,NA,"O",-1,NA,2,20,341,0,0,341,13,341,"D",NA,260,-1,26.58,26.58,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"",2021-03-22,2021-03-22 06:49:21,3045724,30931301,"   14",211,1,39.8,54,0.11,NA,2021-03-22,2021-03-22 06:49:21,1,NA,11,2020,0.097,NA,1,"H","V","nein",2,NA,NA,NA,NA,NA,0,"<div>geschlossen mit Lücken</div>","<div>Zweischichtig</div>","<div>Bu tlw. gerade, tlw. (bo) oder (sä), kurzschaftig; WLi &nbsp;überw. sä oder bo, kurzschaftig; Es überw. gerade, langschaftig</div>","<div>Bu Bkl. 1 und 2 großkronig, Bkl. 3 schmalkronig, Bkl. 4 mit geringen Kronen; WLi schmalkronig; Es mit starken Feinreisig-verlusten durch ETS</div>","<div>Bu in der Krone starkastig, WLi und Es normalastig</div>","<div>--</div>","<div>einzelne niederge-bogene oder angeschobene Stangen, ETS</div>","<div>überw. Laubstreu; Dornfarn, Waldmeister, Taubnessel, Waldbürstenmoos, wellenblättriges Katharinenmoos, vereinzelt Bu-NV; Humusform: F-Mull</div>"
"10","309313011","3093130111211",3045711,30931301,1,"    1 ",NA,211,1,1,73,NA,NA,"U",-1,NA,4,50,160,0,0,160,13,160,"D",NA,183,-1,18.97,18.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"",2021-03-22,2021-03-22 06:49:21,3045711,30931301,"    1",211,1,34.83,71.91,0.38,NA,2021-03-22,2021-03-22 06:49:21,1,NA,11,2020,0.097,NA,1,"H","V","nein",2,NA,NA,NA,NA,NA,0,"<div>geschlossen mit Lücken</div>","<div>Zweischichtig</div>","<div>Bu tlw. gerade, tlw. (bo) oder (sä), kurzschaftig; WLi &nbsp;überw. sä oder bo, kurzschaftig; Es überw. gerade, langschaftig</div>","<div>Bu Bkl. 1 und 2 großkronig, Bkl. 3 schmalkronig, Bkl. 4 mit geringen Kronen; WLi schmalkronig; Es mit starken Feinreisig-verlusten durch ETS</div>","<div>Bu in der Krone starkastig, WLi und Es normalastig</div>","<div>--</div>","<div>einzelne niederge-bogene oder angeschobene Stangen, ETS</div>","<div>überw. Laubstreu; Dornfarn, Waldmeister, Taubnessel, Waldbürstenmoos, wellenblättriges Katharinenmoos, vereinzelt Bu-NV; Humusform: F-Mull</div>"
