"","location","Plotnummer","n_trees","ash_ratio","n_ash"
"1","Lau_Steinhorst",8,3,0,0
"2","Lau_Steinhorst",11,1,0,0
"3","Lau_Steinhorst",13,1,0,0
"4","Lau_Steinhorst",17,1,0,0
"5","Lau_Steinhorst",32,9,0,0
"6","Lau_Steinhorst",107,5,0,0
"7","Lau_Steinhorst",108,4,0,0
"8","Lau_Steinhorst",115,4,0,0
"9","Lau_Steinhorst",116,18,0,0
"10","Lau_Steinhorst",124,15,0,0
"11","Lau_Steinhorst",130,6,0,0
"12","Lau_Steinhorst",135,5,0,0
"13","Lau_Steinhorst",136,12,0,0
"14","Lau_Steinhorst",144,1,0,0
"15","Lau_Steinhorst",157,1,0,0
"16","Lau_Steinhorst",158,1,0,0
"17","Lau_Steinhorst",159,2,0,0
"18","Lau_Steinhorst",163,24,0,0
"19","Lau_Steinhorst",170,7,0,0
"20","Lau_Steinhorst",175,3,0,0
"21","Lau_Steinhorst",196,8,0,0
"22","Lau_Steinhorst",204,8,0,0
"23","Lau_Steinhorst",213,11,0,0
"24","Lau_Steinhorst",253,3,0,0
"25","Lau_Steinhorst",273,14,0,0
"26","Lau_Steinhorst",288,6,0,0
"27","Lau_Steinhorst",289,11,0,0
"28","Goe_Ansitz",8795,1,0,0
"29","Goe_Polter",9014,4,0,0
"30","Lau_Steinhorst",161,30,0.0333333333333333,1
"31","Lau_Steinhorst",10,25,0.04,1
"32","Lau_Steinhorst",182,23,0.0434782608695652,1
"33","Lau_Steinhorst",125,37,0.0540540540540541,2
"34","Lau_Steinhorst",172,32,0.0625,2
"35","Lau_Steinhorst",106,29,0.0689655172413793,2
"36","Lau_Steinhorst",243,157,0.0700636942675159,11
"37","Lau_Steinhorst",114,13,0.0769230769230769,1
"38","Lau_Steinhorst",132,13,0.0769230769230769,1
"39","Lau_Steinhorst",293,13,0.0769230769230769,1
"40","Lau_Steinhorst",126,36,0.0833333333333333,3
"41","Lau_Steinhorst",150,32,0.09375,3
"42","Lau_Steinhorst",81,21,0.0952380952380952,2
"43","Lau_Steinhorst",112,21,0.0952380952380952,2
"44","Lau_Steinhorst",102,30,0.1,3
"45","Lau_Steinhorst",151,29,0.103448275862069,3
"46","Lau_Steinhorst",117,9,0.111111111111111,1
"47","Lau_Steinhorst",246,156,0.115384615384615,18
"48","Lau_Steinhorst",134,17,0.117647058823529,2
"49","Lau_Steinhorst",85,33,0.121212121212121,4
"50","Lau_Steinhorst",79,32,0.125,4
"51","Lau_Steinhorst",101,24,0.125,3
"52","Lau_Steinhorst",194,16,0.125,2
"53","Goe_Polter",8935,8,0.125,1
"54","Lau_Steinhorst",118,15,0.133333333333333,2
"55","Lau_Steinhorst",192,22,0.136363636363636,3
"56","Lau_Steinhorst",67,21,0.142857142857143,3
"57","Lau_Steinhorst",241,102,0.147058823529412,15
"58","Lau_Steinhorst",140,13,0.153846153846154,2
"59","Lau_Steinhorst",162,26,0.153846153846154,4
"60","Lau_Steinhorst",266,13,0.153846153846154,2
"61","Lau_Steinhorst",87,19,0.157894736842105,3
"62","Lau_Steinhorst",160,37,0.162162162162162,6
"63","Lau_Steinhorst",12,12,0.166666666666667,2
"64","Lau_Steinhorst",95,12,0.166666666666667,2
"65","Lau_Steinhorst",105,18,0.166666666666667,3
"66","Lau_Steinhorst",141,30,0.166666666666667,5
"67","Lau_Steinhorst",143,12,0.166666666666667,2
"68","Lau_Steinhorst",212,6,0.166666666666667,1
