"","Plotnummer","Rueckegasse","Esche.markiert","Baumart_kurz","Hoehe","Anzahl.Triebe","Einjaehriger.Saemling","ETS.abgestorben.frisch","ETS.abgestorben.alt","ETS.lebend","Verbiss.lebend","Verbiss.tot","Sonstige.Gruende.tot","Blattflecken","Bemerkungen","Zaun","Ausgeschlossen.Rand.Zaun","Flaeche","Jahr","ETS.abgestorben.frisch.terminal","ETS.abgestorben.alt.terminal","ETS.lebend.terminal","Verbiss.lebend.terminal","Verbiss.tot.terminal","Sonstige.Gruende.tot.terminal"
"1",8901,FALSE,"NO","GEs",14,2,FALSE,NA,NA,NA,NA,NA,NA,0,"",FALSE,FALSE,"goe_pol",2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"2",NA,FALSE,"SW","GEs",13,2,FALSE,NA,NA,NA,1,NA,NA,0,"",FALSE,FALSE,"goe_pol",2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"3",8902,FALSE,"NO","GEs",6,1,FALSE,NA,NA,NA,NA,NA,NA,0,"",FALSE,FALSE,"goe_pol",2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"4",NA,FALSE,"SO","GEs",5,1,FALSE,NA,NA,NA,NA,NA,NA,0,"",FALSE,FALSE,"goe_pol",2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"5",8903,FALSE,"SO","GEs",5,1,FALSE,NA,NA,NA,NA,NA,NA,0,"",FALSE,FALSE,"goe_pol",2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"6",NA,FALSE,"SW","GEs",12,1,FALSE,NA,NA,NA,NA,NA,NA,0,"",FALSE,FALSE,"goe_pol",2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"7",NA,FALSE,"NW","GEs",7,1,FALSE,NA,NA,NA,NA,NA,NA,0,"",FALSE,FALSE,"goe_pol",2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"8",8904,FALSE,"NO","GEs",11,1,FALSE,NA,NA,NA,NA,NA,NA,0,"",FALSE,FALSE,"goe_pol",2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"9",NA,FALSE,"NW","GEs",12,1,FALSE,NA,NA,NA,1,NA,NA,0,"",FALSE,FALSE,"goe_pol",2021,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"10",NA,FALSE,"SO","GEs",12,3,FALSE,NA,NA,NA,1,NA,NA,0,"",FALSE,FALSE,"goe_pol",2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"11",NA,FALSE,"SW","GEs",7,1,FALSE,NA,NA,NA,NA,NA,NA,0,"",FALSE,FALSE,"goe_pol",2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"12",8905,FALSE,"NO","GEs",7,1,FALSE,NA,NA,NA,NA,NA,NA,0,"",FALSE,FALSE,"goe_pol",2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"13",NA,FALSE,"SO","GEs",7,1,FALSE,NA,NA,NA,NA,NA,NA,1,"",FALSE,FALSE,"goe_pol",2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"14",NA,FALSE,"NW","GEs",8,1,FALSE,NA,NA,NA,NA,NA,NA,0,"",FALSE,FALSE,"goe_pol",2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"15",8906,FALSE,"NW","GEs",9,1,FALSE,NA,NA,NA,NA,NA,NA,0,"",FALSE,FALSE,"goe_pol",2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"16",NA,FALSE,"NO","GEs",4,1,FALSE,NA,NA,NA,NA,NA,NA,NA,"",FALSE,FALSE,"goe_pol",2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"17",NA,FALSE,"SO","GEs",5,1,FALSE,NA,NA,NA,NA,NA,NA,0,"",FALSE,FALSE,"goe_pol",2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"18",8907,FALSE,"SO","GEs",7,1,FALSE,NA,NA,NA,NA,NA,NA,0,"",FALSE,FALSE,"goe_pol",2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"19",NA,FALSE,"NO","GEs",10,1,FALSE,NA,NA,NA,NA,NA,NA,0,"",FALSE,FALSE,"goe_pol",2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"20",NA,FALSE,"NW","GEs",9,1,FALSE,NA,NA,NA,NA,NA,NA,0,"",FALSE,FALSE,"goe_pol",2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"21",NA,FALSE,"SW","GEs",10,1,FALSE,NA,NA,NA,NA,NA,NA,0,"",FALSE,FALSE,"goe_pol",2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"22",8908,FALSE,"SW","GEs",5,1,FALSE,NA,NA,NA,NA,NA,NA,0,"",FALSE,FALSE,"goe_pol",2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"23",NA,FALSE,"NW","GEs",6,1,FALSE,NA,NA,NA,NA,NA,NA,NA,"",FALSE,FALSE,"goe_pol",2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"24",NA,FALSE,"SO","GEs",7,1,FALSE,NA,NA,NA,NA,NA,NA,NA,"",FALSE,FALSE,"goe_pol",2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"25",8909,FALSE,"SW","GEs",12,1,FALSE,NA,NA,NA,NA,NA,NA,NA,"",FALSE,FALSE,"goe_pol",2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"26",NA,FALSE,"MITTE","GEs",8,2,FALSE,NA,NA,NA,NA,NA,NA,NA,"",FALSE,FALSE,"goe_pol",2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"27",NA,FALSE,"NW","GEs",4,1,FALSE,NA,NA,NA,NA,NA,NA,NA,"",FALSE,FALSE,"goe_pol",2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"28",8910,FALSE,"NO","GEs",11,3,FALSE,NA,NA,NA,NA,NA,NA,NA,"",FALSE,FALSE,"goe_pol",2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"29",NA,FALSE,"NW","GEs",4,1,FALSE,NA,NA,NA,NA,NA,NA,NA,"",FALSE,FALSE,"goe_pol",2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"30",NA,FALSE,"SW","GEs",7,1,FALSE,NA,NA,NA,NA,NA,NA,NA,"",FALSE,FALSE,"goe_pol",2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"31",NA,FALSE,"SO","GEs",10,1,FALSE,NA,NA,NA,NA,NA,NA,3,"",FALSE,FALSE,"goe_pol",2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
