"","Plotnummer","Rueckegasse","Esche.markiert","Baumart_kurz","Hoehe","Anzahl.Triebe","Einjaehriger.Saemling","ETS.abgestorben.frisch","ETS.abgestorben.alt","ETS.lebend","Verbiss.lebend","Verbiss.tot","Sonstige.Gruende.tot","Blattflecken","Bemerkungen","ETS.abgestorben.frisch.terminal","ETS.abgestorben.alt.terminal","ETS.lebend.terminal","Verbiss.lebend.terminal","Verbiss.tot.terminal","Sonstige.Gruende.tot.terminal","ETS"
"1",8901,FALSE,"NO","GEs",14,2,FALSE,NA,NA,NA,NA,NA,NA,0,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"2",8901,FALSE,"SW","GEs",13,2,FALSE,NA,NA,NA,1,NA,NA,0,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"3",8901,FALSE,NA,"RBu",30,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"4",8902,FALSE,"NO","GEs",6,1,FALSE,NA,NA,NA,NA,NA,NA,0,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"5",8902,FALSE,"SO","GEs",5,1,FALSE,NA,NA,NA,NA,NA,NA,0,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"6",8902,FALSE,NA,"BAh",12,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"7",8903,FALSE,"SO","GEs",5,1,FALSE,NA,NA,NA,NA,NA,NA,0,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"8",8903,FALSE,NA,"GEs",6,1,FALSE,NA,NA,NA,NA,NA,NA,NA,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"9",8903,FALSE,NA,"GEs",7,1,FALSE,NA,NA,NA,NA,NA,NA,NA,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"10",8903,FALSE,NA,"GEs",4,1,FALSE,NA,NA,NA,NA,NA,NA,NA,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"11",8903,FALSE,NA,"RBu",8,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"12",8903,FALSE,"SW","GEs",12,1,FALSE,NA,NA,NA,NA,NA,NA,0,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
