"","Plotnummer","n_trees","n_species","n_ash","n_bah","location","height_mean","height_median","height_max","height_min","n_ets_new","n_ets_old","n_ets_total","Verbiss","comment","Zaun","Ausschluss","Rueckegasse"
"1",8901,3,2,2,0,"goe_pol",19,14,30,13,0,0,0,1,"",FALSE,FALSE,FALSE
"2",8902,3,2,2,1,"goe_pol",7.67,6,12,5,0,0,0,0,"",FALSE,FALSE,FALSE
"3",8903,7,2,6,0,"goe_pol",7,7,12,4,0,0,0,0,"",FALSE,FALSE,FALSE
"4",8904,15,3,12,0,"goe_pol",9,9,13,5,0,0,0,3,"",FALSE,FALSE,FALSE
"5",8905,7,2,5,0,"goe_pol",7.86,8,10,4,0,0,0,0,"",FALSE,FALSE,FALSE
"6",8906,9,3,7,0,"goe_pol",6.44,7,9,4,0,0,0,0,"",FALSE,FALSE,FALSE
"7",8907,9,2,8,0,"goe_pol",11.44,10,28,3,0,1,1,1,"",FALSE,FALSE,FALSE
"8",8908,3,1,3,0,"goe_pol",6,6,7,5,0,0,0,0,"",FALSE,FALSE,FALSE
"9",8909,4,1,4,0,"goe_pol",8,8,12,4,0,0,0,0,"",FALSE,FALSE,FALSE
"10",8910,16,1,16,0,"goe_pol",8.88,7.5,17,4,0,0,0,0,"",FALSE,FALSE,FALSE
"11",8911,6,1,6,0,"goe_pol",6.83,6.5,9,5,0,0,0,0,"",FALSE,FALSE,FALSE
"12",8912,0,0,0,0,"goe_pol",NA,NA,NA,NA,0,0,0,0,"Keine Bäume",FALSE,FALSE,FALSE
"13",8913,5,1,5,0,"goe_pol",8,9,11,4,0,0,0,0,"",FALSE,FALSE,FALSE
"14",8914,17,2,15,0,"goe_pol",9.24,10,18,4,0,0,0,1,"",FALSE,FALSE,FALSE
"15",8915,0,0,0,0,"goe_pol",NA,NA,NA,NA,0,0,0,0,"Keine Bäume",FALSE,FALSE,FALSE
"16",8916,4,2,3,1,"goe_pol",7.5,7,13,3,0,0,0,0,"",FALSE,FALSE,FALSE
"17",8917,16,1,16,0,"goe_pol",11.5,9.5,24,5,0,0,0,2,"",FALSE,FALSE,FALSE
"18",8918,5,2,3,0,"goe_pol",19.4,17,35,8,0,0,0,0,"",FALSE,FALSE,FALSE
"19",8919,21,2,18,0,"goe_pol",11.33,8,22,4,1,0,1,0,"",FALSE,FALSE,FALSE
"20",8920,17,3,15,1,"goe_pol",17.88,12,80,4,1,0,1,4,"",FALSE,FALSE,FALSE
"21",8921,5,3,3,1,"goe_pol",16.4,14,25,5,0,0,0,1,"",FALSE,FALSE,FALSE
"22",8922,14,2,12,0,"goe_pol",12.5,9,29,3,0,0,0,1,"",FALSE,FALSE,FALSE
"23",8923,15,2,14,0,"goe_pol",21.93,22,36,8,0,0,0,2,"",FALSE,FALSE,FALSE
"24",8924,14,2,13,1,"goe_pol",8.93,7,16,5,1,0,1,1,"",FALSE,FALSE,FALSE
"25",8925,10,2,9,1,"goe_pol",8.8,8,14,5,0,0,0,0,"",FALSE,FALSE,FALSE
