"","Plotnummer","n_trees","n_species","n_ash","n_bah","location","height_mean","height_median","height_max","height_min","n_ets_new","n_ets_old","n_ets_total","Verbiss","comment","Rueckegasse"
"1",8901,3,2,2,0,"goe_pol",21,16,31,16,0,0,0,2,"",FALSE
"2",8902,9,2,7,0,"goe_pol",9.44,7,19,5,0,0,0,0,"",FALSE
"3",8903,7,2,6,0,"goe_pol",10.29,10,17,7,0,0,0,1,"",FALSE
"4",8904,16,4,11,0,"goe_pol",13.19,11,29,6,0,0,0,4,"",FALSE
"5",8905,7,2,5,0,"goe_pol",10.86,10,18,6,0,0,0,0,"",FALSE
"6",8906,8,2,7,0,"goe_pol",11,11.5,14,5,0,0,0,0,"",FALSE
"7",8907,8,2,7,0,"goe_pol",17.75,16.5,34,11,0,1,1,5,"",FALSE
"8",8908,5,1,5,0,"goe_pol",9.2,9,13,7,0,0,0,0,"",FALSE
"9",8909,4,1,4,0,"goe_pol",11,12.5,13,6,0,0,0,0,"",FALSE
"10",8910,15,1,15,0,"goe_pol",11.2,9,20,6,0,0,0,0,"Baum 33 liegt im Plot",FALSE
"11",8911,7,1,7,0,"goe_pol",7.14,7,11,4,0,0,0,0,"",FALSE
"12",8912,1,1,1,0,"goe_pol",8,8,8,8,0,0,0,0,"",FALSE
"13",8913,4,1,4,0,"goe_pol",8.75,9.5,12,4,0,0,0,1,"",FALSE
"14",8914,9,2,7,0,"goe_pol",11,11,18,5,5,0,5,0,"",FALSE
"15",8915,0,0,0,0,"goe_pol",NA,NA,NA,NA,0,0,0,0,"keine Bäume",FALSE
"16",8916,5,2,4,1,"goe_pol",8.8,9,13,3,0,0,0,0,"",FALSE
"17",8917,10,1,10,0,"goe_pol",13.3,13.5,20,7,0,0,0,1,"",FALSE
"18",8918,5,2,3,0,"goe_pol",29.4,26,62,10,0,0,0,1,"",FALSE
"19",8919,13,2,10,0,"goe_pol",12.38,10,21,7,0,0,0,1,"",FALSE
"20",8920,13,3,11,1,"goe_pol",21.92,14,100,6,1,0,1,0,"",FALSE
"21",8921,4,3,2,1,"goe_pol",18.75,17,27,14,0,0,0,1,"",FALSE
"22",8922,9,1,9,0,"goe_pol",17,16,30,6,0,0,0,1,"",FALSE
"23",8923,13,2,12,0,"goe_pol",27.77,29,43,5,0,0,0,9,"",FALSE
"24",8924,12,2,10,2,"goe_pol",10.83,10,19,7,0,0,0,0,"",FALSE
"25",8925,7,1,7,0,"goe_pol",10.43,9,17,8,0,0,0,1,"",FALSE
"26",8926,1,1,1,0,"goe_pol",9,9,9,9,0,0,0,0,"",FALSE
"27",8927,6,3,4,1,"goe_pol",12.17,10.5,25,4,0,0,0,1,"",FALSE
"28",8928,21,3,19,0,"goe_pol",16.38,15,26,9,1,1,2,3,"",FALSE
"29",8929,11,2,10,0,"goe_pol",20.27,18,32,12,1,2,3,1,"",FALSE
"30",8930,25,3,19,1,"goe_pol",19.52,19,49,10,0,4,4,2,"",FALSE
"31",8931,9,2,8,0,"goe_pol",14.56,12,23,6,0,0,0,2,"",FALSE
"32",8932,15,2,13,2,"goe_pol",11.67,11,34,5,0,1,1,0,"",FALSE
"33",8933,7,1,7,0,"goe_pol",13.29,14,19,7,0,0,0,0,"",FALSE
"34",8934,12,3,9,1,"goe_pol",19.83,20.5,29,12,1,0,1,4,"",FALSE
"35",8935,6,2,1,0,"goe_pol",22.33,20,42,13,0,0,0,0,"",TRUE
"36",8936,14,1,14,0,"goe_pol",8.79,9,14,4,0,0,0,1,"",TRUE
"37",8937,10,2,9,0,"goe_pol",11.5,8.5,40,6,0,0,0,0,"",TRUE
"38",8938,8,1,8,0,"goe_pol",9.38,8,21,4,1,1,2,1,"",TRUE
"39",8939,13,4,10,1,"goe_pol",20.31,19,37,11,0,0,0,2,"",TRUE
"40",8940,10,3,7,0,"goe_pol",36,17.5,127,4,0,0,0,0,"wird von linde domeniert",TRUE
"41",8941,15,2,13,0,"goe_pol",14.2,12,29,5,0,0,0,2,"",TRUE
"42",8957,6,1,6,0,"goe_pol",7.83,7.5,10,6,0,0,0,0,"Buche 101 steht auf der Nordostecke des Plots, Nordost Esche wurde letztes Mal übersehen, aber markeirt",FALSE
"43",8956,20,3,17,1,"goe_pol",9.2,8.5,15,4,0,0,0,1,"",FALSE
"44",8955,27,3,25,0,"goe_pol",10.26,10,18,5,0,0,0,2,"",FALSE
"45",8942,8,3,5,1,"goe_pol",16.38,17.5,25,9,0,0,0,0,"",FALSE
"46",8943,14,2,13,0,"goe_pol",10.07,9,16,6,0,1,1,0,"der Plot hat am Rand eine Bodengrube. Aber nicht groß und der größte Teil des Plots tut noch",FALSE
"47",8944,23,4,18,1,"goe_pol",20.43,15,107,7,0,0,0,0,"",FALSE
"48",8945,6,2,5,0,"goe_pol",12,12,16,7,0,0,0,0,"",FALSE
