"ID_plant","ID_plot","Flaeche","Plotnummer","Rand","Zaun","Rueckegasse","keine.baeume","Flaeche.bedeckt","Referenz","Quadrant","Esche.markiert","Baumart_kurz","Baumart_lang","Hoehe","Hoehe.Vorjahr","Hoehe.Vorvorjahr","Anzahl.Triebe","ETS.abgestorben.frisch","ETS.abgestorben.alt","ETS.lebend","ETS","Verbiss.lebend","Verbiss.tot","Sonstige.Gruende.tot","von.Nekrose.bedroht","ETS.abgestorben.frisch.terminal","ETS.abgestorben.alt.terminal","ETS.lebend.terminal","Verbiss.lebend.terminal","Verbiss.tot.terminal","Sonstige.Gruende.tot.terminal","eigentlich.aelter","Johannistrieb","nicht.gerade","mehr.ressourcen","Pseudomonas.syringae","gruene.Hoehe","tot","Foto","KONTROLLIEREN","Bemerkungen"
1,"74Sch","Schotten",74,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"nordost",NA,"BAh","Acer pseudoplatanus",155,148,139,NA,NA,NA,NA,FALSE,NA,NA,NA,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,""
2,"74Sch","Schotten",74,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"nordost",NA,"BAh","Acer pseudoplatanus",242,223,163,NA,NA,NA,NA,FALSE,NA,NA,NA,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,""
3,"74Sch","Schotten",74,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"nordost",NA,"BAh","Acer pseudoplatanus",188,171,153,NA,NA,NA,NA,FALSE,NA,NA,NA,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,""
4,"74Sch","Schotten",74,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"nordost",NA,"BAh","Acer pseudoplatanus",147,135,122,NA,NA,NA,NA,FALSE,NA,NA,NA,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,""
5,"74Sch","Schotten",74,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"nordost",NA,"BAh","Acer pseudoplatanus",105,100,92,NA,NA,NA,NA,FALSE,NA,NA,NA,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,""
6,"74Sch","Schotten",74,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"nordost",NA,"BAh","Acer pseudoplatanus",180,155,127,NA,NA,NA,NA,FALSE,NA,NA,NA,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,""
7,"74Sch","Schotten",74,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"nordost",NA,"BAh","Acer pseudoplatanus",238,208,152,NA,NA,NA,NA,FALSE,NA,NA,NA,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,""
8,"74Sch","Schotten",74,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"nordost",NA,"BAh","Acer pseudoplatanus",161,151,134,NA,NA,NA,NA,FALSE,NA,NA,NA,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,""
9,"74Sch","Schotten",74,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"nordost",NA,"BAh","Acer pseudoplatanus",75,69,55,NA,NA,NA,NA,FALSE,NA,NA,NA,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,""
10,"74Sch","Schotten",74,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"nordost",NA,"BAh","Acer pseudoplatanus",150,133,120,NA,NA,NA,NA,FALSE,NA,NA,NA,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,""
