"ID_plot","Plotnummer","Flaeche","Rand","Zaun","Rueckegasse","keine.baeume","Flaeche.bedeckt","n_trees","n_species","n_ash","height_mean","height_median","height_max","height_min","n_ets_new","n_ets_old","n_ets_total"
"74Sch",74,"Schotten",0,0,0,0,0,95,5,11,191.5,147,1237,5,0,0,0
"75Sch",75,"Schotten",0,0,0,1,0,0,0,0,NA,NA,-Inf,Inf,0,0,0
"76Sch",76,"Schotten",0,0,0,0,0,8,2,1,676.1,447.5,1790,110,0,0,0
"77Sch",77,"Schotten",0,0,0,0,0,11,4,1,206,215,433,48,0,0,0
"78Sch",78,"Schotten",0,0,0,0,1,4,4,1,864.8,660,1708,431,0,0,0
"79Sch",79,"Schotten",0,0,0,0,0,23,5,8,151.2,134,445,56,4,1,4
"80Sch",80,"Schotten",0,0,0,0,0,42,5,12,156.5,143.5,398,50,1,0,1
"81Sch",81,"Schotten",0,0,0,0,0,8,4,3,227.8,131.5,775,30,0,0,0
"82Sch",82,"Schotten",0,0,0,0,0,1,1,0,4340,4340,4340,4340,0,0,0
"83Sch",83,"Schotten",0,0,0,0,0,1,1,0,5200,5200,5200,5200,0,0,0
"84Sch",84,"Schotten",0,0,0,0,0,3,2,0,155.3,170,196,100,0,0,0
"85Sch",85,"Schotten",0,0,0,0,0,11,3,0,582.1,368,1650,60,0,0,0
"86Sch",86,"Schotten",0,0,0,0,1,1,1,0,454,454,454,454,0,0,0
"87Sch",87,"Schotten",0,0,0,0,0,25,4,2,119.9,74,790,43,0,0,0
"88Sch",88,"Schotten",0,0,0,0,0,80,4,2,194.7,130,1205,19,0,0,0
"89Sch",89,"Schotten",0,0,0,1,0,0,0,0,NA,NA,-Inf,Inf,0,0,0
"90Sch",90,"Schotten",0,0,0,0,0,16,5,1,170.6,114,911,53,0,0,0
"91Sch",91,"Schotten",0,0,0,0,0,11,5,4,836.6,407,2323,107,1,1,2
"92Sch",92,"Schotten",0,0,0,0,0,12,4,6,129.2,120.5,245,75,0,2,2
"93Sch",93,"Schotten",0,0,0,1,0,0,0,0,NA,NA,-Inf,Inf,0,0,0
"94Sch",94,"Schotten",1,0,0,0,0,0,0,0,NA,NA,-Inf,Inf,0,0,0
"95Sch",95,"Schotten",0,0,0,0,0,80,5,31,129.1,111.5,404,35,3,0,3
"96Sch",96,"Schotten",0,0,0,0,0,71,6,22,179,136,733,65,1,0,1
"97Sch",97,"Schotten",0,0,0,0,0,13,3,2,141.8,150,220,80,0,0,0
"98Sch",98,"Schotten",0,0,0,0,0,5,4,1,989.2,529,2314,145,1,1,1
"99Sch",99,"Schotten",0,0,0,0,0,21,3,1,187.5,121,1072,41,1,0,1
"52Sch",52,"Schotten",0,0,0,0,0,9,3,2,3231.9,2685,6782,207,0,0,0
"53Sch",53,"Schotten",0,0,0,0,0,9,4,3,754.8,286,3717,164,0,0,0
