"","ID_plot","Plotnummer","Flaeche","Rand","Zaun","Rueckegasse","keine.baeume","Flaeche.bedeckt","n_trees","n_species","n_ash","height_mean","height_median","height_max","height_min","n_ets_new","n_ets_old","n_ets_total","x","y"
"1","100Sch",100,"Schotten",1,0,0,0,0,0,0,0,NA,NA,-Inf,Inf,0,0,0,0.861848641243782,109.214343568834
"2","101Sch",101,"Schotten",1,0,0,0,0,0,0,0,NA,NA,-Inf,Inf,0,0,0,-8.80889239137041,110.998374802365
"3","102Sch",102,"Schotten",1,0,0,0,0,0,0,0,NA,NA,-Inf,Inf,0,0,0,-10.5750833125655,101.229949516896
"4","103Sch",103,"Schotten",1,0,0,0,0,0,0,0,NA,NA,-Inf,Inf,0,0,0,-12.3412742337606,91.4615242314271
"5","104Sch",104,"Schotten",0,0,0,0,0,67,4,19,132.7,118,466,45,5,1,6,-14.1074651549557,81.6930989459582
"6","105Sch",105,"Schotten",0,0,0,0,0,36,5,12,126,109,795,44,3,1,4,-15.8736560761508,71.9246736604893
"7","106Sch",106,"Schotten",0,0,0,0,0,75,5,50,161.4,129,904,59,5,0,5,-17.6398469973459,62.1562483750204
"8","107Sch",107,"Schotten",1,0,0,0,0,0,0,0,NA,NA,-Inf,Inf,0,0,0,-19.406037918541,52.3878230895516
"9","10Huy",10,"Huy",0,0,0,0,0,79,4,72,111.5,105,201,42,0,0,0,61.1058214444566,72.9809798580783
"10","10Mol",10,"Mollenfelde",0,0,0,0,0,22,3,3,837.9,325,8630,68,0,0,0,18.2851260969004,78.6347701370628
"11","10Pla",10,"Plattenwald",0,0,0,0,0,46,3,9,177,155,439,46,1,0,1,490784.862376347,5429470.37864104
"12","10Sch",10,"Schotten",0,0,0,0,0,18,3,3,128.7,97,506,49,0,0,0,118.676931953809,97.5743940519385
"13","10Wei",10,"Weisweil",0,0,0,0,0,102,6,1,123.5,90,990,38,0,0,0,402101.924301091,5342626.44001026
"14","11Huy",11,"Huy",0,0,0,0,0,43,3,30,140.2,92,880,35,1,0,1,70.1540919691168,77.0258831279465
"15","11Mol",11,"Mollenfelde",1,0,0,0,0,0,0,0,NA,NA,-Inf,Inf,0,0,0,14.8102209501597,87.9237293632034
"16","11Pla",11,"Plattenwald",0,0,0,0,0,35,2,3,171,118,821,74,3,2,3,490778.367895863,5429477.9827007
"17","11Sch",11,"Schotten",0,0,0,0,0,8,1,0,1628.4,668,4880,254,0,0,0,120.443122875004,107.342819337407
"18","11Wei",11,"Weisweil",0,0,0,0,0,94,5,4,197.9,99,3496,25,0,0,0,402090.483073034,5342634.75254902
"19","12Huy",12,"Huy",0,0,0,0,0,73,2,65,107.3,83,298,35,2,0,2,79.202362493777,81.0707863978147
"20","12Mol",12,"Mollenfelde",1,0,0,0,0,0,0,0,NA,NA,-Inf,Inf,0,0,0,24.0062905840388,91.4337345619314
"21","12Pla",12,"Plattenwald",0,0,0,0,0,53,4,1,161.3,104,874,34,0,0,0,490770.763836208,5429471.48822021
"22","12Sch",12,"Schotten",0,0,0,0,0,3,1,0,169.3,200,209,99,0,0,0,110.77238184239,109.126850570938
"23","12Wei",12,"Weisweil",0,0,0,0,0,91,3,0,222.5,124,2452,44,0,0,0,402100.35995644,5342636.31689367
"24","13Huy",13,"Huy",0,0,0,0,0,127,3,68,111.1,94,815,45,0,0,0,88.2506330184372,85.1156896676829
"25","13Mol",13,"Mollenfelde",0,0,1,0,0,2,2,1,254,254,384,124,0,0,0,27.4811957307796,82.1447753357908
"26","13Pla",13,"Plattenwald",0,0,0,0,0,33,4,4,140.7,80,635,44,1,0,1,490777.258316691,5429463.88416056
"27","13Sch",13,"Schotten",0,0,0,0,0,8,4,1,96,63,294,43,0,0,0,109.006190921195,99.3584252854689
"28","13Wei",13,"Weisweil",0,0,0,0,0,104,3,0,163.9,120,1772,54,0,0,0,402110.236839846,5342637.88123832
"29","14Huy",14,"Huy",0,0,0,0,0,110,3,84,89.3,83,168,14,0,0,0,97.2989035430974,89.1605929375511
"30","14Mol",14,"Mollenfelde",0,0,1,1,0,0,0,0,NA,NA,-Inf,Inf,0,0,0,30.9561008775203,72.8558161096502
"31","14Pla",14,"Plattenwald",0,0,0,0,0,39,4,14,111.9,95,279,43,3,0,3,490783.752797174,5429456.2801009
"32","14Sch",14,"Schotten",0,0,0,0,0,3,1,0,1102.7,468,2520,320,0,0,0,107.24,89.59
"33","14Wei",14,"Weisweil",0,0,0,0,0,119,3,2,112.3,98,281,40,0,0,0,402120.113723252,5342639.44558297
"34","15Huy",15,"Huy",0,0,1,0,0,87,3,76,190.2,153,735,42,4,3,4,106.347174067758,93.2054962074193
"35","15Mol",15,"Mollenfelde",0,0,1,0,0,3,2,2,89.7,75,123,71,0,0,0,34.4310060242611,63.5668568835096
"36","15Pla",15,"Plattenwald",0,0,0,0,0,21,4,0,330,299,1095,118,0,0,0,490790.247277657,5429448.67604125
"37","15Sch",15,"Schotten",0,0,0,0,0,1,1,0,545,545,545,545,0,0,0,105.473809078805,79.8215747145311
"38","15Wei",15,"Weisweil",0,0,0,0,0,96,3,0,82,65,875,26,0,0,0,402129.990606658,5342641.00992762
"39","16Huy",16,"Huy",0,0,1,0,0,70,3,57,98.6,89,247,27,3,1,4,115.395444592418,97.2503994772875
"40","16Mol",16,"Mollenfelde",0,0,1,0,0,3,2,2,239.7,97,563,59,0,0,0,37.9059111710018,54.2778976573691
"41","16Pla",16,"Plattenwald",0,0,0,0,0,20,3,0,262.7,261.5,868,80,0,0,0,490796.741758141,5429441.07198159
"42","16Sch",16,"Schotten",0,0,0,0,0,14,4,0,584.6,221,3270,59,0,0,0,103.70761815761,70.0531494290622
"43","16Wei",16,"Weisweil",1,0,0,0,0,0,0,0,NA,NA,-Inf,Inf,0,0,0,402139.867490064,5342642.57427227
"44","17Huy",17,"Huy",1,0,0,0,0,0,0,0,NA,NA,-Inf,Inf,0,0,0,124.443715117078,101.295302747156
"45","17Mol",17,"Mollenfelde",0,0,1,1,0,0,0,0,NA,NA,-Inf,Inf,0,0,0,41.3808163177426,44.9889384312285
"46","17Pla",17,"Plattenwald",0,0,0,0,0,9,3,0,614.4,149,3525,121,0,0,0,490803.236238624,5429433.46792193
"47","17Sch",17,"Schotten",0,0,0,0,0,15,2,0,133.7,124,191,88,0,0,0,101.941427236415,60.2847241435933
"48","17Wei",17,"Weisweil",1,0,0,0,0,0,0,0,NA,NA,-Inf,Inf,0,0,0,402138.303145414,5342652.45115568
"49","18Huy",18,"Huy",0,0,0,0,0,6,1,6,97.3,80,212,56,0,0,0,120.185922201427,109.891159745583
"50","18Mol",18,"Mollenfelde",1,0,0,0,0,0,0,0,NA,NA,-Inf,Inf,0,0,0,44.8557214644833,35.6999792050879
"51","18Pla",18,"Plattenwald",0,0,0,0,1,1,1,1,71,71,71,71,0,0,0,490809.730719107,5429425.86386228
"52","18Sch",18,"Schotten",0,0,0,0,0,9,4,0,1266.1,620,3130,368,0,0,0,100.17523631522,50.5162988581244
"53","18Wei",18,"Weisweil",0,0,0,0,0,91,5,1,91.3,83,434,40,0,0,0,402128.426262008,5342650.88681103
"54","19Huy",19,"Huy",0,0,1,0,0,29,3,22,109.9,108,242,35,2,1,3,111.137651676767,105.846256475715
"55","19Mol",19,"Mollenfelde",0,0,0,0,1,21,3,8,64.6,60,116,41,0,0,0,54.0517910983625,39.2099844038159
"56","19Pla",19,"Plattenwald",0,0,0,0,0,18,4,0,335.5,107,2970,65,0,0,0,490816.225199591,5429418.25980262
"57","19Sch",19,"Schotten",0,0,0,0,0,1,1,1,209,209,209,209,0,0,0,98.4090453940245,40.7478735726555
"58","19Wei",19,"Weisweil",0,0,0,0,1,16,4,3,453.3,176.5,2350,82,0,0,0,402118.549378602,5342649.32246638
"59","1Huy",1,"Huy",0,0,1,1,0,0,0,0,NA,NA,-Inf,Inf,0,0,0,119.653237508069,88.6545424788603
"60","1Mol",1,"Mollenfelde",0,0,0,0,0,4,1,0,312,180.5,747,140,0,0,0,5.6141513162805,84.4137241644753
"61","1Pla",1,"Plattenwald",0,0,0,0,0,28,4,5,353.6,281.5,1186,60,1,0,1,490785.97195552,5429484.47718118
"62","1Sch",1,"Schotten",0,0,0,1,0,0,0,0,NA,NA,-Inf,Inf,0,0,0,102.781213663053,9.65856648271848
"63","1Wei",1,"Weisweil",0,0,0,0,0,4,2,1,2196.2,1361,5936,127,0,0,0,402134.683640609,5342611.3792774
"64","20Huy",20,"Huy",0,0,0,0,0,20,2,18,74.8,74,100,59,0,0,0,102.089381152107,101.801353205846
"65","20Mol",20,"Mollenfelde",0,0,0,1,0,0,0,0,NA,NA,-Inf,Inf,0,0,0,50.5768859516217,48.4989436299565
"66","20Pla",20,"Plattenwald",0,0,0,0,1,2,1,0,3981,3981,7201,761,0,0,0,490822.719680074,5429410.65574296
"67","20Sch",20,"Schotten",0,0,0,1,0,0,0,0,NA,NA,-Inf,Inf,0,0,0,96.6428544728294,30.9794482871867
"68","20Wei",20,"Weisweil",0,0,0,0,0,186,3,3,130.5,122,279,58,0,0,0,402108.672495196,5342647.75812173
"69","21Huy",21,"Huy",0,0,0,0,0,78,6,64,177.6,103.5,1870,42,3,1,4,93.0411106274467,97.7564499359783
"70","21Mol",21,"Mollenfelde",0,0,0,1,0,0,0,0,NA,NA,-Inf,Inf,0,0,0,47.101980804881,57.7879028560971
"71","21Pla",21,"Plattenwald",0,0,0,0,0,23,3,3,489,315,2897,141,1,3,3,490821.610100901,5429396.55720283
"72","21Sch",21,"Schotten",0,0,1,0,0,21,6,2,651.2,605,1620,151,0,0,0,94.8766635516343,21.2110230017178
"73","21Wei",21,"Weisweil",0,0,0,0,0,62,5,4,193.9,93,1355,54,0,0,0,402098.79561179,5342646.19377708
"74","22Huy",22,"Huy",0,0,0,0,0,57,3,41,482.8,240,2704,88,1,1,2,83.9928401027865,93.7115466661101
"75","22Mol",22,"Mollenfelde",0,0,0,0,0,7,2,6,139.7,91,247,47,1,2,2,43.6270756581402,67.0768620822377
"76","22Pla",22,"Plattenwald",0,0,0,0,0,21,3,0,835.7,467,2528,160,0,0,0,490815.115620418,5429404.16126248
"77","22Sch",22,"Schotten",0,0,0,0,0,3,1,0,1184,1340,1718,494,0,0,0,93.1104726304392,11.4425977162489
"78","22Wei",22,"Weisweil",0,0,0,0,0,70,2,1,108.4,105.5,197,60,1,0,1,402088.918728384,5342644.62943242
"79","23Huy",23,"Huy",0,0,0,0,0,8,2,1,353,205.5,1245,83,0,0,0,74.9445695781263,89.6666433962419
"80","23Mol",23,"Mollenfelde",0,0,0,0,0,11,3,6,168.9,186,260,55,1,0,1,40.1521705113995,76.3658213083782
"81","23Pla",23,"Plattenwald",0,0,0,0,1,2,2,1,181.5,181.5,313,50,0,0,0,490808.621139935,5429411.76532214
