"","x"
"1"," Baum 251 im Plot, sehr viele tote Bah"
"2"," grüne höhe 30, angenagt"
"3",", 1 toter Baum 30 cm über Plot"
"4",", baum 229 steht auf der Südecke"
"5",", Baum Nr. 40 auf dem Westquadrant"
"6",", mehrere tote Bäume über dem Plot"
"7","129-2142 - 2144 Sieht aus, als hätte sie mal einen Seitentrieb gehabt, der angewurzelt und danach abebrochen ist, aber noch lebt. Frisch abgebissen(?), treibt im Frühjahr womöglich aus."
"8","230 grüne höhe"
"9","297 grüne Höhe"
"10","30 ° schief"
"11","44596"
"12","44598, Buche 241 liegt in Quadrant "
"13","44599"
"14","44600"
"15","44601"
"16","44603"
"17","44605"
"18","44606"
"19","44607"
"20","44611"
"21","44612"
"22","44613"
"23","44614"
"24","45° schräg"
"25","abgestorben"
"26","Alle Faulbäume aus Wurzelbrut eines älteren Baumes (8 Zeilen später)(Absenker)"
"27","An wegböschung, aber nicht auf dem weg"
"28","aus stärkerem älterem Trieb"
"29","aus stärkerem Trieb ausgetrieben"
"30","aus stärkerem Trieb neu ausgetrieben"
"31","Ausläufer mit 14 cm. Abstand"
"32","ausschlag aus älterem"
"33","ausschlag aus särkerem älterem"
"34","austrieb aus älterem "
"35","Austrieb aus älterem Rest"
"36","Austrieb aus älterem Trieb (sonst 87 70 59)"
"37","Austrieb aus älterem, , Plot dominiert von Stubben"
"38","austrieb aus einem älteren stärkeren"
"39","austrieb aus liegendem stamm"
"40","Austrieb aus stärkerem abgebrochenen"
"41","Austrieb aus stärkerem Stock"
"42","Bach fließt durch, sehr viel Totholz"
"43","Baum 1068 steht im Plot"
"44","Baum 1077 im sw"
"45","Baum 1112 im no Quadranten"
"46","baum 113 liegt auf der ost ecke des plots"
"47","Baum 141 steht im Plot"
"48","Baum 156 im Nordquadrant (Hbu), Totast über  ost und Südquadrant."
"49","baum 158 und 159 liegen im Plot"
"50","baum 176 im n und o quadrant"
"51","baum 209 liegt im plot, keinebaeume"
"52","Baum 239 auf Westquadrant"
"53","Baum 299 steht imPlot"
"54","Baum 395 liegt im so"
"55","Baum 53 im Plot"
"56","baum nummer 5 liegt im no quadrant, , sehr viele abgestorbene einjährige Bahs"
"57","beide lebende Triebe mit endständigem Krebs"
"58","bewurzelter Trieb aus West"
"59","Bewurzelter Trieb aus west"
"60","Bogenlampe"
"61","Bum 157 steht dichte by im Nordost"
"62","cornus sanguinea steht an der grenze und überschirmt den plot"
"63","daten sind korrekt"
"64","durch Astbruch runter gedrückt"
"65","ehemals länger gewesen"
"66","eigendlich 34 cm länger aber liegt auf dem Boden und hat u8nter aufrechtem Teil Wurzeln ausgebildet, 118-1797 & 8 "
"67","eigentlich 370mm höher, aber abgestorben"
"68","ein Faulbaum liegt auf der Fläche und ist an beiden Enden fest gewachsen. Aber eher gerin dimensioniert"
"69","ein paar Faulbaumzweige sind auf dem Plot wieder angewachsen, aber keine komplette Krone"
"70","ein trieb verpilzt"
"71","Ein unterer Trieb mit Kallus"
"72","Eine große Menge Kronenteile lag auf dem Plot"
"73","Fast alle Ahornbäume tot, Mauseloch"
"74","fast kompletter quadrant 20cm unter umgestürtzter Fichte"
"75","Faulbaum wächst bogenförmig über den Plot hinweg und produziert Absenker im Nordwesten, Foto 126-2086"
"76","Faulbaumast liegt über dem Plot, von totem Baum herunter gedrück"
"77","Faulbaumknäuel über dem Plot"
"78","Flächig recht viel Equisetum"
"79","foto nr 108-1608 bis 108-1610"
"80","Galle an Terninalknospe"
"81","ganz t0t"
"82","gekrümmt hing unter Nachbarbaum"
"83","genickt"
"84","GH 175mm"
"85","GrH 70mm"
"86","großer Faulbaum überdeckt den Plot mit der liegenden Krone, Plot selbst liegt aber im Hohlraum"
"87","gruen bis 28"
"88","grün bis 45"
"89","grün bis 50"
"90","grün bis 61"
"91","grün bis 77"
"92","Grüne H+he 35"
"93","Grüne H+he: 255mm. Mittig am  Stamm b efallen, darüber wird noch absterben."
"94","Grüne Höhe 100mm"
"95","Grüne Höhe 105"
"96","grüne Höhe 113 mm"
"97","grüne Höhe 125"
"98","Grüne Höhe 142, liegt zur Hälfte"
"99","Grüne Höhe 150"
"100","grüne Höhe 155"
"101","grüne Höhe 210"
"102","grüne Höhe 328, gesamthöhe Pflanze mind. 656"
"103","Grüne Höhe 4cm"
"104","grüne Höhe 52"
"105","Grüne Höhe 55"
"106","grüne Höhe 62"
"107","grüne Höhe 65"
"108","grüne höhe 66"
"109","Grüne Höhe 70"
"110","grüne Höhe 74"
"111","grüne Höhe 75"
"112","grüne Höhe 800, wächst aus umgestürztem Stamm, , toter Baum quer durch den Plot"
"113","grüne Höhe 85"
"114","Grüne Höhe 93"
"115","grüne Höhe 94, liegend"
"116","grüne höhe 95, 2 austriebe am bodensatz"
"117","Grüne Höhe 95mm"
"118","Grüne Höhe ca 473, 2 lebende von nekrose bedroht"
"119","grüne Höhe: 170"
"120","grüne Höhe: 18 mm "
"121","Grüne Höhe: 366 mm, 127-2093"
"122","Hartriegel wurzelt außerhalb des Plots, breitet sich fächerartig aber über NW und SW Quadrant aus."
"123","hat liegende auslufer die im Westen anwurzeln und mit aufgenommen wurden"
"124","ist viel zuwachs, aber korrekt"
"125","Jhannistrieb"
"126","Johannestrieb womöglich"
"127","Johannestrieb? Foto 107-1582"
"128","johannistrieb?"
"129","keine  Bäume"
"130","keine baueme"
"131","keine Bäume dafür Matsch"
"132","Keine Bäume, steht fast ganz unter Wasser"
"133","keine Blätter"
"134","keine Verjüngung, Baum 1183 im Plot"
"135","komplett abgestorben"
"136","komplett tot"
"137","Komplett tot"
"138","könnte auch mit dem größten zusammenhängen"
"139","kopfüberhängend"
"140","korrekt!"
"141","Krebs,"
"142","krebs, t2 von nekrose bedroht, foto 119-1823 - 1827"
"143","krebs/galle"
"144","Krebs/Galle"
"145","kriechend auf dem boden"
"146","Kriechend von Totholz begraben"
"147","kriechend, 23 cm lang"
"148","kriechend, im Würmerhaufen"
"149","kriechend, von Totholz begraben"
"150","kriechend, weniger als 45°"
"151","kriechend+"
"152","krumm und schief und unter Holz"
"153","KRÜPPELIG"
"154","L 1100mm"
"155","lebendig bis 282"
"156","lehrbuchbeispiel"
"157","liegt fast"
"158","liegt fast auf dem Boden"
"159","liegt halb auf dem Boden und uist aus was dickerem ausgetrieben"
"160","liegt zur Hälfte auf dem Boden"
"161","liegt zur Hälfte aufdem Boden"
"162","Liegt, wurzelt am vorletzten Jahrestrieb"
"163","mehrere Triebe aus einem Wurzelstock"
"164","neuaqustrieb aus altem Rest"
"165","Neuastrieb aus dem Astloch eines umgestürtzten Baumes"
"166","Neuaustrieb aud dickem"
"167","neuaustrieb aus altem Trieb"
"168","Neuaustrieb aus Ast, der außerhalb des Plottes wurzelt"
"169","neuaustrieb aus dickerem trieb"
"170","neuer trieb an altem starken bäumchen. Eigentlich älter"
"171","niedergedrückt durch Ast"
"172","nur 1 Quadrant aufgenommen/ x4"
"173","Oberen T3 von Nekrose bedroht"
"174","oberer teil schräg"
"175","oberster Trieb schließt mit komischen weißen Kallus ab, Foto"
"176","optisch nicht sehr vital, ist aber auf jedem fall noch lebend."
"177","pflanze tot"
"178","Pflanze tot"
"179","Plagiotroph"
"180","plot auf Grundwasserniveau, viel oberflächiges Wasser"
"181","Plot befindet sich exakt zwischen den Bäumen 278 und 279"
"182","plot größtenteils von großem stubben bedeckt"
"183","plot in senke"
"184","Plot mit darüber liegendem Gebüsch, dass von einem starken Totast nieder gedrückt wird"
"185","plot mit kronenteilen"
"186","Plot von Brombeeren und Weißdorn zwei Meter hoch überwuchert"
"187","Ploz halb im Graben"
"188","potenziell von einer nekrose betroffen: t1"
"189","Rückegasse, direkt auf der Fahrspur, n und o steht unter Wasser"
"190","Schilfartiger Grashorst über einem Drittel des Plottes"
"191","schräg, sehr"
"192","Seitenaustrieb aus älterem"
"193","seitenaustrieb baum eigentlich älter"
"194","Seitentrieb spitze abgestorben"
"195","so ein Bisschen schief : )"
"196","stark gebogen, stockausschlag"
"197","stark geknickt"
"198","stark gekrümmt"
"199","stark kriechend"
"200","stark umgeknickt, letztes jahr höher weil umgenickt, foto nr 108-1618 bis -1612"
"201","Starkes Totholz liegt im Plot"
"202","steht schief"
"203","steinchen im zwiesel"
"204","Stockauschlag aus älterem Trieb"
"205","stockausschlag"
"206","Stöckausschlag aus Älterem Trieb"
"207","Stockausschlag aus Baum 156"
"208","Stockausschlag aus stärkerem Trieb"
"209","Stubben auf Quadrant"
"210","T mit Krebs"
"211","t1 von nekrose bedroht, krebs"
"212","t2 von Nekrose betroffen"
"213","T3: potentiell von Nekroser betroffenme Triebe"
"214","Terminalknospe Krebs, länge 275 mm: liegend"
"215","Terminaltrieb von Nekrose bedroht"
"216","Tiefzwiesel, direkt über Boden Waagerechter Wuchs, bei 17cm Abstand gehen beide Triebe in die senkrechte über"
"217","tot"
"218","toter gröberer Ast auf dem plot"
"219","toter Trieb wesentlich höher, neuaustrieb ganz unten "
"220","treibt aus alten stärkerem trieb aus"
"221","treibt aus älterem abgebrochenen, stärkeren aus"
"222","umgeknickt"
"223","umgenagt, liegend"
"224","Ungestürzter Baum (242), Krone bedeckt Plott komplett. 127-2087"
"225","unsichere Artbestimmung"
"226","unten schief"
"227","unter Farnwedel"
"228","Unter Totholz-Haufen"
"229","Unter Totholz-Haufen, baum 43 auf fläche"
"230","unterer Teil am Bodenliegend"
"231","unterer Teil liegt"
"232","unterer Teil stark schief"
"233","Ursprung auserhalb des Plot"
"234","ursprüngliche Höhe 388, grüne 270"
"235","vergraben unter Totholz"
"236","verknickt"
"237","vermutlich Austrieb aus älterem Trieb"
"238","vermutlich doch Bergahorn"
"239","Vermutlich zugeschüttete Bodengrube aufgroßem Teil des Plottes"
"240","verscdhimmelt"
"241","viel Himbeere und Brombeere im Plot"
"242","viel Totholz"
"243","viel Totholz auf dem Plot"
"244","viele Bäumchen verbissen und viele tot, grabespuren"
"245","viele tote Bergahorne"
"246","viele tote kleine ahorne, viele verbissen, vermutlich überflutet"
"247","von gelben schleimpilz überwuchert"
"248","Wächst erst runter und dann wieder hoch"
"249","wächst im Bogen"
"250","WÄCHST IM Bogen"
"251","wächst im zick zack"
"252","Wahrscheinlich Stockausschlag aus dem folgendem"
"253","Wahrscheinlich Wurzelbrut mit dem größten"
"254","Wegbeschreibung"
"255","WEGBÖSCHUNG"
"256","Weißdorn 3 +- gleichgroße Triebe. 2 Senkrecht.Ganzer Plot voll Brombeere, die den 3. Weißdorntrieb runter drücken. Unter Brombeere alte Brombeere, tot. Unter toter Brombeere stehendes Wasser."
"257","Weißdorn wächst über Plot, zwei große Totholzstämme"
"258","Weißdornast liegt quer über dem Plot, nicht angewurzelt"
"259","Weißdornast weitere 4 von Nekrose bedroht, über Nordquadrant"
"260","wildschweine haben gegraben"
"261","wirklich so lang, augenscheinlich keine absenkerbewurzelung"
"262","witzig gebogene Esche"
"263","Wurzelbrut"
"264","Wurzelschaden?"
"265","wurzelt im Westen, größter Teil am Boden, 557 lang"
"266","Zwiesel, dieses jahr der andere Trieb höher als letztes Jahr. Dieser Trieb war letztes Jahr 180 hoch. Davor beide gleich."
"267","zwiter Trieb sieht scheiße aus aber nicht tot"
"268","alles darüber ist tot"
"269","Aus dickerem Trieb"
"270","Bogenwuchs"
"271","ganz tot"
"272","krebs galle"
"273","kriecht"
"274","liegt unter Holz"
"275","liegt zur Hälft aufm Bodn"
"276","liegt zur Hälfte"
"277","nieder gedrückt"
"278","RAND"
"279","schräg"
"280","stark umgeknickt"
"281","stark verbissen"
"282","Stockausschlag"
"283","wächst auf stubben"
"284","Wahrscheinlich Wurzelbrut / unterirdischer Stockaustrieb"
"285","zaun"
"286","frisch abgestorben"
"287","halb liegend"
"288","keine bäume"
"289","Krebsgalle"
"290","oben waagerecht"
"291","Randeffekt -> Übersprungen"
"292","womöglich alle drei ein Stock"
"293","ausschlag aus liegendem"
"294","Austrieb aus älterem Trieb"
"295","entspringt liegendem Ligusterast"
"296","keine baeume"
"297","keine Bäume"
"298","keine baume"
"299","krumm"
"300","Stockausschlag aus älterem Trieb"
"301","Johannistrieb"
"302","45°"
"303","Austrieb aus stärkerer Unterlage, abgebrochen"
"304","Johannestrieb"
"305","krebs"
"306","Rand"
"307","Krebs"
"308","Johannistrieb womöglich"
"309","liegt"
"310","schief"
"311","johannistrieb"
"312","kriechend"
"313","liegend"
"314","rand"
"315",""
