"","Bemerkungen_21","Plotnummer","Rueckegasse_21","Esche.markiert","Hoehe_21","Anzahl.Triebe_21","Einjaehriger.Saemling_21","ETS.abgestorben.frisch_21","ETS.abgestorben.alt_21","ETS.lebend_21","Verbiss.lebend_21","Verbiss.tot_21","Sonstige.Gruende.tot_21","Blattflecken_21","Zaun","Flaeche","ETS.abgestorben.frisch.terminal_21","ETS.abgestorben.alt.terminal_21","ETS.lebend.terminal_21","Verbiss.lebend.terminal_21","Verbiss.tot.terminal_21","Sonstige.Gruende.tot.terminal_21","Aceria.fraxinivora_21","nicht.gerade_21","gruene.hoehe_21","tot_21","manuell.checken","mehr.ressourcen_21","ETS_21","Triebe.lebend_21","ID","Bemerkungen_22","Gefunden","Hoehe_22","Anzahl.Triebe_22","Einjaehriger.Saemling_22","ETS.abgestorben.frisch_22","ETS.abgestorben.alt_22","ETS.lebend_22","Verbiss.lebend_22","Verbiss.tot_22","Sonstige.Gruende.tot_22","Gruene.Hoehe_22","Aceria.fraxinivora_22","Nicht.gerade_22","ETS.abgestorben.frisch.terminal_22","ETS.abgestorben.alt.terminal_22","ETS.lebend.terminal_22","Verbiss.lebend.terminal_22","Verbiss.tot.terminal_22","Sonstige.Gruende.tot.terminal_22","Aceria.fraxinivora.terminal_22","Tot_22","mehr.ressourcen_22","nochmal.checken","ETS_22","Triebe.lebend_22","TSF","DSF","ISF","Zuwachs","ETS","ETS_terminal"
"1","",8904,FALSE,"SO",12,3,FALSE,0,0,0,1,0,0,0,FALSE,"goe_pol",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,3,"8904SO","",TRUE,12,5,FALSE,0,0,0,1,2,0,NA,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,0.12,0.1,0.15,0,FALSE,FALSE
"2","",8905,FALSE,"SO",7,1,FALSE,0,0,0,0,0,0,1,FALSE,"goe_pol",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,1,"8905SO","",TRUE,7,1,FALSE,0,0,0,0,0,0,NA,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0.16,0.13,0.2,0,FALSE,FALSE
"3","",8910,FALSE,"NO",11,3,FALSE,0,0,0,0,0,0,NA,FALSE,"goe_pol",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,3,"8910NO","",TRUE,11,3,FALSE,0,0,0,0,0,3,NA,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0.08,0.08,0.07,0,FALSE,FALSE
"4","",8911,FALSE,"MITTE",6,1,FALSE,0,0,0,0,0,0,NA,FALSE,"goe_pol",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,1,"8911MITTE","",TRUE,6,1,FALSE,0,0,0,0,0,1,NA,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0.15,0.15,0.16,0,FALSE,FALSE
"5","",8913,FALSE,"SW",9,1,FALSE,0,0,0,0,0,0,NA,FALSE,"goe_pol",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,1,"8913SW","",TRUE,8,1,FALSE,0,0,0,0,0,1,NA,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0.16,0.16,0.16,-1,FALSE,FALSE
"6","",8913,FALSE,"MITTE",5,1,FALSE,0,0,0,0,0,0,NA,FALSE,"goe_pol",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,1,"8913MITTE","",TRUE,4,2,FALSE,0,0,0,1,0,0,NA,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,0.16,0.16,0.16,-1,FALSE,FALSE
"7","",8914,FALSE,"NW",5,1,FALSE,0,0,0,0,0,0,NA,FALSE,"goe_pol",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,1,"8914NW","",TRUE,5,1,FALSE,0,0,1,0,0,0,NA,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,0.21,0.25,0.16,0,TRUE,TRUE
"8","Keine Blätter",8914,FALSE,"NO",11,1,FALSE,0,0,0,0,0,0,NA,FALSE,"goe_pol",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,1,"8914NO","",TRUE,11,1,FALSE,0,0,0,0,0,0,NA,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0.21,0.25,0.16,0,FALSE,FALSE
"9","",8914,FALSE,"SO",6,1,FALSE,0,0,0,0,0,0,3,FALSE,"goe_pol",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,1,"8914SO","",TRUE,6,1,FALSE,0,0,1,0,0,0,5,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,0.21,0.25,0.16,-1,TRUE,TRUE
"10","",8916,FALSE,"SW",3,1,FALSE,0,0,0,0,0,0,NA,FALSE,"goe_pol",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,1,"8916SW","",TRUE,3,1,FALSE,0,0,0,0,0,1,NA,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0.2,0.22,0.17,0,FALSE,FALSE
